0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
동해,5,0,0,0,0,0,0,690,2980,0,0,461,616,12028,0,0,3695,0,1898,7011,0,26391,27736,8572,1379,1798,0,0,636,0,0,0,0,0,0,0,0,0,593,4993,2822,0,0,0,0,0,0,0,0,0,121411,432,0,0,0,0,0,0,154,0,0,5639,22988,44238,299,100121,2878,8045,1596,17166,1504,256,2886,921,0,0,0,0,0,0,0,0,0,0,0
강릉,10,0,805,0,383,105,12,1022,8872,0,67,1629,0,30861,0,0,12062,0,1333,3442,0,18419,47343,11964,1850,4046,0,391,67,68,0,0,0,0,0,396,0,0,0,5393,1838,1220,0,17,191,213,57,0,360,0,179686,0,0,0,0,0,0,298,1089,0,0,6692,39914,30389,84998,82615,1055,3287,913,23831,2638,504,6734,3152,432,712,0,0,0,0,0,0,0,0,3783
정선,211,0,0,0,0,0,0,33,216,0,0,814,0,0,0,0,0,69,1625,14033,54,18129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,134,58,0,0,0,156,30,36,0,1730,0,39900,0,0,0,0,0,0,46,53,0,0,0,482,484,2682,1240,123409,5493,2074,4835,509,0,0,278,0,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,122,592,490,42,0,106,628,0,0,0,0,0,0,0,0,113,1655,18279,15,16420,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,78,886,87,360,396,0,0,0,0,0,0,0,68653,0,0,0,0,0,0,0,0,0,0,0,898,1507,7768,4270,4298,3646,3152,20076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
석항,0,0,0,0,0,0,0,20,101,0,0,0,0,0,0,0,0,3,787,7355,6,8796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,105,31,0,0,0,0,0,0,0,0,0,15519,0,0,0,0,0,0,0,0,0,0,0,388,250,1532,1179,1390,1227,87,6522,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,537,513,2696,0,0,0,0,162,0,0,347,42,4280,74765,81,85856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,358,572,0,0,0,0,0,0,0,0,0,214626,0,0,0,0,0,0,0,0,0,0,0,8971,1093,18004,25375,4325,22706,5864,29243,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
부전,28337,0,7162,0,232,1,53,34,7318,198,14,13,36,12035,1,4,1114599,12,1170,7771,198,21685,22122,25761,7559,8070,538,0,1189,0,0,0,0,0,0,0,0,421,147,0,0,0,0,0,0,0,0,0,400,0,1254,0,0,0,0,0,0,0,22,0,0,5130,8831,1182,1949,4502,509,0,0,0,235054,380392,184235,80208,17102,0,0,0,0,576,182,128,2357,0,0
좌천,642,0,188,0,265,0,71,22,124,25,5,38,273,2316,0,0,200826,169,121,898,44,2303,2123,3109,1448,3375,0,0,0,0,0,0,0,0,0,0,0,322,110,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,0,330,1097,93,283,739,0,0,0,0,327081,27356,69132,23254,6983,0,0,0,0,280,569,62,0,0,0
울산,87030,0,3500,0,14594,1,8732,1048,22558,222,601,1062,10246,16209,0,0,72028,30,1545,11916,279,21098,35493,37197,9433,13904,0,0,0,0,0,0,0,0,0,0,0,695,120,0,6,0,0,0,0,0,0,0,400,0,12146,0,0,0,0,0,0,0,298,0,0,5123,8681,1468,2879,7193,2,15,0,0,121338,46172,4850,123777,15196,0,0,0,0,398,145,20,0,0,0
경주,366693,1599,7183,10470,20405,2,10753,535,23950,148,622,1925,7781,48742,0,0,39872,3,832,6818,23,8222,19257,21982,8530,30349,0,723,515,424,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,0,7910,657,0,0,0,0,0,0,126,0,0,1162,2926,335,886,4086,278,0,0,114,76576,21401,117604,16206,94111,0,0,0,0,462,72,0,0,0,0
