0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
가평,916,0,0,500,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,144,46,116,85,0,1,0,0,0,510647,137623,0,0,0,16008,6023,71049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
춘천,1570,504,0,216,0,0,0,293,72,130,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,637,0,0,0,768,0,0,0,0,432,0,0,0,0,0,0,0,0,0,20,0,14,222,0,144,0,0,0,835584,400893,0,0,0,210324,68084,16146,0,0,0,0,432,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,144,0,0,0,0,0,0,0
일영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,603,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상주,0,0,0,0,0,0,0,0,0,0,0,0,12844,11029,1471,38022,4969,869,5835,15320,0,0,0,108,0,0,0,0,3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,943,1200,76,0,9,3,0,106,7,90,768,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
점촌,0,0,0,0,0,0,0,0,0,0,0,0,8814,6848,952,20951,3401,532,4879,10806,0,0,0,46,0,0,0,0,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,0,325,87,0,0,1,0,151,5,55,510,0,0,0,0,88,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예천,337,425,0,0,0,0,0,0,0,0,0,0,3622,3757,265,4797,995,231,2725,4973,172,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,990,235,96,0,0,0,0,0,3,0,22,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,846,31,0,244,104,0,0,0,0,0,0,114,382,191,122,0,0,0,0,0,0,81,40,367,0,294,264,0,0,0,0,0,0,0,164902,0,0,0,0,0,0,0,52822,0,0,0,201,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,432,0,76,87,0,14986,0,0,0,0,50,106,253,0,0,34,623,34,0,313,0,0,0,0,0,80,0,0,24,233,9,6,304,216,0,0,0,0
연무대,11120,0,0,0,0,0,0,2160,0,12170,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,10252,0,0,0,0,0,0,0,0,0,5176,8784,0,192,448,0,1008,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,0,0,0,0,0,0,0,0,0,0,0,0,48,12,1,1361,17,8,57,53,0,0,0,0,0,0,0,0,949,2001,170,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9,3,0,0,12,541,2064,1189,357,1240,1782,0,2,9,1,127,186,1432,184,1540,390,0,0,173,636,0,0,0,0,0,0,0,0,0,0
춘양,0,0,0,0,0,0,0,0,0,0,0,0,25,70,3,1757,4,0,25,62,0,0,0,0,0,16,0,0,8021,2529,101,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,13,0,0,761,144,1688,907,207,997,1577,0,19,6,5,85,71,1043,257,1146,204,0,0,205,255,0,0,0,0,0,0,0,0,0,0
석포,11379,10088,0,0,0,0,0,0,0,0,0,0,7,56,2,1641,0,0,4,20,0,0,0,3,0,62,0,2,8411,2003,79,82,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,3,1,13,0,0,2629,1469,2098,3349,268,1191,1380,0,14,13,2,164,328,374,112,314,799,0,0,165,148,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,5,1,9,8,65,473,470,163,13094,81,46,393,4402,3,57,2,981,0,692,0,0,6530,4280,597,1435,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0,0,0,0,0,0,0,0,0,2770,0,0,0,0,0,0,0,0,130,183,32,50,0,1223,821,2715,40,1247,7825,14002,0,5,391,113,2967,561,3620,267,6011,1004,0,814,0,991,0,0,370,0,0,0,0,0,0,4
도계,0,0,0,0,0,0,0,24,3,91,0,0,12,188,7,2832,32,510,242,266,42,336,27,3276,3,2938,0,70,1713,895,134,272,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,37,0,0,0,0,0,0,0,0,0,15634,0,0,0,0,0,0,0,0,36,11,3,106,0,379,199,277,1324,439,16917,18903,0,30,702,187,1954,1310,706,35,538,143,0,0,0,225,0,0,195,0,0,0,0,0,0,128
동해,573,368,0,0,0,0,0,59,25,225,0,0,622,604,299,5411,32,48,76,246,14,1700,57,1563,0,9645,0,619,8243,3929,641,551,0,16,23,1,6,2,0,0,0,0,13,0,0,0,302,0,564,198,296,894,0,0,0,0,0,0,0,0,0,18814,0,0,0,0,0,0,0,0,221,238,60,253,0,1268,970,1248,6007,16529,332,40142,0,264,4088,659,9980,13526,1079,131,1059,334,0,432,0,448,0,0,273,0,0,0,0,0,0,142
