0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포
일산,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
문산,73,0,0,2,0,0,175,0,0,3,0,50,0,0,0,128,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,45,0,0,0,0,0,0,0,0,0,92454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
청량리,0,0,0,0,0,0,0,0,0,0,330,534,0,0,0,233,0,0,0,0,243,317446,47059,401829,4746,178253,31797,55343,61653,66830,3360,770,0,1440,0,0,128,172,0,268,0,0,334,0,71,280,47,0,0,0,864,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,17328,19814,106907,12632,374,26918,4937,60281,60325,2008,836,1833,0,0,646,0,0,0,0,0,0,0,0,0,0,0,2010,600
성북,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,146,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,1728,0,0,13,318,0,425,0,0,0,0,0,0,188,0,0,0,0,0,0,0,648,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,291
의정부,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,123,0,0,0,110,0,0,0,0,0,0,0,0,691,0,0,0,0,1728,0,0,126,449,0,421,0,0,0,0,0,71,46,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,306
동두천,0,0,0,0,0,0,0,0,144,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,0,127,0,0,0,0,0,50,60,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,103,272297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,51
신탄리,0,0,0,0,0,0,224,354,288,0,0,0,0,8,0,16,0,0,0,328,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,594,0,40,0,0,0,0,0,0,8,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,320368,57117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,15
금곡,0,0,0,0,0,0,0,216,1368,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,1258,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,273,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,186
가평,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,595,0,0,16,891,0,0,0,0,107,111,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,116,125,168,2,238,0,84,0,0,1115,0,359
춘천,4185,0,0,0,0,0,228,250,176,1112,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,1014,0,0,0,0,0,0,0,0,1,276,12,14,3,0,0,0,0,0,382,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,404,0,163
