0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
증평,1510,2490,0,863,235,0,1053,11566,1755,10245,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,12330,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1860,0,887,8589,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,778,0,0,8,0,18,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
음성,346,660,0,444,181,0,590,6423,1668,13205,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,10306,0,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7664,832,0,2306,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160,221,0,0,1,0,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,4
충주,4527,1439,0,989,460,0,3029,34044,6639,56912,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,44914,0,0,0,0,0,0,0,4,13,1,7,0,0,0,0,0,0,0,0,0,153,0,58689,8123,1565,2814,0,0,0,0,0,412,0,0,0,186,2735,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,7,567,1030,0,0,31,0,61,77,0,0,0,0,0,0,699,0,0,0,0,0,0,0,354,165,0,4
온양온천,104045,138984,0,100979,20847,0,105839,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,90,67,0,0,156,3,182,6467,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,2166,34162,62326,49813,17382,11304,0,0,0,0,0,0,0,0,0,0,59,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
예산,87833,99061,0,60645,18510,0,147871,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,4,69,0,0,145,32,402,9601,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,27951,5979,24915,32287,10367,7052,0,0,0,0,0,0,0,0,0,0,172,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,338,0,0,0,0,0,0,70,0,0,0,0
홍성,117359,115641,0,75391,18147,0,173583,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,100,296,0,0,27,213,1256,18794,0,0,0,0,0,0,427,0,0,51,469,5,0,0,0,0,0,53888,23097,1974,35523,12982,8707,0,0,0,0,0,0,0,0,0,0,273,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,123,0,0,0,0,0,0,204,0,365,0,28
대천,106699,93391,0,80116,18310,0,112258,0,0,18425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,562,1690,42614,0,0,0,0,0,0,0,0,0,0,75,0,125,0,0,0,0,36027,25396,31555,1826,19242,13844,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,312,233,0,0,0,0,0,257,0,132,0,0,0,0,63,0,0,0,0,0,0,446,0,341,0,0
장항,55903,49873,0,33463,5001,0,27882,0,0,24175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,637,2142,28355,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,12626,9809,12655,19553,554,2011,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,239,147,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,276,0,94,0,0
군산,25451,22195,0,21510,4046,0,16950,0,0,8885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,102,184,0,0,0,887,2555,17801,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,412,8161,6071,8002,12513,1390,72,0,0,0,0,0,0,0,429,0,0,13,0,0,0,0,159,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,25125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,18616,38832,296812,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,0,2448,0,0,0,0,0,0,0,0,0,0,0
능곡,306881,0,416,0,0,10815,0,0,0,39066,0,0,0,0,0,51090,0,1076,6566,50794,0,0,0,0,0,0,0,0,0,0,0,0,326,2528,7116,796,2777,1130,4686,803,44,6253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12138,2879,27840,161665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,5349
일산,510754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,0,0,0,0,0,0,0,0,1368,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30925,21387,7053,268658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문산,1756049,0,0,0,0,0,0,21,72,0,5,5,130,0,115,0,0,0,0,2847,0,0,0,0,0,0,0,10,195,106,0,49,970,2332,0,0,0,144,115,2,0,213,590,0,0,613,106,320,138,52,128,186,0,0,0,0,0,0,49709,42948,69510,137764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,49,0,388,0,0,0,0,0,0,0,0,86,0,0,0
청량리,28,9,0,0,0,0,0,0,208,0,0,78,0,0,0,98,0,0,0,0,4908,548698,36727,271459,2529,109240,23345,38700,44474,47041,2125,281,0,2254,0,0,170,432,0,0,0,0,0,395,0,0,25,230,0,0,0,2735,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,41838,617807,903319,0,0,0,0,0,0,0,3,738,11700,20080,104591,7,616,23359,4589,56450,80590,1098,358,1323,931,0,28,0,0,0,0,0,0,0,0,0,0,0,0
