,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산,여수엑스포,광운대
동두천,0,0,0,0,0,0,0,0,0,0,0,0,61,0,174,0,0,0,0,276,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,125,0,7,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,414341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
신탄리,0,0,0,0,0,0,233,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,141,0,71,273,263,88,0,0,0,0,0,0,526,0,0,0,0,39,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497534,95560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
금곡,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,149,0,0,0,0,0,686,0,0,0,157,0,0,0,0,0,0,0,0,0,0
가평,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,78,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,10,0,0,0,0,20,0,0,15,0,0,0,0,380,34,244,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,66,33,0,0,0,23,0,0,61,88,15,314,6,0,0,0,836,0,5,0
춘천,0,0,0,0,0,0,266,213,76,1123,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,239,360,694,56,43,649,0,0,465,14,490,0,0,0,251,135,134,78,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4836,2,0,0,0,18,0,0,0,2,0,0,0,0,0,0,417,0,78,0
상주,235,0,0,0,0,0,0,0,0,0,0,0,19611,25145,4019,43423,5817,884,6372,15126,0,0,0,0,0,0,0,0,4174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,1823,1130,4,2,0,11,0,16,62,616,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,514,0,0,0,0,0,0,0,0
점촌,0,0,0,0,0,0,0,0,0,0,0,0,10216,12172,2475,24998,3720,609,4300,9670,0,0,0,0,0,0,0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,630,5,13,0,3,0,4,75,511,0,0,0,0,0,0,0,0,0,0,208,153,0,63,24,70,18,377,25,0,0,0,0,0,0,0
예천,0,0,0,0,0,0,0,0,0,0,0,0,4448,5654,771,9219,1390,285,2824,4128,0,0,0,0,0,0,0,0,2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,656,173,0,0,0,2,0,3,11,126,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,73,0,0,0,0,0,0,0,0
연무대,3096,0,0,0,0,0,0,1728,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680,0,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,912,0,0,36,0,0,8,0,0,0,0,0,29,22,1,1054,5,4,31,35,0,0,0,0,0,265,43,3,918,3330,313,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,15,21,6,0,508,0,3126,1910,301,2067,1415,0,0,7,0,26,58,1019,221,361,0,523,0,401,0,0,0,0,0,0,0,0,0,0,1141,0,0
춘양,15,0,0,23,0,0,8,0,0,0,0,0,4,47,5,1425,1,2,14,24,0,0,0,0,0,92,5,3,6196,2611,107,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,9,11,733,192,0,2444,3979,146,1470,1109,0,0,3,0,7,14,697,106,229,0,208,0,158,0,0,0,0,0,0,0,0,0,0,813,0,0
석포,22200,0,0,1082,0,0,631,234,174,1100,0,0,9,35,8,2148,19,11,88,980,0,0,20,372,0,3635,73,45,12103,2921,135,517,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,671,66,32,0,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0,0,21,8,13,3220,3605,0,3322,100413,536,2286,1821,0,0,65,0,353,4212,847,89,193,0,93,0,126,0,0,0,0,0,0,0,0,0,0,614,0,0
철암,761,0,0,1049,0,0,115,0,0,0,0,0,856,0,0,8981,72,101,108,1314,4,54,5,199,0,2831,41,46,9071,3945,558,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,2,0,1433,1412,0,97315,104,446,4282,5231,0,0,267,25,829,236,2745,235,666,0,224,0,894,20,62,91,0,0,0,0,0,0,0,3249,0,0
도계,0,0,0,0,0,0,0,0,0,0,0,0,139,334,67,4727,164,57,598,1260,408,638,87,5333,5,3741,0,0,1759,708,125,168,0,0,0,0,36,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23880,0,0,0,0,0,0,74,11,5,245,156,0,449,424,188,31067,23084,0,6,989,221,2703,2810,657,35,159,0,0,64,182,0,0,0,0,0,0,0,0,0,0,547,0,0
동해,728,0,0,0,0,0,0,64,0,50,30,198,371,263,29,5120,41,23,108,168,165,1193,87,2257,64,14993,0,0,11525,5094,1598,444,0,910,0,0,10,0,687,0,0,0,361,0,0,104,706,251,70,0,0,0,0,0,0,0,0,0,0,0,0,17745,0,0,0,0,0,0,118,159,55,2072,1441,0,1451,4692,28840,1109,86220,0,124,4798,521,12808,18449,1682,119,226,0,0,198,509,88,87,79,13,135,4,0,0,0,1331,621,43,0
강릉,1375,182,0,0,0,0,240,60,0,290,0,0,350,774,56,10170,241,351,792,2122,242,1861,120,3466,19,18465,412,0,7560,6151,923,1148,0,0,411,0,4,0,441,75,22,642,802,0,0,16,459,700,0,0,345,226,257,133,0,0,803,0,0,0,0,49532,0,0,0,504,0,0,545,470,169,1395,1141,0,1479,5103,22498,80027,106257,0,44,5116,770,17833,30373,3660,457,1040,0,680,154,551,0,0,0,0,0,0,0,0,0,1723,3148,108,0
정선,1817,0,0,0,0,0,0,0,0,0,0,0,656,0,0,146,0,0,0,0,0,382,0,840,0,7490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6675,10,1338,288,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,2,399,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,45,39,0,109,11,86,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영월,2326,0,0,359,0,0,5,0,0,0,0,0,75,0,0,0,0,0,0,0,428,1556,163,14562,24,18379,3,4,20,0,0,0,0,0,0,0,321,0,0,0,0,62,0,0,0,83,270,0,0,0,0,0,0,0,0,0,0,0,792,0,0,30890,400,0,0,0,0,0,0,0,0,5,1,0,65,152,1196,4929,4910,1220,61,0,1088,14241,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
예미,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,88,265,55,4235,4,4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,8,198,636,1032,390,9,1223,0,1716,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민둥산,1242,0,0,21,0,0,4,73,3,249,0,0,0,0,0,0,0,0,0,0,756,4482,256,22182,47,31842,5,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,214,500,0,0,0,0,0,0,0,0,483,0,110,176,75,70998,0,0,119,0,0,0,0,0,0,30,7,0,2292,577,2781,12918,18931,3369,134,12157,1500,1285,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,0,0,0
태백,5200,0,0,167,45,0,176,352,1096,1325,0,0,0,0,0,0,0,0,0,0,843,2102,248,20370,59,20412,71,77,315,0,0,0,0,0,0,0,701,0,167,16,0,205,0,0,0,45,425,953,0,0,0,92,145,251,132,231,0,0,0,0,0,62065,49,0,0,149,11,0,0,0,0,127,35,0,2132,210,3318,19694,29618,0,100,6832,937,11070,10,0,0,0,0,0,385,0,0,0,432,0,0,0,0,0,0,863,0,123,0
