,서울,광명,영등포,수원,평택,천안,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,진해,하양,진영,장원,마산,함안,진주,하동,광양,보성,화순,울산,공주,포항
여수엑스포,250236,57817,20611,36638,8893,12939,15710,7951,2507,47533,0,0,0,0,0,400,390,0,0,31,0,0,0,389,0,0,0,0,0,0,0,0,1740,7298,59131,0,0,0,0,0,0,0,122459,4879,26076,32905,110220,2715,15195,38,26,483,0,0,0,77,0,0,0,0,0,0,6567,0,0,303,0,109,0,261,176,49,231,0,0,0,0,0,0,0,0,0,3,143,84,0,0,0,0,0,587,0,0,63,0,0,0,0,504,0,0,0,0,0,0,0,0,2158,0
청주,1005183,217985,8586,7636,1995,4347,24760,28210,14943,134244,775,1155,892,5536,343,118208,692,4012,11376,157442,0,0,0,0,0,124522,4005,1409,3592,0,0,0,1005,1547,41424,69,7925,621,56387,8294,0,22215,10891,0,1478,693,9702,12959,37633,23035,19013,108040,0,0,0,0,0,0,0,676,0,0,23872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,42,52,785,360,0,430,2175,0,0,75,0,5,909,0,0,14512,0,0,0,1329,6523,3336,41,644,11,0,0,0,45009,2310,6660
증평,1377,0,1844,1338,759,982,0,20844,3513,19968,324,202,133,228,36,609,0,0,0,0,0,0,0,0,0,14972,484,118,368,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,25,0,38,21360,0,1373,21532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
음성,364,0,548,398,292,879,0,8545,2440,22198,179,92,70,160,67,349,0,0,0,0,0,0,0,0,0,13663,329,174,520,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,34,0,26,16371,1803,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충주,3005,0,1580,3020,968,4144,0,27736,10288,70404,570,663,435,531,101,534,0,0,0,0,0,0,0,0,0,79242,870,678,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,483,98485,21679,3414,1782,0,760,0,0,0,0,0,716,0,448,0,490,0,1646,1021,0,0,0,0,0,0,0,0,0,0,0,8,1,112,102,0,0,889,0,0,0,0,0,720,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0
온양온천,125178,0,146776,94272,26052,44284,0,0,0,36,0,0,0,0,0,108,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,6,77,7649,0,0,0,0,0,0,0,0,0,344,0,0,77,0,0,0,0,0,0,0,2826,38131,79384,35479,12438,9988,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산,92259,0,104614,71798,21800,171706,0,0,0,53,0,0,0,0,0,156,0,0,0,0,0,0,0,118,0,320,0,0,0,0,0,0,30,136,13953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43636,6562,35402,23938,11862,5888,0,0,0,0,0,0,0,0,0,0,124,264,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홍성,132260,0,144673,94212,24556,204497,0,0,0,612,0,0,0,0,0,98,0,0,0,0,0,0,0,20,0,214,0,0,0,0,0,0,146,348,30117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81794,35962,3122,52260,15762,10307,0,0,720,0,198,1091,0,0,0,858,75,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대천,98412,0,87953,89679,24624,142714,0,0,0,6535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,392,1274,84059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39595,29321,53905,3330,20694,19672,0,0,0,0,404,144,121,59,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391
장항,50081,0,41957,34113,5809,24988,0,0,0,3729,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,323,0,0,0,0,0,0,163,536,41694,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,716,0,1094,0,14400,13287,16969,20387,1340,1863,0,0,0,0,552,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군산,34416,0,27284,35958,8460,26089,0,0,0,4307,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,248,0,0,185,24,0,0,431,906,32234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11543,9028,9569,20173,2012,51,0,404,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0
능곡,21499,5577,0,0,0,0,36207,0,0,62130,586,404,0,2705,0,75680,0,686,1994,87011,0,0,0,0,0,448,0,0,0,461,0,0,268,955,18568,338,5862,535,32322,4568,0,11847,8523,0,2765,514,6804,6448,23043,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,2437,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,9516,0,0,0,0,1840,1490,0,22,0,0,0,0,20755,763,7287
문산,19322,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
