0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,두계,논산,익산,김제,정읍,장성,송정리,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,군산,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,증산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
예천,0,0,0,0,0,0,0,0,0,0,0,121,3953,3838,399,4373,867,365,2688,5260,0,0,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,213,77,0,0,0,0,0,2,2,73,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0
군산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,169588,0,0,0,0,0,0,0,41829,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,20860,0,0,0,0,0,0,0,145,0,0,0,0,0,330,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연무대,11016,72,0,0,0,0,72,2880,0,5472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,2592,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3168,6912,0,0,0,0,1656,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,0,0,0,0,0,0,0,0,0,0,0,0,40,22,8,1406,0,2,47,88,0,2,0,6,0,7,0,0,1175,2004,237,364,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,43,13,1,0,0,49,539,2167,1180,345,1308,1601,0,0,6,2,97,191,1685,130,1600,408,0,0,0,640,0,0,0,0,0,0,0,0,0,0
춘양,107,0,0,0,0,0,0,0,0,0,0,0,29,63,9,1814,3,6,33,53,0,6,0,19,0,34,1,32,8093,2637,116,216,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1430,0,0,0,0,0,0,0,0,25,3,10,0,0,807,197,1637,1116,213,909,1059,0,2,15,14,70,120,1279,129,1180,296,0,0,0,259,0,0,0,0,0,0,0,0,0,0
석포,0,1978,0,0,0,0,0,0,0,0,660,0,11,45,8,1627,1,1,11,15,0,168,0,32,0,64,2,4,8267,1953,98,118,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,0,0,0,0,0,0,3,1,4,0,0,2599,1800,2429,3076,213,1109,1083,0,13,10,2,71,277,402,16,330,396,0,0,0,60,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,5,1,31,0,0,135,327,18,14427,12,77,2145,1362,15,131,4,1563,0,1142,3,102,8684,5092,672,1751,0,0,5,2,12,0,0,0,0,0,0,0,0,0,0,0,30,0,11,12,0,0,0,0,0,0,0,0,0,5099,0,0,0,0,0,0,0,0,98,46,54,0,0,1297,1046,2567,129,1192,8912,15327,0,20,499,132,3810,771,8246,547,6736,1568,0,473,0,1012,0,0,0,0,0,0,0,0,0,4
도계,0,15,0,0,0,0,0,35,12,251,0,0,182,239,60,2297,2,26,97,214,51,255,40,3668,0,3035,0,8,2016,976,129,473,0,11,316,2,11,8,0,0,0,0,297,0,54,0,0,0,204,3,6,56,0,0,0,0,0,0,0,0,0,15643,0,0,0,0,0,0,0,0,87,70,10,145,0,353,198,169,840,1334,17961,19501,0,28,617,171,2227,1173,637,34,543,159,0,0,0,286,16,2,124,0,66,0,0,0,0,398
동해,0,73,0,0,0,0,0,137,26,339,0,0,162,390,45,5941,6,86,152,367,8,872,38,1858,1,9297,57,654,8302,3566,664,647,0,26,58,11,23,4,0,0,0,0,0,0,0,0,319,0,932,170,281,525,0,0,0,0,0,0,0,0,0,23324,1,0,0,0,0,0,0,0,157,109,100,0,0,1297,979,1085,6745,17682,280,36544,0,331,3939,719,9956,12411,1317,162,1195,428,0,336,0,422,0,0,0,0,0,0,0,0,0,267
강릉,1,513,0,643,0,0,104,906,107,1946,4,50,907,1370,175,10697,37,306,1048,2984,6,1526,127,3222,0,11193,76,680,9762,5806,872,1635,8,419,938,150,235,59,0,0,0,0,279,0,0,0,384,175,2492,441,350,1545,42,0,59,68,63,0,0,0,0,59469,0,0,0,0,0,0,0,0,619,549,260,0,0,1612,1035,936,11966,18576,37321,42598,0,156,2390,1132,14178,26854,4305,230,4274,1805,0,264,0,363,153,81,855,20,795,0,2065,0,11,1165
정선,5721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30649,0,0,0,22683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,33,45,7,838,0,233,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,21,28,299,152,0,5,110,92,644,290,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
