,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
철암,0,0,0,0,0,0,0,73,31,3,0,916,15,8256,3,1,13717,20,274,6537,132,12504,151900,25947,7669,15452,1,0,1,0,0,0,0,0,0,0,0,0,0,100,98,0,0,0,0,0,0,0,0,0,0,0,70239,0,0,0,0,0,0,800,1664,1740,9,0,185627,209991,49658,167514,73603,3896,887,8293,60125,2865,128,6768,9355,138,3,0,0,2,0,0,0,0,0,0,0
도계,2,0,0,0,0,0,0,8,46,4,0,75,0,329,0,0,3383,2,117,3696,7,5413,20606,3526,835,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,31746,0,0,0,0,0,0,75,267,145,4,0,10754,60335,435246,379160,56586,36,55,5991,4409,928,34,1167,1957,2,0,0,0,0,0,2,0,0,0,0,0
북평,2,0,0,0,0,0,0,65,49,0,0,201,33,6570,0,1,25218,3,381,2984,12,14043,36234,6620,2552,6460,0,0,1,0,2,0,0,0,0,0,0,0,0,49,28,1235,0,0,0,0,0,0,0,0,0,0,52023,506,0,0,0,0,0,96,185,186,0,0,12140,155302,383385,343838,344898,3500,1801,12003,41840,3852,300,8564,8680,201,2,0,0,1,0,0,0,0,0,0,0
강릉,0,12,307,0,0,23,0,1,1810,40,146,1676,498,35409,264,0,45476,5,73,2454,0,7135,31698,7789,1519,8478,1240,42,0,0,0,0,0,0,0,0,0,0,0,1585,0,234,0,0,0,0,0,0,0,0,0,33,63352,0,0,0,0,1171,0,1573,40,38,0,0,6828,65507,49136,343154,170522,227,30,1026,2718,4801,327,9729,13906,729,15,0,0,458,0,0,0,0,0,0,0
정선,99,0,0,0,0,0,2,403,3,0,0,2,14,260,0,0,250,59,351,23860,199,74290,1188,247,44,14,0,1,0,0,0,0,5,0,0,0,0,0,0,615,971,0,0,0,133,0,0,0,0,0,0,0,41965,0,0,1,0,0,0,1,1,1,0,0,16,4750,302,1469,375,950925,8169,115402,125679,37,4,58,31,7,0,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,2,1,2,3,445,4,0,0,2,5,67,0,0,48,140,442,6220,517,15985,851,104,36,56,0,0,0,0,0,0,0,0,0,0,0,0,0,674,1514,0,0,0,0,1,0,0,0,0,0,0,21552,13,11,2,0,4,0,7,32,12,0,0,16,1716,233,1716,109,8633,9646,107376,22208,74,4,118,35,15,0,0,0,0,0,0,0,0,0,0,0
석항,0,0,0,0,0,2,6,3627,58,0,0,5,0,821,0,0,837,400,1210,47566,1496,191888,7149,1381,432,498,3,3,0,3,0,0,0,0,0,0,0,0,0,5182,5772,0,0,0,0,0,0,0,0,0,0,0,116188,0,0,1,0,170,0,2,8,0,0,0,62,9035,3747,10415,2186,115957,96125,480186,155529,247,24,1482,732,76,0,0,0,0,0,0,0,0,0,0,0
고한,0,0,0,0,0,0,3,1985,20,0,0,4,0,791,0,0,481,141,1221,48807,2315,110818,6815,1659,294,767,0,0,0,0,2,0,0,0,0,0,0,0,0,2647,3170,0,0,0,104,0,0,0,0,0,0,0,154401,0,0,0,0,0,0,6,10,9,0,0,528,50392,4916,26982,3859,108080,15051,150779,308082,40,1,215,388,2,0,0,0,0,0,0,0,0,0,0,0
부전,0,584,0,0,0,0,0,0,0,0,0,1239,0,6090,0,1,8133,30,462,8013,584,22014,23525,41849,28145,20324,4856,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1455,0,0,0,0,0,0,257,0,236,0,0,2689,3796,1007,3947,5059,37,0,53,20,23476,688403,241457,134939,8971,0,0,0,0,0,0,0,0,0,0,0
좌천,1,0,2,0,0,0,39,0,0,0,1,0,0,4578,2,26,160479,403,120,976,88,2986,1805,2866,2076,4427,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3739,0,0,0,0,3,0,1,0,2,0,0,125,341,126,391,602,1,0,10,12,723448,254815,350304,47575,4157,1,0,13,75,9,12,1,0,1,0,0
울산,0,1,5,0,0,0,4,0,392,40,19,204,1,18247,0,34,93875,64,803,10707,1338,28164,17420,28417,16041,29766,1,1,0,0,0,0,0,0,0,0,0,0,0,1,638,0,0,0,0,0,0,0,0,0,0,0,22783,0,0,0,0,1,0,0,3,5,1,0,2127,6100,1052,8423,10020,1,0,300,104,256903,358004,158752,501867,17566,127,0,8,591,19,76,0,1,0,0,0
경주,103,18762,1743,0,232,224,172,26,463,3,211,1073,630,145767,699,48,62253,273,1187,7589,172,16880,22026,40496,30073,125521,1229,212,51,0,0,0,0,0,0,0,0,0,0,22,17,2511,2042,0,0,0,0,0,0,0,0,0,23325,0,238,114,0,0,0,2358,234,612,2,0,2767,9294,1482,8370,12350,9,0,23,139,132250,44068,480704,222276,569952,9,0,157,403,44,13,3,0,0,0,0
포항,78,4130,494,3,71,4,73,47,1037,25,519,396,235,91799,2,5,8672,8,32,651,32,3102,2916,5368,4566,25407,1,16,3,1,12,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,2084,318,0,0,0,0,0,2,3,1,0,0,75,365,24,111,3002,0,0,16,26,13876,4327,21609,552234,1863862,914,0,11,386,1,412,0,0,0,0,13
진해,33018,13410,3804,25,1523,33,2614,1951,6733,62,580,1758,1226,28325,3724,26046,15480,0,0,0,0,1,0,0,0,0,1,15,3,0,158,146,2210,520,1,2,2,424,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,149,205,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,154,11,6909,1015345,0,38397,287848,1813,920,510,150,336,31,1097
삼천포,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,2,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,583,18,174,169,23352,3196,219,88,0,3
진영,5947,404,1252,10,1112,3,460,299,1305,1,144,555,620,13904,3163,62702,127680,0,0,3,0,0,1,5,0,0,0,2,3,0,29,55,264,1,0,28,0,757,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,17,0,0,0,0,0,0,0,0,0,0,1,7,59,178,14,36920,5,163585,348851,8597,5676,1818,244,924,49,712
마산,118683,7899,16347,147,11355,143,12714,8089,31812,5,4044,12709,8335,171590,20100,250565,115112,0,90,90,0,35,1,702,0,1801,4212,700,4,0,2177,1512,6885,1147,14,207,300,18399,161,0,0,441,23,0,0,0,0,0,0,0,0,480,0,0,929,80,90,1987,0,0,0,0,0,0,82,0,0,80,459,0,0,1,0,1,0,876,360,316,264100,13,353552,31330,691765,110873,21814,4644,7355,847,9055
군북,9353,4,655,2,604,0,252,240,821,0,92,204,316,5250,44,6713,53927,0,0,0,0,0,0,0,0,0,4,32,0,0,51,18,267,72,0,13,1,2450,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,48,1,1535,113,8413,678971,154611,143247,2519,544,382,43,321
진주,66013,67,5801,1,5007,2,3297,2053,8241,2,635,1787,1826,15998,272,13430,38740,0,0,0,0,0,0,0,0,0,5827,1933,0,0,405,93,2532,2346,330,1841,803,33076,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,35,0,1,616,17256,5015,103979,139334,515603,230338,21038,5705,278,3125
하동,16303,81,456,3,465,2,326,193,666,0,32,99,117,1501,14,2643,21311,0,0,0,0,0,0,0,0,0,281,355,0,0,70,100,778,645,51,412,493,61187,2208,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,134,1182,1846,22413,2401,248090,185204,59525,5087,155,1218
광양,12628,245,1907,55,802,20,214,176,277,0,1,78,98,1222,2,1871,17118,0,0,0,0,0,0,0,0,0,88,1181,1,0,108,130,1080,976,230,758,2807,188391,13114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,280,5902,593,21967,62993,163125,15646,606,3518
보성,3298,3861,2618,300,817,918,582,1057,552,0,0,0,2,727,1,3869,62112,0,0,0,0,0,0,0,0,0,421,1194,99,82,4654,2803,10586,514,99,1379,1357,321680,62685,6,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,0,0,0,0,0,24,0,84,0,575,8826,403,7607,7159,14408,981765,132659,357161
화순,50,751,321,130,108,23,17,12,21,0,0,0,0,91,4,206,5890,0,0,0,2,0,0,0,0,0,10,52,39,16,1489,1733,3468,0,0,77,116,9104,8283,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,79,1316,33,492,361,526,133279,133058,243815
광주,223633,61272,54396,3730,26648,2659,18756,11452,32434,0,1,408,3,1567,0,1093,32074,0,126,33,0,0,0,19,0,15,18471,32469,25952,4097,45714,67908,273812,103,0,0,0,25885,24096,0,0,81,50,0,0,0,0,0,0,0,94,269,0,0,800,165,52,1251,0,0,0,0,0,35,0,0,0,40,0,0,0,0,0,0,0,0,0,1,159,0,539,10358,244,2872,1636,2887,369275,225764,381959
