,서울,영등포,수원,평택,천안아산,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,김천구미,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,부천,부평,인천,온양온천,예산,홍성,대천,장항,군산,수색,능곡,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,오이도,상주,점촌,예천,광주,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광명,울산,포항,수서,동탄,지제,오송,신경주,공주
김천,53372,40839,49288,10207,19261,10819,6078,111561,6578,26299,0,207340,28813,0,383514,27542,4131,21049,34801,0,0,0,0,0,240,57,8,4812,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,144,66,328,0,0,0,0,376,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13710,6665,3030,0,3,1,4,1129,7,69,328,287,0,0,0,0,0,1267,0,3,2,12,395,2144,1249,95,1077,125,0,0,0,0,0,10,0,0,0,0,0,0
구미,487651,153600,98014,20545,71224,15168,9322,272264,6612,22595,193581,0,74534,0,1432030,129362,16792,81613,207658,0,0,0,0,0,551,101,9,3581,0,0,16,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,9504,175,167,420,0,0,0,0,0,0,0,0,0,0,4001,0,0,0,0,0,0,0,0,0,0,18632,8179,3873,0,13,4,5,32,42,207,978,0,0,0,0,0,0,5571,0,4599,8,22,1701,8849,3400,293,2565,0,0,0,0,76979,23481,14498,0,0,0,0,0,0
왜관,21997,14185,16966,5505,5941,3957,2086,28905,1739,5827,29763,77017,0,0,604213,66809,5244,22274,35649,0,0,0,0,0,113,14,6,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,43,55,84,0,0,0,0,0,0,0,0,0,0,0,0,136,0,123,64,82,0,0,0,0,3979,2009,645,0,2,1,2,19,10,42,206,0,0,0,0,0,0,1562,0,0,0,0,580,1634,714,102,486,0,0,0,0,0,0,0,0,0,0,0,0,0
김천구미,0,0,0,0,785,0,0,1259,0,0,0,0,0,0,2011,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,6466,1084,0,51,87,0
동대구,3142080,735235,378106,53712,355233,25782,14186,704752,10491,40085,381625,1459337,602111,1968,0,573419,225317,507783,1368932,0,0,14,672,0,390,276,26,14448,12352,11580,253237,0,0,0,0,0,0,0,0,0,338,0,201,0,0,0,0,139166,527,394,496,0,0,0,0,0,0,0,584,0,700,89603,0,148,17,83,20,0,0,0,0,0,32094,17871,7793,0,1059,2124,2565,4786,1725,4438,11779,103,0,0,0,0,0,41068,23645,241239,3428,140301,54007,256668,80443,3360,29397,280,0,0,0,590983,517098,304772,55831,8559,2639,2325,2241,0
경산,61196,18350,26159,6390,10161,3889,11415,32475,1365,3271,28145,133767,70212,0,623183,0,82763,189329,300801,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,560,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4902,3025,1144,0,5,0,0,10,8,30,409,0,0,0,0,0,0,10695,0,0,0,0,13853,52246,28725,980,7610,0,0,0,0,904,0,0,0,0,0,0,0,0
밀양,133154,29130,13626,3052,13101,1891,635,31982,530,1878,4582,18290,5931,0,227519,80400,0,386835,402120,287,0,0,0,0,400,0,0,826,0,0,0,0,0,0,0,0,0,35,19,6,50,0,36,0,0,3100,0,5073,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,325,0,0,0,0,41,0,1009,563,467,17,2,5,7,101,6,66,500,0,0,0,0,51,0,27468,163,71,7,0,16178,83337,32387,1482,15596,886,150,124,6,21254,195,914,0,0,0,0,0,0
구포,351030,50999,44714,12740,56294,6847,2863,118851,2952,8646,21725,81267,23198,0,578792,188216,396886,0,134403,0,0,0,0,0,390,0,0,1916,0,0,0,0,0,288,0,0,0,117,63,27,294,0,107,12,0,6298,0,13937,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,328,0,5172,4009,2607,28,13,7,15,639,30,58,1292,0,0,0,0,310,0,26365,2953,2560,71,0,4830,19263,7983,2120,6529,4085,535,766,126,34313,2248,1016,0,0,0,0,0,0
부산,3759214,863080,413446,30207,383514,15061,6624,774158,5028,16722,37014,218413,38924,1325,1353578,248013,371651,140978,0,0,0,0,570,0,4,0,0,3119,0,0,0,6,87,0,0,0,0,337,10,22,48,0,39,0,0,5098,0,170158,0,0,280,0,0,0,124,103,120,0,0,393,720,94230,0,0,0,0,0,0,0,0,46,0,13020,8207,4437,78,20,411,130,1407,76,208,3591,0,0,0,0,0,0,607,1515,108372,41,0,763,1543,828,543,2514,1870,209,1575,36,744787,276928,94832,75733,14221,4830,5693,2549,0
팔당,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,287,0,0,0,1950,8340,15245,100,1922,175,171,230,400,0,0,0,0,0,0,280,0,0,168,0,466,325,0,582,0,0,236,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,685,178,209,0,11,305,55,855,584,0,0,190,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0
