,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수엑스포,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,광운대,의정부,동두천,신탄리,금곡,가평,춘천,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍룡,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
좌천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23774,0,134,2097,1957,0,268,5,416,8,658,368,307,1086,1862,710,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,203,90,106,1022,42,138,423,0,0,0,0,0,0,258641,35063,41612,742,6568,0,3577,256,942,626,178,514,2012,50,0,0,0,116847
경주,624043,439,138927,48611,97,36138,562,40,9,118385,0,0,424,3762,0,265160,0,50,1561,122211,0,566,31,1080,14,2157,1078,894,4091,8778,7574,44002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,13706,0,0,0,0,0,0,0,0,0,0,13003,0,0,2923,0,0,0,0,0,0,0,0,0,0,0,468,215,256,591,145,282,1531,0,16,128,33,0,0,142703,38578,8541,1658,44766,0,31973,130,431,306,42,134,16,35,280,0,0,238115
안강,681,415,0,724,155,0,194,25,0,504,0,0,172,459,0,6200,0,7,48,60,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,602,2247,0,2032,0,731,5,32,8,10,9,0,1,0,0,0,2161
포항,4795,3048,0,5129,1907,0,1786,536,0,3217,504,211,2207,3463,2,50110,0,148,1012,464,0,0,0,0,0,208,0,0,129,0,0,4732,0,544,0,0,718,0,0,0,0,0,0,0,388,0,477,315,185,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,181,155,55,0,65,19,122,0,0,0,1397,388,0,0,0,407,562,13698,5274,45007,2208,115,0,7234,265,419,494,202,1582,75,41,650,0,0,14004
진해,2566,465,0,401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,77,0,503,0,401,28,398,0,0,0,388,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,390,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,31,114,192,0,0,1,0,223,0,0,0,0,0,0,0,0,0,5168,5877,0,0,0,0,0,0,243,0
하양,1266,798,0,1490,198,0,355,69,0,1135,0,0,1882,4552,0,130366,0,0,0,0,0,0,0,0,0,0,0,0,3651,8361,4437,8154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,282,247,703,251,696,632,0,0,0,0,0,0,7577,3422,33185,1022,9521,0,0,0,0,0,0,0,0,0,0,0,0,40318
진영,30343,978,11555,1962,622,1121,673,424,146,7882,79,284,406,1736,340,50535,13426,29792,5499,1001,0,28,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,34,20,7,117,0,0,0,0,1884,139,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6539,264,192,7,283,0,0,313,11804,5522,1536,6542,2347,295,219,19,25,170
창원,375584,2634,110112,6415,2251,16619,1638,1433,1290,78392,211,1032,2503,6193,1044,245992,63415,124285,30798,3746,0,12,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,100,42,31,337,0,0,576,0,13615,410,4800,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,17390,1141,1018,42,580,6307,0,20159,4993,9531,12026,61625,12696,2777,675,63,29,355
마산,198867,2015,50832,4133,3296,8508,1059,770,192,42158,235,621,1662,2407,567,85818,32444,44803,9909,1976,0,31,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,83,38,25,383,0,0,0,0,9523,675,2778,0,0,0,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,181,65,0,0,0,0,0,0,10329,1097,654,11,607,5959,0,5552,11241,572,13740,51153,13959,2639,711,31,41,244
함안,4120,395,1089,599,138,117,187,85,26,700,30,34,149,280,68,2747,610,1226,2683,715,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,5,8,94,0,0,0,0,1476,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,101,52,11,203,0,0,1324,11905,13442,194,9879,980,358,55,8,16,94
진주,40595,318,11710,515,358,2739,325,217,14,3420,18,348,994,1087,180,24063,5553,12790,8141,3012,0,314,0,0,0,0,0,136,745,474,0,0,0,0,0,0,0,0,198,35,13,643,0,0,0,0,13047,386,397,0,0,0,0,0,61,173,168,388,0,0,0,0,0,0,0,0,0,0,234,0,133,141,114,0,0,0,0,34,80,247,198,0,0,0,0,0,0,11443,454,710,9,1622,0,0,5221,59107,49792,9749,2611,14588,2862,1031,36,34,1263
하동,259,0,0,0,0,0,0,0,0,0,0,11,81,0,0,730,0,936,5284,3511,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,43,16,131,276,0,0,0,11906,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7998,44,34,0,70,0,0,2248,11973,12953,848,14158,2758,1740,161,85,703,114
광양,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,725,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,59,23,81,0,0,0,0,4558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,47,34,1,43,0,0,328,2915,2643,326,2941,2210,114,378,105,28,63
보성,7518,6252,0,3923,641,0,916,805,269,1865,0,0,0,0,0,0,0,85,659,1362,0,0,0,0,0,0,0,0,0,0,0,0,121,371,992,348,365,216,7865,139,99,261,91,0,20,13,29123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0,280,0,650,0,0,172,1532,482,63,710,309,421,12873,12696,20322,0
화순,1086,1094,0,902,257,0,174,154,55,371,0,0,0,0,0,0,0,23,98,35,0,0,0,0,0,0,0,0,0,0,0,0,32,150,543,163,125,162,851,188,209,953,0,0,0,0,3507,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,20,71,44,26,45,90,103,11027,207,793,0
광주,440620,28110,99339,36884,9986,28882,7069,9797,486,63233,0,0,0,0,0,0,0,13,54,21,0,478,0,0,0,1468,190,197,0,0,0,0,4459,15710,79538,23694,22838,5882,549,1384,2882,12873,0,0,0,1,2806,0,4632,0,0,0,400,0,388,429,711,0,0,12544,0,497,0,0,0,0,54,389,777,0,0,0,0,0,0,0,0,0,0,0,2273,0,0,0,0,0,408,182,331,0,0,0,243,0,21,28,32,10,52,824,64,23176,1844,242,0
