0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,울산,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주
연무대,14184,0,0,216,0,0,0,2952,864,0,0,0,0,136,0,824,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,3096,0,0,0,0,144,7920,0,0,0,0,0,0,0,0,144,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉화,0,95,0,314,5,0,0,0,0,0,0,0,54,13,2,1208,7,2,49,37,65,190,0,0,0,0,0,0,584,2440,199,283,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,32,8,6,0,0,522,0,0,0,0,32,8,6,0,0,522,0,1044,136,1544,409,0,23,0,500,0,0,165,0,0,0,0,0,0,0
춘양,0,0,0,0,0,0,0,0,0,0,0,0,27,46,1,2470,11,8,16,45,0,0,0,0,0,0,0,0,6042,2565,119,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,6,0,638,482,0,0,0,0,42,4,6,0,638,482,0,682,91,2433,510,0,49,0,250,0,0,140,0,0,0,0,0,0,0
석포,3919,7697,0,0,0,0,0,0,0,1040,0,0,21,31,1,1562,0,0,7,27,1,104,0,72,0,432,0,4,7139,1939,96,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,213,42,87,70,0,0,0,0,5,6,1,0,2373,2536,0,0,0,0,5,6,1,0,2373,2536,0,220,34,270,106,0,38,0,110,0,0,37,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,0,0,10,0,0,58,172,13,10208,60,57,1289,1658,22,15,3,491,0,296,0,0,5744,3772,847,929,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,62,31,29,0,1268,1126,0,0,0,0,62,31,29,0,1268,1126,607,4357,761,4008,1040,0,1084,0,783,33,212,70,46,532,62,0,0,0,0
도계,0,101,0,0,0,0,0,11,3,16,0,0,49,149,6,2714,401,105,77,311,186,244,36,3077,1,2596,0,0,1327,1008,92,115,0,0,9,0,78,3,0,0,0,0,0,0,0,0,0,0,16,0,3,9,0,0,0,0,0,0,0,0,0,0,12176,0,0,0,0,0,0,0,0,14,15,11,0,370,207,0,0,0,0,14,15,11,0,370,207,2103,491,26,421,99,0,228,0,159,0,0,0,0,0,0,0,0,0,647
동해,721,157,0,250,0,0,0,42,17,492,0,0,104,313,20,4529,54,83,72,173,190,619,70,1515,1,9121,0,375,8680,3000,664,406,11,0,1,0,238,0,0,0,0,302,259,0,0,49,243,0,475,29,55,327,0,0,0,0,0,0,0,0,0,0,13520,0,0,0,0,0,0,0,0,108,124,171,0,1196,1121,0,0,0,0,108,124,171,0,1196,1121,11980,871,126,724,214,0,0,54,383,0,0,484,0,0,0,0,0,0,0
강릉,4792,752,0,640,0,0,64,71,37,1130,0,0,452,736,657,7440,124,236,379,1389,316,2808,61,3951,4,11905,0,58,6008,4459,682,635,0,344,542,26,88,369,0,0,0,230,0,0,0,0,600,0,600,440,83,222,12,146,190,52,0,0,0,0,0,0,36903,14,0,0,0,11,0,214,0,611,325,119,0,1330,810,11,0,214,0,611,325,119,0,1330,810,22553,2621,223,2056,760,0,0,425,395,0,730,0,0,0,0,0,0,0,1215
정선,7085,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,166,0,569,0,4929,0,0,422,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
쌍용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,1,410,1,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
