0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
영동,132328,14,89924,2420,52703,6770,17841,14495,270390,7166,13438,34434,31679,72392,2922,3020,76030,0,0,0,0,0,0,0,0,30,0,0,131,0,0,0,41,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,1260,17,0,222,0,0,545,1,1290,151,0,337,223,5446,61,741,0,0,0,0,0
김천,242982,85,115055,1751,82729,13461,32853,21150,181391,4517,41350,2367,124319,485405,27600,8652,185620,0,0,549,0,0,14528,0,0,1185,0,0,875,0,0,0,342,0,0,366,0,0,0,0,0,0,273,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,29886,28134,8988,1,0,0,510,0,0,956,0,0,0,0,73,369,1360,2721,3650,27,778,18692,302,2896,0,0,0,69,568
구미,353818,143,147062,1228,109530,18640,38434,29412,194252,5424,33343,144973,126358,1355029,113801,35664,418180,0,0,0,0,1,25457,0,0,3483,0,0,0,0,0,0,0,0,0,0,0,587,0,0,1760,0,0,0,0,0,0,0,0,637,0,0,0,144,216,0,0,0,8994,15505,8729,0,0,0,596,0,0,0,0,580,0,0,749,17,9769,7576,5286,0,2074,29204,831,10177,606,0,0,0,0
동대구,1867639,3827,475440,4122,381995,78960,138573,59262,533466,9812,76195,567470,1180900,4266,324614,337879,2917145,0,1151,10206,38,25545,117484,91530,39950,106977,0,0,688,0,0,0,0,0,0,0,0,957,0,0,288,0,0,0,0,0,0,0,0,1563,377,880,1090,1728,0,0,72,0,57106,68737,26862,0,0,10487,27575,6616,13236,33536,0,433,246,654,6526,2015,20840,39215,20875,2839,13519,165137,4149,15653,513,55,432,0,0
청도,56650,1118,25188,591,17806,2682,5401,3293,27466,739,3170,37957,101835,293743,38524,52770,519279,0,0,0,0,2,2010,0,0,8,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,144,144,1152,0,0,0,0,4289,4568,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,2252,45499,832,3557,0,0,0,0,0
삼량진,99811,1624,28538,901,21810,2368,6274,5614,29329,597,2809,9389,31130,342449,47365,146492,1855722,0,0,0,0,0,1606,0,0,293,0,0,0,576,286,80,488,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,1011,41,288,458,2163,53,0,432,144,862,1242,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227,19401,89901,3107,14270,712,316,567,83,540
부산,2578695,3570,601524,4980,476358,63625,189882,108600,839498,9669,81093,201243,416055,2892235,518103,1788471,841777,0,38,968,0,1479,16144,1972,110,637,0,0,3419,0,1371,3139,29483,0,0,1514,2136,12362,739,146,1054,0,0,0,0,0,0,0,0,1587,614,271,1440,3240,0,0,0,216,23549,30089,14064,0,0,350,312,19,103,774,0,0,83,651,169544,45756,35885,25156,8154,3426,65098,154046,18301,24684,10777,3666,11727,1526,20983
팔당,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41069,17916,3848,49,802,319,167,43,740,0,0,0,0,0,0,0,29,0,0,51,0,61,0,0,0,0,0,0,0,0,0,0,360,0,105315,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,96,79,16,87,18,440,21,20,0,0,0,0,0,720,0,0,0,0,0
양평,0,72,1956,72,0,0,0,0,0,0,0,0,0,1781,0,0,56,24181,45808,67093,189,9321,4883,2935,286,499,0,0,0,0,0,0,0,33,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,2664,698656,0,0,2160,1512,0,72,0,0,0,0,0,50,161,188,1263,1500,474,1018,180,2107,2340,100,1521,604,0,0,0,0,0,0,0,0,0,0,0
원주,1800,499,0,0,0,0,0,288,951,0,0,549,0,10707,604,72,1081,3169,69411,58760,1324,51813,43547,30028,1540,4378,62,0,0,576,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,90,531,60,0,0,530480,0,0,0,715,0,360,0,0,0,0,0,210,2922,6110,7859,10827,15650,15596,6852,74744,19016,904,17354,6093,483,0,0,0,0,0,0,0,0,0,20
봉양,0,0,0,0,0,0,0,251,0,0,0,0,0,38,0,0,0,52,267,1137,34,824,1139,253,59,85,0,0,0,0,0,0,0,0,0,66,0,0,0,1466,2251,0,0,0,0,0,0,0,0,0,0,3975,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,20,16,1,22,797,65,1036,345,4,0,0,0,0,0,0,0,0,0,0
제천,4882,0,3642,0,10811,3149,13877,62875,124427,0,0,0,0,35572,0,0,3094,546,10320,41457,597,11686,92296,63095,4271,8992,199,0,1164,0,0,0,0,0,0,600,0,0,0,270759,135580,0,0,0,0,0,0,0,0,0,0,361314,393,72,97,0,0,0,0,0,0,0,0,229,3279,5219,27230,23629,19143,21121,9587,62279,31618,1811,25951,8972,535,0,0,0,0,0,0,0,0,0,0
영주,3758,82,1812,300,10321,2473,4395,0,1189,0,0,14589,19681,118678,1732,1234,14463,305,7539,47130,1064,96544,12871,136076,10986,22593,0,0,546,0,0,0,0,0,0,0,0,0,0,8577,4214,0,0,0,10,111,111,54,0,360,0,441825,321,359,36,551,82,0,9072,8731,19697,0,0,56031,65180,8033,34219,52399,0,0,0,48,41829,1712,36407,19349,154,0,0,1391,0,0,0,0,0,0,0
