0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
쌍룡,0,544,0,0,0,0,0,120,719,0,0,0,0,315,0,0,0,104,1155,17004,10,14710,3,0,0,558,0,0,0,0,0,0,0,342,0,0,0,0,0,438,115,0,0,0,0,0,0,0,0,0,0,65880,66,326,59,0,0,0,0,0,0,0,4,749,1234,6829,4487,3908,4081,5045,20075,0,0,0,565,722,0,0,296,0,0,0,0,0,0,0
석항,0,0,0,0,0,0,0,7,121,0,0,0,0,0,0,0,0,5,357,5863,0,7265,1,82,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,87,61,0,0,0,0,0,0,121,0,0,0,12887,0,0,0,0,0,0,0,0,0,100,0,302,189,1232,1264,983,633,75,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고한,523,0,30,0,143,400,168,434,2284,0,0,241,0,105,0,0,270,87,2899,69077,12,54449,179,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,1278,490,253,329,0,196,96,402,0,0,436,689,203031,0,82,0,0,0,0,0,0,0,0,33,11699,1173,17010,26491,5207,21425,5117,31299,0,0,0,0,695,264,0,312,0,450,38,0,0,0,0
부전,29898,0,8203,0,187,0,280,108,8635,490,1303,238,470,11960,0,21,753388,12,936,6591,210,20549,19191,22267,6421,7645,688,1,0,0,0,0,0,0,0,0,0,1198,0,34,323,0,0,0,0,0,0,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,4216,7726,1148,1566,4655,0,0,0,0,132643,293216,137405,88826,19927,0,0,0,0,185,435,0,251,0,0
좌천,321,0,174,0,225,0,49,14,1645,0,261,75,257,2501,0,0,185160,193,119,977,25,2877,1819,2755,1440,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,573,719,120,317,651,0,0,0,0,249005,16319,45921,23968,7539,0,0,0,0,226,160,0,0,0,0
울산,79072,0,3057,0,13199,0,7617,852,17687,0,651,713,8401,12633,0,0,63214,46,1270,9729,234,21310,30959,33543,9363,11963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,11916,0,0,0,0,0,0,0,0,0,0,4729,9078,1721,2229,7789,1,0,0,0,102931,33148,2558,133773,18746,0,0,0,0,422,142,0,0,0,0
경주,305386,0,3534,5966,26037,15,10792,484,23735,9,112,2420,7733,78012,0,0,41165,6,859,6250,155,8670,19524,22468,8657,52797,0,498,622,244,134,0,0,0,0,0,0,60,163,17,238,0,0,0,0,0,0,0,0,1325,62,7200,0,0,0,0,0,0,0,344,480,536,1253,3581,1420,1378,5520,0,584,0,0,80089,19367,110182,14115,155149,0,44,516,9,507,611,532,0,0,1443
포항,70690,0,173,0,13723,11,5042,226,12973,42,7,3252,5159,315829,0,0,14207,0,0,0,0,1510,420,40,0,50738,0,0,325,0,0,0,0,0,0,0,6,0,0,0,0,0,1368,0,0,0,0,49,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,534,0,360,0,722,0,695,16260,7364,16540,152029,1572398,1080,0,0,0,0,309,0,0,0,388
진해,5115,0,1967,0,1181,0,720,152,1811,0,0,10,0,1935,232,55,1777,0,0,0,0,938,754,1007,0,0,362,0,0,211,0,0,0,0,0,0,0,0,0,321,349,0,0,0,336,108,161,75,0,432,0,280,720,0,0,235,374,0,377,750,0,0,0,0,0,0,666,399,0,0,264,0,0,0,0,1360,81814,0,61393,0,0,0,0,522,72,983
진영,13331,0,3746,0,3808,389,1271,674,4096,47,239,913,2090,15832,2540,12858,70609,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,388,0,0,0,222,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,58,53,0,0,0,0,0,0,0,0,0,44,0,12,1760,40740,1881,5942,1236,215,427,38,283
마산,214796,72,57371,0,66225,6268,24064,9927,54679,681,4956,14174,21142,124026,10385,61425,109921,0,0,0,0,453,615,589,0,0,0,0,0,144,179,629,5554,0,0,0,24,4682,105,259,25,0,0,0,0,0,0,0,0,0,0,0,0,2009,0,0,795,0,0,113,0,0,111,651,546,0,0,0,296,0,265,0,0,2,484,0,36508,38085,138,100471,55592,16555,2338,2060,221,2926
군북,8016,0,2571,0,2324,230,531,373,1690,46,194,459,805,4222,919,2077,18497,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,250,1,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,1706,109237,2874,35834,1293,217,190,10,323
진주,42523,0,13571,0,19822,8090,6609,5701,11136,99,737,3152,4816,12854,7458,14910,24252,0,0,0,0,0,0,0,0,0,815,1661,469,411,126,226,3627,1420,58,287,206,8881,0,0,33,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,72,0,0,0,0,176,0,0,0,0,1,0,0,0,450,185,102,422,878,0,0,3347,45525,31242,24159,95894,6265,1168,177,2339
하동,6087,0,2274,0,1411,171,282,101,490,0,0,722,28,2,0,1318,9731,0,0,0,0,0,0,0,0,0,660,202,0,327,29,65,325,114,10,64,63,8531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,435,80,142,571,309,0,929,15554,1245,83894,7577,4167,1484,54,530
광양,5755,0,3085,0,1256,202,135,101,353,0,0,0,0,0,0,915,3586,0,0,0,0,0,0,0,0,0,69,242,0,0,110,145,1178,437,37,139,60,8274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,149,3049,386,6935,8051,2638,3832,483,1538
보성,38267,692,16497,0,8487,638,1641,851,3384,0,0,0,0,556,75,1996,11759,0,0,0,0,0,0,0,0,0,1253,3148,2455,608,3481,1408,1894,0,0,0,0,61691,3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,251,0,0,0,0,522,359,2495,193,1203,1622,1512,106650,24953,217082
화순,2708,310,1440,0,768,74,174,87,367,0,0,0,0,0,0,96,1345,0,0,0,0,46,0,0,0,0,175,237,231,31,182,310,1158,0,0,0,0,6363,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,33,263,7,153,52,81,12351,3427,12141
광주,148966,2448,135275,0,88815,14897,21636,12589,42735,0,0,0,0,470,0,512,20176,0,0,0,0,623,0,0,0,0,29033,55243,34983,3510,6646,23885,213036,0,0,865,0,29815,4707,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1857,0,0,280,0,0,0,0,0,0,0,0,8,4764,0,0,0,0,0,183,0,911,920,983,207,3636,133,2174,463,1237,245979,52187,18411
