0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정주,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
상주,18,45,757,0,20,0,2,0,448,34,343,172593,27422,68945,676,767,15651,0,1,42,1,736,13404,0,0,1,2640,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,432,0,79616,86019,11490,12729,0,19,49,7,219,949,5,0,15,5,0,0,0,1683,14,0,0,1,0,0,0,0,0,0,0
점촌,34,18,473,0,1,0,0,0,136,6,32,77927,24707,80654,708,666,17105,0,5,26,2,1536,30185,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,720,0,85413,24850,76237,405570,0,204,354,31,21,59,5,0,21,10,0,0,0,1210,119,0,0,0,0,0,0,0,0,0,0
예천,10,1,5,0,7,3,1,0,75,4,3,27881,15349,43316,0,4,79,38,11,243,31,1863,216179,210,15,16,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,12424,85148,180437,1113,0,513,2203,229,229,1201,10,0,30,23,2,0,6,179,0,0,0,2,0,0,0,0,0,0,0
문경,0,2,0,0,0,0,0,0,3,0,1,8721,4906,16358,0,0,0,0,0,0,0,51,2149,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11533,458684,1375,61678,0,0,9,0,0,406,0,0,1,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0
군산,20,1039,2008,18,226,59,38,50,11045,1,0,44,11,207,1,9,362,0,0,0,0,0,0,0,0,0,15415,905961,19971,1658,1272,372,1589,61513,1447,2347,890,935,161,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,462892,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2
춘양,0,0,0,0,0,0,0,0,7,0,0,141,56,9048,1,0,6502,3,111,505,16,1570,113466,5852,2019,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,0,0,0,0,0,0,0,0,0,23467,0,0,0,0,0,0,60,244,185,4,0,178948,115058,10735,10954,6879,264,6,244,2597,5751,137,6030,3007,5,0,0,0,0,0,0,0,0,0,0
철암,2,0,0,0,0,0,0,4,0,0,0,32,61,25696,0,0,13898,6,197,10134,17,10291,152081,27122,6506,9230,0,840,0,0,120,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,63630,0,0,0,0,0,0,25,73,126,0,0,117591,164183,51055,144831,107463,7507,1303,10233,84432,3715,96,6913,4824,0,0,0,0,0,120,0,0,0,0,720
도계,0,0,0,0,0,0,0,1,2,0,0,40,24,5984,0,0,2955,1,135,8099,0,6447,21120,4199,1219,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42947,0,0,0,0,0,0,20,35,45,3,0,9598,52829,578244,422701,117989,932,525,6756,4401,1364,68,1388,1005,2,0,0,0,0,0,0,0,1,0,0
동해,0,0,0,0,0,0,0,0,0,0,0,7,6,4936,0,0,5153,0,292,11305,0,16717,40295,5249,1550,2259,0,480,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46027,648,0,0,0,0,0,233,10,26,1,0,10727,161331,419803,63847,153473,5247,2584,12285,51278,1058,259,2983,662,1,0,0,0,0,0,0,0,0,0,0
강릉,0,0,432,0,0,0,0,0,0,0,0,2036,692,7171,530,0,15321,0,186,7146,0,5007,46690,7858,2375,4425,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19868,0,0,0,0,0,0,938,57,2,401,0,7093,114176,110513,167641,208054,1183,223,3159,23547,1471,221,6268,1262,0,0,0,0,0,0,0,0,0,0,0
정선,0,0,0,0,0,0,0,256,0,0,0,2,5,228,0,0,317,55,360,30479,183,72571,1153,291,72,79,1,0,0,0,0,0,0,0,0,0,0,0,0,324,516,0,0,0,0,0,0,0,0,0,0,0,56592,0,0,0,0,0,0,0,1,0,0,0,36,5961,103,3868,1377,918616,4975,97187,140357,183,14,324,96,1,0,0,0,0,0,0,0,0,0,0
