0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
인천,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0
온양온천,172614,277,168381,4167,73993,9697,14238,0,257,0,0,0,2,3,0,302,0,0,0,3,0,0,0,183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,975,13385,35287,35901,15403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,255,0,0,0,0,183,0,0,433,0,0,0,0,0,0
예산,158332,12,150684,1373,88190,18009,69244,136,56,0,0,0,0,3,0,80,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13827,3220,15268,25771,18853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,175,0,0,0,0,122,0,0,239,0,0,0,0,0,0
홍성,186310,25,149064,2411,97890,34716,107581,45,21,0,0,313,492,0,0,52,0,0,0,0,0,367,323,160,0,0,0,88,0,0,0,0,0,508,22,0,0,0,0,0,0,0,0,40900,16330,3866,20545,31975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,500,0,0,106,0,0,0,0,0,0
대천,232934,31,167362,3223,107211,24043,113085,1224,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,47675,31771,16756,6247,33219,1081,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장항,117830,3,83435,1218,53793,9934,27386,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21547,23246,31860,29946,3834,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수색,250390,0,0,0,0,0,0,360,576,140,0,0,72,72,432,0,75,0,0,3026,0,60,0,0,0,0,0,541,0,216,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1141,0,44373,888762,0,0,12697,0,3020,0,18024,0,0,0,0,362,0,0,0,0,0,0,0,0,193,432,0,0,1894,0,0,0,72,0,0,0,0,306,0
문산,602972,0,144,0,0,0,0,0,169,0,0,0,0,576,0,0,432,0,216,0,0,0,0,0,0,0,408,748,265,216,0,0,0,381,34,0,0,0,0,0,0,0,0,0,0,0,0,0,903175,849000,0,0,734,0,0,0,96,0,0,0,463,72,0,0,0,0,0,0,0,0,21,0,0,535,0,0,0,0,0,0,0,0,0,0,0
청량리,0,72,0,0,0,0,144,0,288,0,0,0,0,0,0,0,1521,45523,428284,419310,2115,206695,228517,181609,6263,581,0,144,459,504,0,2,0,4,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15843,580,360,1000,303416,1989499,0,0,0,0,0,0,5819,36093,19088,97487,274560,38718,49282,8112,237326,1094,667,3540,2931,0,0,0,0,0,0,0,0,0,0
성북,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72,0,0,0,0,0,0,0,58,92,0,216,360,0,109,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,146,0,0,70883,421709,0,0,0,0,0,144,0,0,0,0,0,0,0,0,203,0,0,0,0,0,360,0,144,0,0,0,0,0,0
의정부,0,0,6,0,21,290,20,0,273,0,0,25,0,260,0,12,688,0,1008,0,0,0,0,0,0,0,4,269,170,735,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10085,458,0,0,1909972,1250546,0,0,3888,0,0,0,0,596,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,11,287,0,0,0,0,0,0
신탄리,0,0,288,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,5897,0,0,0,0,0,0,576,0,0,90,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1318851,191828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0
