0,서울,영등포,광명,수원,평택,천안아산,천안,조치원,신탄진,대전,옥천,영동,김천,구미,왜관,동대구,경산,밀양,구포,부산,팔당,양평,양동,원주,신림,제천,단양,풍기,영주,안동,의성,영천,계룡,논산,익산,김제,정읍,장성,광주송정,나주,함평,목포,전주,임실,남원,구례구,순천,여수,청주,증평,음성,충주,온양온천,예산,홍성,대천,장항,군산,수색,능곡,일산,문산,청량리,성북,의정부,동두천,신탄리,금곡,가평,춘천,일영,상주,점촌,예천,연무대,봉화,춘양,석포,철암,도계,동해,강릉,정선,쌍용,영월,예미,민둥산,태백,부전,좌천,경주,안강,포항,진해,하양,진영,창원,마산,함안,진주,하동,광양,보성,화순,광주,울산
팔당,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3067,2000,8519,71,2170,275,406,387,546,21,9,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,8,215,135,393,129,24,337,71,746,715,10,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
양평,6297,331,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,2825,7208,23972,57632,216,11368,1602,2043,2749,3299,165,164,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,28,253,771,3841,782,41,1222,162,3026,2556,1322,193,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585
양동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2290,23132,384,9081,7,648,18,73,124,197,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,31274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,78,225,0,4,138,23,122,166,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
원주,699,116,0,0,0,0,0,68,8,170,7,23,0,0,0,0,0,0,0,0,8703,62302,9962,1232,259,40058,5508,12161,7504,11506,295,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,235,0,0,0,0,0,296,0,0,693,0,0,0,0,280280,0,0,0,202,0,0,385,0,0,0,0,0,0,0,768,90,3078,1993,6793,1504,216,11679,3020,21824,19895,3761,245,1327,0,2136,0,0,0,0,0,0,576,0,0,0,0,0,2171
신림,1030,1872,0,1584,0,0,0,0,0,726,0,0,0,0,0,0,0,0,0,452,102,422,3,332,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9130,0,720,0,102,0,0,0,0,0,0,0,0,0,0,0,0,3,10,21,0,0,8,2,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제천,2540,1668,0,4147,1680,0,7094,36620,7723,79921,0,0,0,0,0,1078,0,0,0,0,2360,10815,1088,37599,220,126,7386,14848,24275,17224,401,739,0,120,288,635,957,51,556,0,153,361,300,0,0,0,742,856,108760,12594,10511,61571,4,2,0,2,0,378,0,794,40,680,114505,0,0,0,775,0,0,0,0,0,0,0,0,0,0,522,105,3162,9568,16328,3601,147,14353,3606,28335,16079,5567,504,1875,0,883,263,0,0,0,380,0,0,0,0,0,0,834,5568
단양,1174,114,0,345,0,0,0,0,0,0,0,0,0,10,0,37,2,68,175,25,280,1570,56,5655,9,7275,0,1522,3956,5030,171,629,0,0,0,0,0,0,212,104,10,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,1338,243,24209,355,54,82,323,90,87,275,0,0,0,0,0,0,0,1,0,0,423,3,0,0,0,0,0,0,2468,435,1016,0,90,472,0,0,0,637,0,0,0,0,0,0,0,2420
풍기,1594,0,0,0,0,0,0,0,0,124,7,46,0,0,0,0,0,21,0,0,506,2326,137,11888,264,15642,1498,160,3863,17183,137,192,6,121,77,39,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,40,45422,0,0,49,0,0,25,0,0,0,0,0,0,0,0,2,0,21,399,350,0,0,0,0,0,0,1573,142,1053,0,0,65,0,89,28,147,97,98,0,0,0,0,0,1710
영주,0,0,0,0,0,0,0,0,0,0,0,0,6712,4256,670,13795,1069,489,2144,3817,498,2643,127,7253,59,26517,4107,3751,0,63466,2625,2607,0,268,571,384,324,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,52580,0,0,347,21,0,541,0,327,3633,3533,2115,0,997,6203,7580,7342,1524,8456,9812,0,0,0,0,1,0,6401,816,4382,0,220,732,2757,0,0,487,0,185,0,0,0,0,0,7573
안동,420,122,0,134,0,0,100,0,0,0,0,0,0,0,0,7423,0,0,0,0,595,3174,153,12107,81,18220,5240,16326,64901,271,9501,6645,0,14,5,0,126,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,124,171,115,296,0,0,0,0,0,0,55002,163,129,242,0,0,97,0,90,0,0,0,0,2899,2305,1818,4301,752,3370,4607,0,0,0,0,0,0,11865,1892,9631,0,439,481,6775,105,0,216,25,500,0,0,0,0,0,13203
의성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12393,0,0,0,0,15,162,6,373,0,359,169,246,2566,13276,1645,4558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,0,0,0,0,0,123,104,102,801,188,1312,705,0,0,0,0,0,0,5487,736,3317,0,45,350,3796,0,0,461,0,65,0,0,0,0,0,5567
영천,5111,3490,0,6977,645,0,1721,69,0,3841,0,69,1612,5401,23,189582,0,0,0,0,10,149,11,1379,2,613,522,282,2378,6679,4758,0,0,0,0,0,64,0,0,14,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,193,159,0,0,0,0,0,958,0,0,0,128,0,0,0,0,0,0,0,0,230,194,122,2205,76,293,837,0,0,0,0,1,0,9536,3039,25541,638,12462,0,2856,0,0,0,0,0,0,0,0,0,0,19707
계룡,78800,23052,5911,20888,6927,1322,15808,7018,4967,33179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14700,15188,2007,2800,1583,2709,561,313,2822,4470,149,626,537,1971,1687,22,0,0,0,8,64,345,803,1284,1552,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,124,13,6443,0
논산,110112,88428,7356,71426,16170,1336,47395,22280,14984,248858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,121,268,14,0,0,12973,2471,51494,6872,8236,3940,8189,2023,882,9134,18743,624,2872,2307,9033,6369,5,0,0,0,215,475,1536,3299,2181,3662,0,2223,0,0,288,3528,0,0,0,360,72,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,10,61,43,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,389,114,18896,0
익산,464832,81056,87653,92745,22833,17888,34337,21845,12179,187550,0,0,0,12,19,252,0,0,0,0,0,0,0,0,0,339,0,77,571,5,0,0,15846,56117,3478,38200,117356,19064,44438,8213,3313,44858,119606,13308,43760,20572,75081,55874,375,0,0,51,6645,10372,21093,50138,29787,19934,0,11496,100,150,193,504,0,0,0,0,0,0,0,0,0,0,0,62,128,80,0,0,0,62,0,0,0,0,9,0,0,0,85,0,40,0,0,0,0,0,0,0,0,0,1140,323,68366,0
김제,67096,38255,5895,32234,5658,788,9853,4542,2438,27925,0,0,0,0,0,1626,0,53,165,18,0,0,0,0,0,154,73,39,384,0,0,0,1918,7147,38497,5745,21740,6412,11570,2038,1018,8012,0,0,0,0,297,170,11,0,0,0,0,0,0,0,0,0,0,764,0,0,2,297,113,51,0,171,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,37,71,0,36,0,299,0,0,0,0,0,0,0,0,0,0,0,385,98,19028,0
