,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,삼천포,진영,마산,군북,진주,하동,광양,보성,화순,광주
예천,0,2,22,0,5,0,35,3,295,1,6,36017,12832,63536,15,81,1769,28,22,493,42,4250,274326,2292,140,160,0,0,0,0,0,0,36,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,22157,0,0,0,0,0,0,14973,90310,287125,3655,0,1083,5246,631,665,857,3,2,94,52,800,10,117,2078,9,0,0,0,4,0,0,0,0,0,0,0
문경,13,5,19,0,1,0,0,0,92,2,0,24210,7457,42812,70,111,3207,0,0,12,1,170,3988,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21679,597789,3407,141491,0,16,54,19,5,399,0,0,4,0,0,2,0,1211,0,2,0,0,0,0,0,0,0,0,0,0
군산,2994,3591,1439,173,406,113,77,150,16976,0,11,39,35,425,2,32,980,0,0,4,0,2,0,0,0,1,17633,871735,26338,2125,1850,514,1627,243190,2911,3625,1302,1346,876,2,2,2,25,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499582,0,0,0,0,0,0,0,2,11,0,0,11,2,7,9,0,0,7,0,0,2,0,3,2,150
춘양,0,0,0,0,1,0,0,5,59,0,4,375,137,9646,0,2,10059,53,106,1138,115,4761,160339,10320,6073,4302,23,34,4,0,0,0,0,0,0,0,0,0,0,72,67,0,0,0,0,0,0,0,0,0,0,0,35708,0,0,0,0,0,0,250,450,362,27,0,292465,193879,16675,11756,7401,5,7,91,140,5778,139,6211,4618,61,0,0,0,115,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,27,34,0,0,767,22,9627,0,0,17660,15,268,7534,96,12761,165092,27067,8153,16044,0,389,0,0,0,0,0,0,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0,0,0,0,79686,0,0,0,0,0,0,444,1286,1242,22,0,191878,192618,55011,171111,89897,4613,767,9738,65309,3121,71,9400,11269,84,0,0,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,1,6,26,0,2,81,21,853,0,0,4073,5,162,4227,27,6319,22634,3512,967,3876,1,0,0,0,0,0,0,0,0,0,0,0,0,120,1,0,0,0,0,0,0,0,0,0,0,0,37223,0,0,0,0,0,0,44,234,136,1,0,12716,67703,487229,381296,65983,857,164,7739,7472,909,73,1506,2671,2,0,0,0,0,0,0,0,0,0,0,0
북평,0,0,240,0,0,0,0,56,15,0,10,163,55,7432,2,0,27542,2,533,4435,27,16417,40475,8298,3117,6008,3,0,0,0,0,3,1,0,0,0,0,0,0,74,30,1990,0,0,0,0,0,0,0,0,0,0,66728,610,1074,0,0,71,0,69,257,99,1,0,12195,153744,386909,409280,387098,5763,1804,13170,54110,3370,349,9754,8430,107,1,0,0,0,0,0,0,0,0,0,0
강릉,0,36,20,0,30,0,0,0,450,80,0,2669,681,38519,542,0,58709,0,193,2307,243,7531,33572,10308,1703,8735,20,0,0,0,0,0,0,0,0,0,0,0,0,116,18,0,714,0,0,0,0,0,0,0,0,0,51266,0,0,0,0,106,0,2233,378,433,290,0,5975,78192,57940,350452,222420,311,15,995,3275,4199,353,13815,14198,2261,2,0,0,0,0,2465,0,0,0,0,0
정선,0,0,0,0,0,0,3,365,1,0,0,12,23,298,0,0,508,29,333,27739,813,79787,1301,328,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,746,1001,0,0,0,0,0,0,0,0,0,0,0,52851,0,0,0,0,56,0,3,4,0,0,0,6,6321,370,2226,570,1007982,7936,121903,124237,90,32,174,307,8,0,0,0,0,0,0,0,0,0,0,0
쌍룡,0,0,0,0,0,2,2,455,0,0,0,6,19,74,0,0,65,185,392,5956,347,20266,1321,188,59,93,0,0,0,0,0,0,0,0,0,0,0,0,0,775,1290,1,0,0,0,1,0,0,0,0,0,0,22958,0,0,0,0,0,0,3,33,7,0,0,35,1910,353,2020,240,8292,9137,99658,22100,102,5,259,100,7,0,0,0,0,0,0,0,0,0,0,0
