,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
상주,1811,2110,1027,1,350,0,53,6,474,20,206,202325,31702,68567,6,4,812,0,1,76,6,1091,20030,288,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,112360,112844,13490,22518,3,21,87,3,1,1977,0,0,18,10,95,0,0,1634,6,0,0,618,0,11,0,0,0,0,0
점촌,1841,98,999,0,329,8,177,40,259,1,5,95476,24438,82818,20,15,6051,1,3,73,8,2379,45039,333,0,0,981,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,100241,41913,86236,522470,0,196,1002,38,174,2118,7,0,56,2,0,0,1,1831,1,0,0,284,0,8,0,0,0,0,0
예천,0,0,110,0,2,0,0,3,135,2,1,29287,14449,59717,8,46,1323,35,4,311,24,2575,286382,748,38,28,952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,3545,0,0,0,0,800,0,15591,93396,243978,1861,0,470,3773,365,416,443,1,0,21,5,17,6,12,889,82,0,0,0,0,0,0,0,0,0,0
문경,2,3,1,0,0,0,0,1,33,0,0,13753,6604,33245,35,48,3286,0,0,6,0,107,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,19238,576840,2190,107233,0,16,25,11,3,4,1,0,3,1,0,0,0,276,0,0,0,0,3,0,0,0,0,0,0
군산,3509,3908,2067,58,541,80,83,145,15070,1,5,9,10,325,2,8,617,0,0,1,0,4,0,0,0,3,22770,865429,30861,2369,1728,233,2360,226536,2836,2797,1245,1350,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,176,0,0,0,1,1,0,0,520593,0,0,0,0,2,0,0,0,0,0,0,2,0,3,3,0,5,0,2,0,0,1,0,26
춘양,0,0,0,0,0,0,0,2,20,0,0,170,75,5247,0,0,8293,23,60,789,39,3994,157886,7164,2039,2574,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,29137,0,0,0,0,0,0,90,262,116,6,0,292450,182827,17252,11137,7903,84,0,60,2872,5322,274,5823,3631,19,0,0,0,0,0,0,0,0,0,0
철암,0,0,0,0,0,0,0,19,2,0,0,314,36,9289,0,0,17741,16,858,9844,34,17294,208621,29110,6094,16909,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,75286,0,0,0,0,0,0,126,330,357,1,0,190386,162860,54782,154895,113865,8277,1581,11801,91623,3797,65,7921,8950,4,0,0,0,0,0,0,0,0,0,0
도계,0,0,0,0,0,0,0,1,2,0,0,44,17,181,0,0,4536,0,16,7164,5,5513,28161,4035,1439,3438,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,38730,0,0,0,0,0,0,30,51,49,2,0,11373,59112,566360,420459,84740,261,127,7501,4399,383,18,811,2139,0,1,0,0,0,0,0,0,0,0,0
북평,0,0,0,0,0,0,0,1,0,0,0,27,4,3462,0,0,8144,0,199,5513,2,17562,44870,5542,1281,2697,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,56372,580,1090,0,0,1352,0,0,142,57,0,0,13364,171123,428407,230638,292433,5887,2351,14113,56448,1394,198,3593,964,1,0,0,0,0,0,0,0,0,0,0
강릉,0,35,0,0,0,0,0,0,2443,0,0,2579,2136,18907,802,0,15737,0,532,3275,0,6914,53043,11831,2663,5809,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28986,0,0,0,0,0,0,1735,1755,215,0,0,7224,96322,78672,286415,231851,820,136,4053,19284,1098,400,6526,4396,388,0,0,0,0,0,0,0,0,0,0
