0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼랑진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,익산,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,온양온천,예산,홍성,대천,장항,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,군산,광주,춘양,철암,도계,동해,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순
석항,0,0,0,0,0,0,0,22,112,0,0,0,0,0,0,0,0,16,231,4870,0,4846,79,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,106,31,0,0,0,0,0,0,0,0,0,7678,0,0,0,0,0,0,0,0,0,0,10,35,137,104,787,1104,187,344,0,2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고한,141,0,7730,0,194,376,10,3647,9006,0,0,334,120,0,0,0,0,698,5059,66384,43,57265,4245,2041,0,0,75,405,75,11,0,0,0,0,0,0,60,407,105,5477,1148,0,0,0,0,0,0,0,126,60,253060,0,0,0,0,0,0,0,10,0,0,2018,1144,3126,1574,15939,39589,4697,17013,2898,13715,0,0,1,1,0,355,0,0,0,0,0,449,387,0
부전,80292,0,30179,0,18385,651,1510,879,23733,3,500,2279,8077,54541,0,3644,105872,24,879,3915,148,9655,8567,12545,5112,7047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,45,73,532,0,0,2293,4470,491,894,2609,0,0,0,0,63940,159977,158665,84113,22114,0,0,0,0,0,0,0,0,0
좌천,578,0,371,0,251,46,60,38,253,0,61,47,177,2399,0,4,125602,272,93,541,21,1306,1431,2054,676,2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0,0,0,0,0,0,0,287,343,45,180,286,0,0,0,0,172646,9260,46037,25731,6877,0,576,1326,0,0,0,0,0,0
울산,99706,0,11537,0,44787,1240,12552,1216,20174,0,556,3733,12024,19655,0,0,66607,6,710,4752,107,10857,22297,25060,8228,17462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11454,0,420,0,0,0,0,0,0,0,0,0,2642,5300,708,1372,3841,0,0,0,0,126082,38043,1717,95018,24589,0,0,0,0,0,0,0,0,0
경주,162814,0,10791,1018,33719,594,9909,457,19052,593,210,2651,8742,108678,0,0,33955,2,516,2042,23,4466,10247,16654,7950,64996,558,577,217,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,3523,0,5390,0,0,0,0,0,0,0,0,0,0,200,762,2150,255,513,2213,0,0,0,0,73828,23689,94545,11984,141326,0,0,0,0,1231,0,0,0,0
포항,100476,0,5225,1224,37134,1,11655,31,18250,41,90,2778,9157,287987,0,0,11721,0,2172,0,0,0,38,6,10,61788,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,360,432,0,0,0,360,0,0,0,0,0,288,1440,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,21251,6032,24375,145616,1361295,360,0,0,0,0,0,0,0,0
진해,1495,0,448,300,311,0,97,117,665,78,370,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,67,0,0,114,0,440,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,135,0,0,355,0,0,0,0,326,46310,0,37222,0,0,0,0,0,345
진영,12846,0,6187,0,6283,653,1446,912,3968,75,241,970,2996,17919,3405,5901,44743,0,0,0,0,0,0,0,0,0,0,61,0,0,93,45,424,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,19,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,196,20329,1625,6351,907,232,254,46
마산,179994,0,77434,0,75580,14306,22614,8725,42314,604,3877,12156,24145,120142,43325,42225,52076,0,0,0,0,877,0,352,0,0,0,54,0,0,1022,290,4425,0,0,0,0,4789,0,0,0,0,0,482,138,15,0,0,0,0,0,0,554,0,0,519,0,0,0,0,0,1385,0,0,0,511,0,0,0,0,0,0,1326,0,0,0,31637,17974,217,59046,60298,14760,2157,2500,224
군북,5030,0,2649,0,2033,163,458,186,1017,17,100,223,786,3790,917,1737,12508,0,0,0,0,0,0,30,0,0,0,0,0,0,67,11,324,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595,64351,1335,26386,1155,278,203,24
진주,10192,0,5648,0,5863,3262,2270,2615,1057,17,160,2095,3242,9125,3481,9872,21176,0,0,0,0,0,0,0,0,0,537,1294,430,0,1091,142,3362,1440,28,181,197,10917,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,13,1433,0,0,0,0,0,0,0,0,0,0,0,0,1231,0,0,4961,53837,25754,18561,71213,6465,2682,210
하동,2567,0,974,0,604,65,130,46,121,0,0,0,0,539,244,578,7086,0,0,0,0,0,0,0,0,0,42,89,160,0,119,45,467,106,6,21,16,6650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,12877,1062,64841,3770,3505,726,88
광양,4537,0,2597,0,1140,169,216,98,279,0,0,0,0,0,0,241,2855,0,0,0,0,0,0,0,0,0,47,267,0,0,386,183,1489,432,21,147,48,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,284,2384,408,7172,4559,87,2639,448
보성,30466,0,19850,0,11256,1390,1623,1131,3723,0,0,0,0,501,20,656,8697,0,0,0,0,0,0,0,0,0,1203,2760,1786,513,14251,1569,3048,0,0,0,0,43397,2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56211,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,204,1958,175,1649,824,1405,78484,48407
화순,4596,0,3073,0,1616,193,301,153,522,0,0,0,0,0,0,83,1427,0,0,0,0,0,0,0,0,0,267,571,357,110,3254,387,6400,0,0,0,0,5430,1186,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,55,256,27,194,102,266,36998,1466
