"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","고창","곡성","곤양","곤지암","광양","광주","광천","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남제천","남지","논산","다부","단성","단양","달성","담양","당진","대전","대천","덕유산","덕평","동광양","동광주","동군산","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","무주","문막","문산","물금","발안","백양사","부곡","부산","부안","북단양","북대구","북대전","북수원","북원주","북창원","비봉","사천","산인","산청","삼례","상주","새말","생초","서김제","서김해","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","석곡","선산","선운산","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영광","영동","영산","영주","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","제천","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘장대","춘천","칠곡","칠서","칠원","태인","통도사","판암","풍기","하동","함안","함양","함평","해미","해인사","현남","현풍","홍성","홍천","화원옥포","황간","횡계","횡성"
"김천",0,218,1,71,2,2676,21760,6047,34320,983,0,0,0,0,18437,2,2275,0,371901,0,0,146,30928,2515,5303,964,239,9685,494,5820,44135,2331,394,4288,2,1174,0,2,0,12153,229,1,2,0,0,6,126844,1,9,1502,0,0,1,1850,0,43235,85608,36209,0,112,0,892,404,56,21089,1,0,424,718,0,2381,25,118,1298,33893,0,2,154452,19161,15978,21,1,108,3,1,1,1571,2817,363,0,0,0,211681,19922,0,1,1,13385,0,186,7441,198634,5581,1055,1284,7,0,22394,7,0,2680,0,0,83,0,3,32494,0,1,0,11,21339,3769,27635,7716,4708,1771,2375,0,34203,0,155,21353,19,41164,3100,1,0,27348,30961,3552,20979,1676,35167,5738,219,5829,11024,8746,332,21,0,0,152,5658,2911,35,0,5277,1,2,0,0,0,335,0,1,3,7908,0,0,32859,30417,16074,1277,23091,0,0,204,22458,0,0,995,3689,22304,112,0,0,2,0,0,0,34,0,0,203,0,57162,3,24
"남구미",0,344,0,23,0,4744,67287,631,65603,57,0,0,0,0,1952,0,682,0,11590,0,1,116,4993,472,480,164,89,3056,72,49465,13640,383,437,5930,2,128,0,1,0,1364,260,0,4,0,1,1,13337,1,3,366,0,0,1,191,0,124038,9797,4807,0,19,0,277,80,15,5321,0,0,141,88,0,11063,10,21,294,95045,0,5,471944,3095,2458,1,0,26,1,0,0,363,8948,30,0,0,0,1011211,2566,0,0,0,2354,0,270,1356,21586,14041,182,223,3,0,4168,10,0,1645,0,0,9,0,5,5668,0,0,0,4,3668,681,4196,776,8603,615,230,0,2607,0,261,39742,49,7074,499,0,0,3309,156560,501,86891,152,6329,685,207,1003,2074,1188,79,6,0,0,18,1228,446,17,0,941,1,1,0,0,0,31,0,0,2,1012,0,0,5846,5716,3134,220,2994,0,0,31,49028,0,0,241,7240,2314,356,0,0,1,0,1,0,14,0,0,20,1,4734,2,3
"남대전",17,6,40,46,187,51,380,506,884,6159,22,0,0,49,1116,75,10313,0,1717,59,0,7,2192,214,1117,334020,612,663,873,2031,248,680,11,141,232,386,17,1,6,31352,6,407,0,0,6,3,32147,0,2419,133,13,28,0,61,153,726,5979,1876,41,56,27,161,26,40,3864,0,0,201847,136,119,56,2,692,103,1076,0,0,1736,13545,848,7,39,16,1865,783,243,3110,20,129,229,0,88,3414,149373,334,0,442,934,10,11,394,12067,156,118,2168,1119,0,5889,0,0,44,0,11,25,1,1,2311,11,173,4,8,27581,364,2680,43566,157,208,264,0,2890,17,11,1067,3,2582,1492,55,1,6762,465,306,816,440,65570,952,15,645,16671,1355,1127,2259,63,47,62,13051,4386,40,0,3840,418,206,12,199,76,150,115,38,1298,1912,5,3,5759,13035,3094,265115,487,15,0,99,270,35,3,2003,95,17013,0,101,89,343,0,0,52,33,0,0,60,41,1324,8,12
"남안동",0,178398,0,72,0,997,14016,35,11390,19,0,0,0,0,108,0,7,0,340,0,0,25137,311,30,9,16,15,46,7,367,224,20,375,2092,0,445,0,214,0,162,50691,0,430,0,0,0,1070,0,0,14,0,0,0,8,0,52215,1077,217,0,10,0,7,11,11,116,0,0,13,84,0,816,4,0,13,15871,0,163,259783,194,123,37,0,3,1,0,1,26,6,10,0,0,0,370724,235,0,2,0,177,0,68429,47,1168,2804,6,41,0,0,53,4,0,2,0,0,2,0,1,213,0,0,0,52,113,74,133,62,2441,48,76,0,72,0,36507,1701,9579,121,6,0,0,121,1327,39,12527,25,369,8,28522,115,262,26,1,0,0,0,10,142,34,313,0,8,0,0,0,0,0,8,0,0,0,18,0,0,232,90,79,11,24,0,0,323,155445,0,0,22,1609,122,32932,0,0,0,0,0,0,51,0,0,144,0,101,23,54
"남양산",0,3518,65,250,104,12382,28383,686,356394,128,16,21,0,0,2300,0,179,77,6652,0,207,553,7422,1359,147,495,2,1538,5,4900,7245,592,2150,618775,371,702,58,38,0,721,387,133,67,0,171,39,8215,224,37,353,0,0,327,448,0,41063,14664,7266,0,226,0,261,1105,146,3142,106,57,545,170,0,217353,1090,0,672,1151375,14,33,20622,1304,3477,83,0,846,0,0,78,22,1136,444,128,8,0,11001,2784,0,103,13,3287,0,2451,2430,27508,186200,278,266,410,107,1977,1604,0,121,3,0,109,0,753,4953,143,0,0,232,1804,3311,3437,422,367707,383,433,13,1630,0,2588,40120,822,4316,627,0,0,1627,6155,599,580799,331,3223,1019,1407,967,299,1071,38,53,0,40,291,79,7,645,14,890,13,82,0,0,0,447,0,0,0,920,0,0,4678,3455,1604,430,647,0,51,72,3399,0,0,3,205928,1376,3714,0,0,186,25,135,42,114,0,127,327,0,1750,124,102
"남원",2077,0,305,8,3599,0,0,12,0,7,917,0,284,1127,57,2366,0,0,0,354,0,0,117,7,1,142,0,43,0,1,0,167,0,0,4841,11,21343,0,50,2,0,1606,0,36,84018,0,289,0,306,7,744,754196,0,9,5144,0,538,22,707,0,690,1,3,0,36,0,0,378,5,1043,0,0,0,5,2,0,0,0,60,100,0,609,0,7769,5916,860,1,0,3,890,0,2587,0,107,7890,0,99,98,620,0,14,800,0,10,0,3493,0,67,0,156,0,0,1208,0,598,0,104,139105,1843,138,1,79,20,84,173,0,7,9,0,3,271,0,0,0,102,7,842,882,35,0,8,0,5,181,23,0,23,3,42,0,81,1204,95,0,2,0,2,0,62,374,15517,2357,2407,1075,4,1887,680,8459,23,157,4344,66,97,23,71,1,334,0,12,0,196,110,0,0,118,0,2011,660,7412,0,0,701,7,56,0,3,14486,3,2,1
"남원주",0,436,6,10962,7,62,252,31641,1061,627,0,0,0,1,117485,9,8480,86,802,2,68,183,106136,14838,51,465,126,18825,255,960,69,269,344,165,14,10930,0,1648,0,3800,161,16,809,0,0,2393,15741,183,11,20775,1,2,33,3521,69,595,660681,265073,15,39365,25,10454,2411,14956,548,5,2,1373,140830,3,132,1466,271,7235,1616,0,1323,1433,8918,59670,8786,1,1969,33,4,4,940,1,64399,6,4,31,3942,5056,1,368,5,49643,1,1416,17611,382625,273,1811,840,31,34,23595,841,0,8,1,0,9573,0,1138,78335,0,9,0,87477,7628,20386,5182,514,207,55496,99646,3,365,0,894,344,458,23175,8935,2,0,1904,139,59823,1066,128870,9202,7606,218,117686,5516,36489,2847,27,31,0,26586,5993,2111,276926,2,4120,16,3,0,2,15,48360,2,1,23,7012,1,0,10271,3494,165,524,100,0,11,107053,538,2,0,546,86,1393,2498,7,2,5,2,193,0,5813,0,166,46489,2,205,1238,24057
"남장수",8,0,28,0,243,0,0,3,0,0,53,0,1,3,2,2,0,0,0,22,0,0,5,0,0,12,0,3,0,0,0,21,0,0,20766,0,130,0,0,0,0,49,0,2,554,0,23,0,31,0,0,5904,0,1,91,0,31,1,23,0,27,0,0,0,3,0,0,38,1,16,0,0,0,2,0,0,0,0,5,3,0,16,0,155,130,165,0,0,0,55,0,59,0,9,212,0,7,8,4,0,1,55,0,0,0,171,0,8,0,1,0,0,82,0,6,0,15,808,14,0,0,12,1,4,15,0,0,0,0,0,14,0,0,0,13,1,3,3,3,0,0,0,0,17,3,0,1,0,4,0,20,50,5,0,0,0,0,0,4,55,5442,4,2,50,0,16,0,75,0,5,28,10,6,4,10,0,4,0,0,0,5,6,0,0,15,0,3,22,1714,0,0,48,1,1,0,0,958,0,0,0
"남제천",0,129,0,60,0,10,31,22,62,0,0,0,0,0,58,0,4,0,0,0,0,44,178,22,0,0,0,8,0,1,0,0,104,11,0,669,0,7,0,0,55,0,554,0,0,1,7,0,0,19,0,0,0,7,0,62,693,52,0,27,0,20,7,11,0,0,0,0,130,0,7,1,0,7,73,0,690,178,4,92,34,0,3,0,0,0,0,1,13,0,0,0,448,4,0,1,0,106,0,494,24,349,17,3,0,0,0,7,1,0,0,0,0,3,0,1,60,0,0,0,174,5,18,4,0,10,64,84,0,1,0,465,23,216,15,5,0,0,0,0,59,73,35,4,1,69,136,6,28,0,0,0,0,5,3,2,1048,0,3,0,0,0,0,0,8,0,0,0,1,0,0,8,3,0,0,0,0,0,118,122,0,0,1,9,1,1894,0,0,0,0,0,0,54,0,1,83,0,0,13,41
"남지",444,0,33,0,142,0,0,1,0,2,264,0,6,73,1,224,0,0,0,717,0,0,5,1,0,15,0,3,0,0,0,7,0,0,57,0,5,0,213,4,0,67,0,10,6,0,20,0,16,0,8,227,0,0,3434,0,9,0,1178,0,795,0,2,0,6,0,0,9,0,383,0,1,0,0,0,0,0,0,2,2,0,4121,0,563,0,35,0,0,0,40,0,2275,0,10,8156,0,3,5,17,0,2,28,0,0,0,326,0,5,0,2,0,0,747,0,19,0,7,2,208,7,0,2,1,6,14,0,0,0,0,0,6787,0,0,0,10,0,82,6,0,0,0,0,0,12,3,0,0,5,2,0,44,1775,296,0,1,0,0,0,1,9,6,134,193,1984,0,437,40,2366,0,69335,5,2,4,6,5,0,47,0,0,0,10271,485588,0,0,8,0,211,1239,30,0,0,2771,0,23875,0,0,143914,0,0,0
"논산",12,25,13,328,36,399,3447,5065,6796,5788,12,0,0,8,9981,5,332776,0,10385,117,0,38,11943,1310,299,5584,10445,4464,18369,11929,1130,25753,177,646,1,3371,0,3,1,4073,20,79,4,2,0,8,76032,0,70,1291,0,4,0,330,140,4580,63126,15921,68,229,37,811,239,139,4125,0,0,8405,1360,38,290,10,15655,536,5444,0,5,9540,53966,5568,65,21,38,253,354,39,58653,160,922,24,0,95,18678,221138,264,1,45,7247,0,59,1964,104302,1044,1110,36642,260,0,18569,4,0,161,0,13,241,0,1,16146,0,5,1,81,35810,2124,9269,51610,1676,1080,3114,0,10171,7,69,5349,4,12883,3545,4,0,21706,3063,1962,7587,3707,274087,7811,116,8174,203493,7855,34129,50,64,3,534,224196,93929,368,0,21645,49,10,6,14,58,1150,50,2,175,8797,1,0,10149,33901,6543,5227,1555,3,0,533,1783,23,5,35064,807,35717,19,1,41,62,0,0,19,151,1,0,482,20,1984,17,89
"다부",0,5508,0,120,0,645,11149,17,6167,1,0,0,0,0,37,0,2,0,247,0,0,18667,117,6,12,2,0,33,2,262,293,13,54663,544,0,294,0,138,0,38,1434,0,221,0,0,0,245,0,0,7,0,0,0,2,0,31606,350,115,0,21,0,2,2,17,36,0,0,4,43,0,240,0,0,1,3783,0,90,74640,39,44,33,0,0,0,0,0,3,41,11,0,0,0,327192,71,0,0,0,63,0,22348,67,541,1488,4,1,0,0,48,0,0,3,0,0,3,0,0,102,0,0,0,22,48,17,70,15,887,4,21,0,55,0,19436,4505,4753,81,13,0,0,39,737,14,3341,31,65,13,31257,25,33,24,0,0,0,0,5,23,3,151,0,23,0,0,0,0,0,13,0,0,0,15,0,0,105,55,37,5,25,0,0,430,86063,0,0,5,432,32,16115,0,0,0,0,0,0,103,0,0,117,0,57,36,27
"단성",155,0,186,9,1503,0,0,46,1,30,85,0,262,5684,87,9709,1,0,1,390,0,0,307,32,0,477,1,78,0,5,0,515,0,0,1545,14,53,0,48,77,0,2419,0,3,235,0,669,0,356,20,541,7278,0,8,1582,0,1092,53,339,0,397,3,8,0,183,0,0,411,7,11814,0,0,0,23,0,0,1,0,148,177,0,259,0,76766,4340,29615,0,0,3,51071,0,1000,2,276,2635,0,353,196,740,0,58,1770,0,29,0,84286,0,120,0,151,1,0,44,0,1131,0,325,94,8653,363,3,136,35,155,283,0,7,20,0,3,145,0,0,0,336,34,2415,309,38,0,22,0,14,528,77,0,34,23,149,0,1172,703,51,3,8,1,0,0,124,704,346,2667,12041,741,0,15536,1795,69311,110,85,136,267,222,75,148,0,1990,0,7,0,145,2,2,0,213,0,8132,772,2339,0,0,126,5,24,0,5,1026,0,1,1
"단양",0,690,0,123,0,22,97,30,279,2,0,1,0,0,84,0,1,1,2,0,1,260,220,22,0,0,0,8,0,3,4,0,467,42,0,660,0,978,0,2,264,0,86,0,0,1,9,1,0,23,0,0,1,5,0,276,713,64,0,17,0,10,5,13,2,0,0,0,141,0,13,2,0,13,299,0,1783,810,2,102,50,0,4,0,0,0,1,0,29,0,0,0,2192,4,0,6,0,120,0,2205,31,266,88,11,1,0,0,9,1,0,0,0,0,9,0,0,72,0,0,0,136,4,29,8,3,67,81,94,0,1,0,3249,69,1129,11,2,0,0,1,8,63,454,49,1,7,366,99,2,19,0,0,0,0,12,2,0,970,0,4,0,0,0,0,0,21,0,0,0,5,0,0,10,3,0,0,1,0,0,233,538,0,0,0,20,1,12403,0,0,0,0,2,0,68,0,0,133,0,0,9,40
"달성",1,0,29,0,182,0,0,0,0,0,1668,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,89,0,3,0,9,1,0,6,0,582,6,0,1,0,16,0,0,119,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,0,2,0,4,12,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1985,0,0,0,0,11,4,1,0,3,0,1,1,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,0,10,2,0,0,1,0,0,0,1,2,19,0,1,2,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,8,152,0,0,0,0,1,0,29,0,0,5546,0,24,0,0,1562537,0,0,0
"담양",20,0,25,1,386,0,0,0,0,0,78,0,4037,263,0,2149,0,0,0,37,0,0,1,0,0,7,0,0,0,0,0,2,0,0,83387,0,524,0,6,0,0,196,0,7,1499,0,9,0,27,0,1836,937197,0,0,265,0,2,1,71,0,80,0,0,0,0,0,0,18,0,285,0,0,0,0,0,0,0,0,1,0,0,22,0,2036,279,91,0,0,0,169,0,141,0,0,345,0,3,1,7270,0,0,8,0,0,0,572,0,2,0,1952,0,0,135,0,2871,0,2,13378,13762,1270,0,2,0,1,2,0,0,0,0,0,17,0,0,0,2,0,861,2126,1,0,0,0,0,3,0,0,0,0,1,0,6,120,5,0,0,1,0,0,1,25,377,139,580,86,0,549,557,3027,0,8,4255,0,1,0,6,0,85,0,0,0,15,3,0,0,2,0,1072,44,285,0,0,67,0,6,0,0,2102,0,0,0
"당진",0,0,0,198,0,2,1,176,12,0,0,148,0,0,707,0,43,4438,9,0,5134,0,326985,40625,1,0,1,808,2,6,2,0,0,4,0,2564,0,2,0,9,0,0,2,0,0,7115,39,8916,0,1254,0,0,9261,3,1,2,825,23453,0,167,0,3065,806673,138,11,271,51,6,873,0,2,165215,2,10792,15,92,13,13,17,14074,45,0,179694,0,0,0,3,0,804,0,175,0,33,6,0,26083,0,853285,0,3,43348,29239,3,277,2,0,2641,37,238448,0,0,42,0,167,0,36427,7549,0,0,0,135,22,43224,45,1,6,1679,1800,63,0,0,6,2,1,127,19,0,0,5,4,7174,11,2066,20,97,1,2536,17,261,7,0,0,0,413,23,6,1391,57,39,0,0,0,0,0,924,0,0,0,31,0,0,49,12,34,0,0,0,1242,288,1,0,0,2,0,3,8,0,0,0,42,14290,0,91,0,8984,280,0,1,30,79
"대전",85,182,60,1905,292,2456,18577,19034,51786,14130,32,0,0,48,37598,160,59661,0,102563,154,2,195,76124,9827,41340,154686,1682,29429,3226,130066,11826,42472,991,6702,356,16896,17,25,11,94231,183,607,10,1,6,33,25080,4,1347,5199,36,39,2,5179,496,38378,265160,90655,139,1392,78,6731,1436,1213,193908,0,1,135140,5108,220,4577,66,2234,3291,72559,0,15,88441,116547,30673,270,112,502,2670,3005,265,12182,1066,4546,284,0,257,215251,288989,1567,5,523,35345,28,438,12114,639519,7758,4371,9578,1960,0,266841,27,0,1301,0,16,1066,0,27,103194,20,309,7,362,207114,13178,106876,78378,8570,8342,12475,0,152728,18,323,37629,29,101883,54288,117,1,1017069,18112,11967,50374,18652,233978,34754,387,31876,83032,41967,4260,2153,233,95,2448,70683,15836,1564,0,177543,567,255,39,284,186,6113,264,81,2493,62996,13,0,342918,478081,130500,188018,23715,35,0,2652,12725,52,3,6449,6236,108437,116,223,226,461,0,4,75,887,4,0,1897,41,63706,144,343
"대천",0,0,0,88,0,0,0,14,0,0,0,441,0,0,74,0,1,21566,0,0,41228,0,19487,2943,0,0,0,79,0,1,0,0,0,0,0,194,0,3,0,0,0,0,4,0,0,9532,4,477,0,117,0,1,50382,0,0,1,104,2567,0,16,0,273,6043,8,1,746,125,0,92,0,0,8654,0,813,0,884,2,1,0,1415,4,0,10120,0,0,0,0,0,60,0,731,0,1,2,0,9154,0,80772,0,1,2956,3717,0,45,0,0,28454,2,16675,0,0,212,0,10,0,4597,883,0,0,0,21,2,4207,7,1,0,155,213,265,0,0,4,0,0,19,0,0,0,0,0,719,1,130,2,7,0,298,0,26,0,0,0,0,29,0,0,130,288,3,0,0,0,0,0,70,0,0,0,0,0,0,3,0,4,0,0,0,10079,95,0,0,0,0,0,0,3,0,0,0,122,29348,0,67,0,27354,82,0,1,8,16
"덕유산",31,0,40,12,132,0,0,19,3,43,19,0,0,28,39,180,4,0,14,48,0,0,209,25,2,1729,0,36,1,5,0,1976,0,0,376,15,18,0,4,87,0,242,0,0,56,0,1072,0,5,6,17,817,0,7,314,0,490,18,67,1,86,3,5,3,61,0,0,2582,7,53,0,0,0,8,0,0,0,5,146,103,1,48,0,747,602,200,8,1,4,166,0,188,8,338,928,0,906,113,6,0,32,851,0,6,12,1234,0,87,0,1,1,0,34,2,5,0,117,62,117,2,0,235,41,105,633,0,5,5,0,2,11,0,2,0,144,11,228,1,27,2,10,4,2,532,34,0,27,81,40,0,6741,138,5,3,24,9,6,0,90,525,161,13,49,95,0,103,108,462,41,12,3,128,147,43,308,0,7,0,6,0,16,0,5,0,494,1,186,61,405,0,0,32,3,2,0,2,708,2,8,1
"덕평",2,10,1,803,7,56,710,9855,2132,181,1,0,0,0,15660,6,4824,66,1766,2,62,10,59891,11370,29,189,100,17973,150,1595,271,133,22,293,7,18786,0,38,0,1623,5,7,28,0,1,1302,5314,96,10,884,0,0,43,6421,17,676,132750,183912,5,2524,4,8178,1640,1596,597,9,5,1105,9093,2,158,2354,154,8383,1758,0,21,1971,3609,53084,160,2,2604,21,90,0,461,7,4221,6,4,18,6781,1546,107,356,6,36719,0,72,13810,277571,206,1673,298,34,25,11372,1051,0,11,0,1,871,0,715,77771,0,5,0,1922,4557,11451,5305,145,325,34093,33117,1,496,2,46,352,24,17664,5588,4,0,1176,524,50446,915,9528,2770,13103,11,62494,3017,21145,340,24,8,4,1806,2028,868,5139,0,6140,7,5,0,7,5,4647,4,1,19,4497,0,0,7797,3392,246,199,135,0,19,670,378,0,0,431,216,494,83,2,2,7,1,133,0,574,0,144,661,0,138,344,364
"동광양",64,0,4,1,63,0,0,2,0,1,1,0,9509,2466,8,56282,0,0,0,151,0,0,32,6,0,21,0,11,0,0,0,35,0,0,71,3,1,0,11,2,0,670,0,1,1803,0,49,0,31,2,1203,164857,0,0,499,0,56,2,127,0,145,0,0,1,9,0,0,26,0,1001,0,0,0,1,0,0,0,0,28,8,0,44,0,9400,662,332,0,0,0,714,0,283,0,17,1477,0,4,14,107499,0,5,94,0,0,0,3156,0,8,0,3633,0,0,6,0,28475,0,27,28,277813,9286,0,21,3,11,19,0,0,3,0,1,34,0,0,0,12,5,4837,9725,3,0,3,1,0,29,3,0,1,0,4,0,14,229,23,1,0,0,0,0,10,8,0,396,5286,169,1,2300,4707,14163,3,55,3580,19,23,13,23,0,1839,0,1,0,102,0,0,0,8,0,17404,126,19,0,0,9,0,21,0,1,642,0,1,0
"동광주",811,0,424,2,4193,0,0,0,0,4,1072,0,722031,14207,2,180374,5,0,3,1473,0,0,9,0,0,55,0,0,0,2,0,23,0,0,772340,1,5917,0,227,3,0,7531,0,70,958554,0,25,0,771,0,195629,38714,0,1,10605,1,17,0,2556,0,3069,0,0,0,3,0,0,657,1,17708,1,0,0,0,0,1,0,0,5,2,0,930,0,118363,16567,3393,0,0,0,7503,0,5617,0,11,20002,0,74,4,709719,0,1,36,0,0,0,31212,0,2,0,242979,0,0,1483,0,208950,0,7,295069,1389824,94010,0,3,1,3,6,0,0,0,0,1,645,0,0,0,5,1,72370,942229,5,0,1,0,0,19,0,0,0,1,2,0,78,5022,350,0,1,0,0,0,3,286,3331,6385,30500,3738,0,27018,68327,170483,0,486,219675,4,6,2,16,0,5026,0,0,0,822,34,0,0,6,0,71090,1910,2496,0,0,753,2,191,0,0,29561,0,0,0
"동군산",0,0,0,39,0,0,0,9,0,0,0,2775,0,0,21,0,2,15392,1,559,10070,0,74708,6938,0,1,0,37,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,10810,1,59699,0,58,0,0,693,0,0,0,98,2524,1042,3,2181,144,19666,4,0,6703,1015,0,27,0,0,16147,0,1588,0,1518,0,0,0,2228,1,0,15937,0,0,0,0,0,14,1,3597,0,0,0,4399,12738,0,176367,0,0,11494,4222,0,18,0,0,42985,0,25122,0,0,1651,0,5,0,4266,627,0,0,0,0,0,13922,2,0,0,76,76,1804,0,0,0,0,0,2,0,0,0,0,0,466,0,42,0,3,0,150,0,9,0,0,3701,0,10,0,0,25,2463,1,0,0,0,0,1501,18,0,0,0,0,0,0,3,0,1,0,0,0,17203,38,0,0,0,0,0,0,0,0,836,0,1030,30533,0,17,0,24109,39,0,0,0,2
"동군포",24,2,0,437,37,26,636,35,763,246,3,0,0,2,392,20,5763,0,1676,5,0,2,94,21,10,141,24,9862,38,1518,95,23,3,396,9,2221,0,12,0,175,2,8,6,0,0,2,4470,0,2,4729,1,2,0,20,78,1267,446,67398,36,184,16,2672,2,158,1081,0,0,1331,1444,3,1568,1,28,15628,2585,0,11,1862,867,16337,33,8,1,21,319,4,110,4,1025,14,0,28,13440,828,405,0,65,48,1,30,13,13968,394,301,184,105,0,572,0,0,53,0,1,214,0,0,26849,0,7,0,139,5310,22,8555,47,324,14136,2827,0,391,0,16,932,7,11390,1343,1,0,857,153,21534,2595,1465,895,1974,3,3372,2824,2115,154,22,21,0,231,1758,912,1928,0,706,10,5,0,6,30,1025,4,2,50,573,0,0,14027,3525,3263,74,97,0,0,52,454,4,0,49,164,259,51,5,92,30,0,0,3,206,0,2,93,2,84,39,170
"동김해",919,0,262,2,1116,0,0,10,0,268,163,0,502,2295,82,10132,1,0,0,14321,0,0,276,22,0,237,0,56,0,0,0,189,0,0,2598,4,91,0,3531,151,0,1926,0,2,366,0,405,0,636,9,584,10733,0,85,214452,0,423,19,98118,0,144273,7,8,0,157,0,0,541,0,3169,0,0,0,18,0,0,0,0,99,95,0,10918,4,11289,5,978,5,0,0,1736,0,127084,2,369,2502,0,233,165,740,0,85,1003,1,17,2,3875,0,108,0,188,0,0,255,0,1207,0,156,91,8932,304,0,146,21,124,120,0,13,9,0,5,2840,0,0,0,183,22,2383,517,11,0,13,0,0,399,45,0,36,74,63,0,1168,190964,2534,0,10,0,0,0,39,443,244,1486,6885,86858,0,3931,1887,27312,44,6268,158,229,191,88,87,0,403,0,1,0,10647,0,0,0,142,0,6100,13384,1076,0,0,692,0,4695,0,1,23015,0,0,0
"동대구",0,116325,2,174,4,128788,1175371,2602,1058380,162,0,0,0,0,6218,0,80,3,160508,0,10,24553,12098,1225,1008,415,128,4354,130,48608,147060,920,54848,39627,17,794,2,170,0,4708,24748,5,290,0,7,1,39193,9,6,673,0,0,14,1193,0,2716,40307,14852,0,75,0,584,254,56,9546,4,2,243,381,0,16697,63,5,626,315737,0,97,626266,8474,5394,52,0,140,0,0,4,475,11213,151,5,0,0,1237035,8457,0,4,1,5705,0,27930,3788,92564,66702,523,526,18,4,7135,72,0,2118,0,0,25,0,34,15464,6,1,0,51,7820,1876,10182,2499,47737,985,1419,0,6292,0,26500,762053,6191,12888,1024,0,0,7499,284724,1677,358938,535,16524,2757,39002,2743,4908,3806,18,5,0,1,62,2021,433,256,0,2004,0,3,0,0,0,114,0,0,0,2704,0,0,14853,10071,6292,618,5124,0,2,521,263841,0,0,332,33401,6143,21689,0,0,8,1,5,1,120,0,6,213,0,8294,73,42
"동서울",53,412,117,44110,652,3381,19573,2415196,57361,5493,59,6,0,93,2230840,416,354873,53,55946,165,140,443,19416,2519,1388,16775,7046,3401,10429,79637,7513,5002,1219,7992,638,678954,16,1729,16,72728,307,787,1052,0,4,1275,279029,159,524,156516,33,31,144,726,554,38299,67761,35837,140,77631,150,20624,577,72621,1066,14,0,77762,219928,238,6470,422,13231,1185,102360,4,1559,76002,153865,9979,5002,117,560,2425,2262,404,27699,376,138776,366,8,351,215426,71698,1526,280,725,8138,31,4582,3633,64497,9624,342057,26674,2005,57,519834,370,1,832,3,17,24423,4,439,23130,39,408,5,47593,130426,4998,5596,8579,10238,111419,482190,11,18242,22,2949,27168,1074,8708,212189,190,1,56035,16013,61072,44411,254006,134698,702687,859,800928,161244,1258523,28678,1911,281,139,71593,196378,92644,245506,2,351736,840,330,32,454,230,131704,339,122,1394,207826,17,0,12676,99018,595,15647,7650,24,15,3259,13223,62,4,31018,6064,23646,5440,251,252,830,3,97,117,24884,5,119,1729,33,11670,13742,3528
"동수원",2,121,9,3752,50,1502,11111,2725,28904,332,7,63,0,7,20321,20,132950,1406,38580,13,2383,94,825271,184122,506,6475,2721,292053,4001,39643,4839,1683,236,5396,38,252558,0,136,2,20145,124,47,88,0,0,28966,99300,3129,36,202939,1,5,2799,104454,91,15963,26576,14129,23,21457,31,249754,27198,17035,60051,328,77,28667,69251,16,5235,27411,4211,204379,48893,55,82,29344,50455,1095030,759,11,49721,185,159,24,8232,43,45390,20,153,51,120077,22632,62,6256,24,647306,1,362,237700,1331903,5079,6425,9034,145,1163,28907,21786,0,68,39,0,7895,0,16971,351915,2,21,1,4761,70337,180619,330288,2727,7274,481827,190944,78,8463,1,275,15049,71,313971,24435,7,0,26527,7784,645705,25923,111751,44531,130848,240,385745,61574,143021,11160,103,46,2,20182,66667,31404,20386,42,66874,44,21,4,30,29,40534,18,6,111,39621,1,0,362622,61188,167010,6418,3431,1,429,4458,5715,7,0,9571,4785,9427,461,14,22,41,48,2645,6,2790,1,3469,4285,3,4444,712,954
