"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"김천",4290,1157,13892,4050,643,57746,1682,126,387,344,0,0,6283,139402,74710,756,19483,93843,1740,7671,367,18,30159,204,923,681,2897,144687,3199,26617,3567,6832,4750,234,1100,1502,12922,1773,37191,15133,2460,124,7465,1083,8241,928,4412,4507,1407,67,2499,935,1321,965,10342,6671,10768,8587,159,779,17914
"남구미",18959,55,31563,233,119,787,103,30,105,24,5248,0,177,963397,4057,45,89878,793,247,585,37,0,84196,15,49,57590,253,10024,192,4854,511,530,7221,67,6196,21,723,4270,8653,508,23545,42,37223,91,0,92,252,618,127,4,776,155,275,78,891,243,1857,362,20,2287,570
"논산",785,1023,2527,3502,57099,2319,135,3094,197,3998,6483,0,0,14201,21164,277,2558,56982,199,2338,1134,2034,6309,4256,1861,35,264587,70549,3075,14148,8455,4229,1221,151,405,955,757,246,20880,6255,271,897,2755,1482,36771,1597,2584,35724,1586,2377,64190,19040,5284,1038,5778,7836,9733,315,3896,72,874
"대구",184785,2621,264495,13963,1,859416,1015,73,1208,112,81923,3,7537,0,159622,852,345372,82044,2089,19769,1292,2,87449,79,1546,141144,5554,420249,507,60796,3132,18243,16575,817,10550,3997,13444,53916,110498,20228,431539,3352,109806,3994,0,2584,9863,5348,3248,2,1405,350,3961,2506,27192,13543,34039,3328,56,3921,16881
"대전",6915,6666,36437,20637,38537,41083,56654,433,2619,1312,74711,0,24671,223496,0,1329,26337,255452,8601,175530,5196,478,87640,1186,17562,0,9522,606263,215685,96498,123888,50388,10161,1583,1781,6709,56112,3015,142465,287834,2814,242,39702,12026,43497,15554,15442,37141,12441,471,48345,7598,82514,23747,205280,163868,163911,8025,963,2534,29172
"덕평",64,1279,438,4830,1478,708,11,4,2397,43,787,0,417,2516,3421,0,392,78869,1653,78,2793,14,1403,13,1673,3,266,87989,4043,69740,409,1233,493,1186,28,3061,43,33,6541,150,13,8509,221,2093,0,3543,9601,756,5597,22,747,258,1140,1078,2468,127,25,129,245,14,84
"동대구",142097,825,875546,2495,53,194411,230,51,558,117,24960,0,2975,621956,40732,254,0,54492,1268,3629,332,0,376359,54,241,1868,2260,66509,709,15546,1324,3981,53374,154,26260,1013,3659,103089,17634,5232,80114,81,263504,1013,0,547,3268,2546,834,1,1133,211,929,562,6340,3058,14226,2019,26,11918,4679
"동서울",8038,1248696,57762,1394519,278931,47115,1757,4591,656,14673,79502,77,54151,266543,531035,84239,35704,0,1326,985,370843,5295,131290,8094,511975,5959,31390,1324,617860,18358,60582,706,10589,36388,2988,262262,26956,5247,3155,30988,5227,46842,39791,381793,6405,500692,688997,138060,558497,7620,189935,67251,166379,169627,11819,24821,15,4107,14989,1834,6483
"마성",97,285,437,311,2163,532,8,115,4757,114,699,0,259,2903,5434,1685,301,4708,0,2154,2235,63,1015,50,2495,16,197,282594,2244,140881,365,2636,142,3055,64,2831,101,28,8454,251,36,7503,321,1879,0,1085,4472,1571,897,36,1485,351,465,278,8406,266,1834,56,101,40,35
"목천",1423,8,8855,14,10960,5520,496,486,671,500,9584,0,2616,31193,215214,26,3947,33,118,0,59,372,17834,331,336,377,5967,109442,0,23049,34886,13552,4213,111,896,240,1847,634,37497,7413,389,2647,7108,291,0,1,258,5851,2,652,8933,2586,0,1,15482,11242,83530,1084,408,309,541
"문막",72,4780,1073,50727,2211,356,6,30,1115,113,671,0,1282,3113,7694,1963,329,429672,6525,107,0,28,1952,71,18241,36,860,76679,7624,91034,1263,1208,202,6806,349,55196,152,105,5747,390,33,5450,666,11651,14,1559,66567,2372,11487,46,1459,446,766,2355,2149,251,8,30,120,19,29
"백양사",0,109,0,334,115401,0,0,2801,20,7214,0,0,2043,0,913,0,0,9285,242,294,0,0,0,1028,0,0,3586,8857,374,1788,21,368,0,0,0,74,0,0,2605,190,0,6,0,0,1646,5,220,2178,109,24151,11419,38844,17,210,620,231,401,0,2004,0,0
"부산",65978,1894,987495,7843,8,99752,280,210,1362,114,30688,286,4900,164747,89001,848,368065,141903,69,14839,870,0,0,27,432,0,3675,248625,4648,53303,5908,15813,1677446,584,296658,1829,8070,140578,93040,9474,20705,2761,590152,2053,0,2219,8672,4735,2205,0,8384,310,3220,2146,20701,8088,33242,12997,50,438015,5889
"삼례",24,147,142,577,20422,282,6,3444,38,4091,299,0,4893,470,2091,12,113,11682,1,329,58,1070,148,0,299,13,9406,13930,194,2900,373,659,13,35,6,154,37,13,3772,299,15,233,122,213,3244,167,354,1954,150,890,3097,14813,584,144,926,749,1309,9,4139,4,11
"새말",41,4572,182,42169,6411,731,5,65,751,213,768,0,1396,2867,22028,1170,188,548111,23,342,15626,61,1043,161,0,0,1283,122200,13341,91130,1995,3173,83,4766,17,22484,307,18,9629,560,34,12239,178,430440,0,1311,41630,3544,11368,69,3478,884,1904,1688,6785,462,0,47,708,5,98
"서대구",138047,1731,159031,8528,98,1069435,690,169,1000,131,78658,0,5434,21997,106485,300,204051,9086,1088,7953,606,0,133489,78,601,0,3872,273018,521,31850,7278,8496,27607,336,7291,2096,8880,37415,50963,14106,541087,1251,73013,3644,0,1579,5132,5534,1527,5,1990,664,1621,1343,12342,6317,18547,3703,97,5018,18672
"서대전",927,870,2186,2267,87064,2385,537,3129,241,9671,3635,0,287491,11991,11946,276,2281,47694,439,6828,840,3155,5737,9436,1840,575,0,41070,8549,9645,15963,3998,1352,352,216,980,803,274,15590,4568,161,527,2121,1505,14257,1571,2389,212300,1179,3048,136520,30887,7844,1272,13777,16623,12258,263,7660,71,572
