"","가락","가산","가조","감곡","강릉","거창","건천","경기광주","경산","경주","계룡","고령","고성","고창","곡성","곤양","곤지암","광양","광주","광천","괴산","구미","군북","군산","군위","군자","군포","금강","금산","금산사","기흥","기흥동탄","김제","김천","나주","남강릉","남공주","남구미","남김천","남대전","남밀양","남상주","남성주","남안동","남안성","남양산","남원","남원주","남장수","남제천","남지","남천안","내장산","노포","논산","다부","단성","단양","달성","담양","당진","대동","대전","대천","덕유산","덕평","동고성","동광산","동광양","동광주","동군산","동군포","동김해","동대구","동대구.구.","동서울","동수원","동창원","동함평","동해","둔내","마산","마성","망상","매송","면온","목천","목포","무안","무안공항","무주","무창포","문경새재","문막","문산","문수","문의","문평","물금","밀양","발안","백양사","보은","부곡","부산","부안","북강릉","북광주","북단양","북대구","북대전","북부산","북상주","북수원","북영천","북원주","북창원","북충주","북통영","비봉","사천","산인","산청","삼랑진","삼례","상동","상주","새말","생초","서김제","서김해","서논산","서대구","서대전","서부산","서산","서상","서서울","서순천","서안동","서안산","서안성","서울","서울산","서이천","서전주","서진주","서천","서청주","서평택","서포항","석곡","선산","선운산","성산","성주","소양","속리산","속사","송악","송탄","수성","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","연무","연풍","연화산","영광","영동","영산","영주","영천","예천","오산","오창","옥계","옥곡","옥과","옥천","온양","완주","왜관","용인","울산","울산.구.","원주","유성","음성","의성","이천","익산","일죽","장성","장성물류","장수","장안","장유","장지","장평","전주","점촌함창","정안","정읍","제천","주암","줄포","증평","지곡","지리산","지수","진교","진례","진부","진성","진안","진월","진주","진천","창녕","창평","천안","청도","청량","청북","남청주","청주","청통와촌","추부","추풍령","축동","춘장대","춘천","충주","칠곡","칠서","칠원","탄천","태인","통도사","통영","판암","팔공산","포항","풍기","하동","함안","함양","함평","해미","해운대","해인사","현남","현풍","홍성","홍천","화서","화원옥포","황간","회인","횡계","횡성"
"지곡",520,0,433,7,108,1432,0,313,1,1,182,373,1911,79,4,540,774,2513,16,2,6,41,1176,0,0,2022,128,2,1643,122,3,899,227,13,0,0,46,4,73,1984,0,10,30,0,168,0,6438,66,914,1,84,283,30,0,497,0,3747,0,0,684,85,1,3104,2,1979,62,313,0,112,6186,2,235,928,2,0,7870,445,1182,0,12,9,0,43,7,451,2,1698,20,10,2,1936,0,14,80,1624,0,94,0,0,0,131,15,14,73,1,2,8,336,0,2,680,8601,14,1184,1,3,641,3,791,127,8662,10413,7001,0,888,0,22,20,3603,0,1446,152,4,1295,7241,104,25286,3012,56,0,400,354,8890,0,285,392,19866,2,1068,147,0,8,9,56,255,86,5133,10,6,21,313,1,1769,562,774,14,2,907,240,768,1508,1,72,240,56,9,667,91,2,169,0,0,0,1788,453,0,625,23,64,0,2380,0,110,1,0,46,2261,237,0,259,1310,545,98,26,4804,0,1043,309,5,2284,10,21,208,2,25,38,581,1535,3192,667,1035,394,13,2352,1688,366,9775,205,105,59,1539,0,0,512,1093,424,0,801,1,288,0,163,6,0,332,67,16,119,0,6937,1447,0,4,0,1254,1137,14698,3,5,0,387,38,185,4,69,7,4785,4,6,9,9
"지리산",263,0,1299,11,43,7513,0,404,0,0,220,2281,674,670,21,132,786,90,79,9,18,318,593,8,0,2246,122,7,1354,14,0,977,23,45,0,0,38,8,461,2208,0,32,146,0,124,1,126425,106,37615,0,58,290,163,0,314,0,1835,0,0,5249,33,0,2254,29,2124,86,90,1,12,35684,41,249,530,0,0,7827,387,1242,0,15,8,0,38,11,430,6,1254,109,18,8,1464,7,57,77,412,0,185,0,2,0,193,113,16,81,1,156,15,3501,0,0,740,6305,99,2078,1,2,349,12,218,109,3007,3607,1884,0,496,0,80,21,2237,14,721,120,0,1064,4503,61,1030,2859,32,0,332,425,9698,0,511,124,3979,6,1019,88,0,7,105,313,1057,353,1005,11,6,14,279,0,1991,4808,106,21,1,775,228,930,1787,0,50,187,44,32,292,337,6,409,0,0,0,1848,277,1,62,72,63,0,692,0,80,2,0,46,2310,612,0,336,874,907,378,145,544,0,509,99,7,448,60,37,503,1,35,409,510,2494,5512,389,249,186,16,737,642,28,1999,303,311,544,1482,0,0,544,1488,364,0,869,4,46,4,139,33,0,89,226,14,36,0,2990,1209,0,2,0,123,405,7931,22,14,0,2198,51,435,28,74,14,29140,1,7,14,18
"지수",2327,0,25,25,1,215,0,8,1,2,23,12,830,84,85,1988,41,2173,1,1,8,50,15659,1,0,183,8,0,197,4,0,52,20,34,0,0,4,2,2128,109,0,113,259,0,8,1,283,4,9,1,2245,31,14,0,117,0,709,0,0,63,4,0,372,0,95,7,341,0,309,1182,1,6,3123,0,0,712,38,8911,0,1,0,2,1,0,39,0,133,1,1,0,95,0,16,3,48604,0,13,0,1,0,23,10,2,2,0,10,1,91,0,0,50,22398,70,97,0,0,3938,10,722,20,17286,46240,380,0,73,0,96,0,372,0,4758,36,0,75,14874,5,80,236,153,0,32,24,800,0,13,27,11828,0,142,5,0,24,181,39,181,209,276,7,1,44,30,0,129,44,1294,88,0,56,14,91,77,0,10,19,41,28,164,10,5,1535,0,0,0,279,139,0,782,78,9,0,146,1,11,0,0,1,213,17,0,18,142,24,23,6,82,0,3685,3818,1,201,18,4,69,0,378,36,43,292,45,37,3039,3026,1,27675,105,564,38742,30,1092,21,157,0,0,44,123,59,0,97,3,929,0,7,107,0,2885,0,3,109,0,4708,130,0,0,0,2543,15077,388,0,0,0,36,3,702,0,5,1,7010,7,1,0,0
"진교",4708,0,276,6,35,3293,1,311,0,1,170,209,5819,121,296,20182,740,21491,4,16,33,298,13497,15,0,1789,106,6,693,22,0,1498,23,136,0,0,18,5,519,1640,0,30,123,1,179,1,71,65,31,0,1367,216,38,1,217,0,4597,0,0,282,61,0,3145,43,719,43,1438,0,1883,4252,97,155,9981,0,0,7689,431,12065,0,2,7,0,46,2,407,8,1166,4,4,1,927,10,86,76,19878,0,122,0,0,0,146,17,13,78,0,46,21,229,0,1,640,85621,124,1060,0,7,5255,22,2947,126,136943,89730,2759,0,224,0,135,5,2121,21,13241,105,3,880,86859,54,301,2231,3091,0,335,258,12401,1,213,39,95185,9,763,106,0,228,107,70,266,378,724,8,2,79,269,0,1799,12,13164,388,0,415,205,794,1108,1,65,202,19,81,2736,58,8,1875,0,0,0,1727,328,2,16990,270,51,0,413,0,116,8,0,38,1828,248,0,187,393,394,136,24,395,0,9201,4296,2,281,60,13,132,3,1582,120,340,1257,216,9453,43,3133,12,18460,221,7632,337215,241,1790,139,1336,0,0,405,1249,391,0,467,6,11674,13,75,80,0,2133,2,11,35,0,26065,968,0,3,0,53286,9798,3227,10,19,1,315,51,855,30,39,19,23946,2,13,10,16
"진례",166240,0,170,309,4,1124,3,148,0,5,78,338,259,101,165,1733,851,7893,4,3,169,327,12635,0,0,1611,127,130,241,18,8,590,112,287,0,0,17,16,2101,135,3,65,1156,1,142,2,404,18,71,0,7622,267,33,0,397,0,636,0,0,202,97,15,1705,4,239,199,438,0,834,7415,9,691,151461,0,0,4636,264,56978,0,0,2,384111,29,2,266,2,1420,19,3,3,111,0,302,55,12920,1,526,0,1,3,420,22,38,81,7,29,1,318,0,2,415,798563,453,720,0,2,39223,87,209,288,15014,2,545,0,300,1,848,11,771,1,88180,52,1,370,807430,145,173,1665,521,0,966,248,1852,2,126,148,3108,1,813,884,0,146,435,37,1466,1174,999,38,1,222,268,3,494,42,5222,164,0,725,101,593,214,3,275,527,36,308,139,132,42,3803,1,2,0,1251,421,0,1812,206,167,0,1514,4,165,20,0,10,495,216,0,630,827,73,198,197,198,0,375983,8789,0,1632,149,12,205,0,572,60,163,377,184,2534,2919,11292,6,9247,150,1797,10278,269,5972,95,2313,0,0,502,496,358,0,182,30,624,0,16,969,0,39964,0,9,42,0,2816,610,0,2,0,4124,22297,904,1,8,0,354,7,7757,4,22,67,35249,70,12,5,19
"진부",10,498,22,1761,190204,3,43,3317,118,237,106,14,3,4,2,0,7622,48,1588,30,238,175,0,15,169,15054,3238,4,40,15,658,1342,45,101,0,1358,18,23,23,46,64,13,4,184,125,156,23,14754,1,240,6,54,12,84,223,174,6,305,0,11,185,989,1510,73,10,4273,1,0,1,9,7,1530,3,209,0,81283,8379,3,2,16006,19643,0,531,5999,606,26081,32,45,4,1,44,15,127,28688,7,20,38,0,92,92,178,21,49,726,379,18,34211,31,394,928,726,5,126,9671,17,993,5,108,12,305,25,0,15,62,80,39,92,47337,10,1,2,15,3021,322,37,213,8,12648,22,716,2306,90,15873,82,1390,126,38,17,2050,102,5,1,87,0,3,30,23,14,15522,106,126,278,5485,3,55,1,489,1487,2093,229,153,57,10448,7767,15,91,1,8,11,10,223,37,254,1006,1460,2910,9,4,87,14,238,11,2215,439,0,39647,930,554,99,7736,442,4362,29,1,157,3,2,0,81120,705,111,33,327,1567,8,4,393,12,16,1,5,5,1375,6,15,2,11,722,5,13,781,33,17,91,336,4,24,79,3,0,6,3645,507,949,9,75,12,47,65,43,232,137,82,1012,15,3,38,9,46,26,6,26175,7,102,1276,4,3,3,2,89348,372
"진성",6444,0,215,34,11,2847,0,80,1,0,103,48,1141,118,257,7500,180,12494,4,1,38,186,65785,3,0,906,41,2,510,17,0,260,30,105,0,0,20,5,889,729,0,98,281,1,110,3,784,20,100,0,7568,156,39,0,342,0,5688,0,0,318,104,0,1363,0,637,16,421,0,915,4419,6,68,14868,0,0,2304,118,39044,0,1,0,1,18,1,201,5,659,15,2,0,429,3,121,19,27457,0,56,0,1,0,82,41,5,39,1,53,0,271,0,0,268,106542,188,345,0,2,19040,33,939,89,31586,248543,3267,0,291,0,486,3,3428,2,23246,122,0,417,80529,83,631,940,724,0,214,97,4162,0,53,105,23500,1,332,93,0,102,156,74,426,689,1657,17,2,122,129,0,549,105,6046,247,0,405,66,433,431,0,18,82,106,65,245,101,7,6161,0,0,0,759,262,0,2865,329,41,0,1123,0,32,6,0,6,1263,218,0,80,573,160,105,28,250,0,20440,21088,1,1857,96,16,133,0,744,107,110,1918,426,35871,12269,11272,2,60,275,2552,19597,124,4896,107,689,1,0,384,604,182,0,395,19,4736,2,32,148,1,14607,2,10,52,0,5839,449,0,1,0,16206,63514,4061,3,3,0,90,14,2011,3,19,30,29937,18,4,4,10
"진안",266,0,551,4,67,1206,6,192,7,8,1056,800,511,13,4,98,422,268,3805,0,3,64,528,0,1,1539,115,11,1605,594,0,1067,1470,51,0,1,597,15,43,2151,0,32,64,0,115,0,351,142,39,0,61,2297,357,1,3172,1,1278,0,0,77,49,2,2231,1,9383,45,92,0,18,255,3,192,533,5,0,3897,382,838,0,33,7,0,120,9,408,6,432,136,25,5,8187,0,12,96,380,1,129,0,1,0,178,244,19,71,3,0,25,235,1,11,803,5549,29,1074,1,5,232,5,302,120,2150,3333,1155,0,17428,1,15,39,1968,0,678,1550,9,1910,3585,34,5712,2136,13,0,343,712,14208,3,186,3713,2944,1,964,123,1,4,12,5,2003,152,64564,7,8,29,488,3,1914,53,122,4,3,628,154,1218,1769,0,37,240,1029,4,227,44,5,192,1,0,0,2219,362,1,137,13,106,0,32834,9,105,13,0,114,3706,279,1,319,17976,418,386,54,30663,0,435,103,13,13911,36,515,3337,7,10,1,793,2031,650,348,214,380,22,580,5428,66,1324,306,132,10,2133,0,0,395,1512,255,3,974,7,46,0,98,6,2,94,37,215,1597,0,3196,1303,4,19,1,152,396,2954,27,0,3,758,67,160,0,83,13,11852,4,7,19,33
"진월",6102,0,42,13,31,559,3,127,0,3,88,41,1167,963,5201,7944,368,111291,38,43,41,102,2743,374,0,2160,41,6,375,208,0,308,126,399,0,0,12,10,209,640,0,11,439,0,82,0,12,38,7,0,965,413,57,0,111,0,415,0,0,3804,542,1,1078,141,940,42,748,0,3432,35177,3046,71,4506,0,0,2743,165,4205,0,5,10,1,35,1,458,7,1177,17,10,6,1759,33,210,40,2155,0,140,0,0,0,331,79,11,40,0,138,5,2179,0,0,307,46316,78,485,0,0,1359,18,453,191,12469,17181,447,0,102,0,54,7,378,163,3225,89,2,306,20183,77,65,1572,13566,0,1880,169,3345,0,114,154,4303,47,410,1220,0,1040,48,135,276,386,73,5,2,551,412,0,650,18,91451,1662,1,728,176,353,416,0,32,105,15,49,333,803,1,833,0,0,0,951,354,4,15501,2080,48,0,81,1,82,0,0,30,862,626,0,157,273,257,11408,1199,150,0,2140,2040,7,794,65,15,585,0,11603,87,274,425,29,900,6691,3295,3,2469,41,62,18876,329,2924,788,1531,0,0,376,796,257,0,934,7,1787,16,44,106,0,2631,1,3,151,0,5702,457,0,3,0,25809,2903,525,41,185,0,43,21,816,106,33,8,32881,1,2,24,6
"진주",15762,1,2254,49,135,25905,0,556,2,6,2600,197,139980,808,1307,250515,1420,106125,23,6,122,656,68682,12,0,7405,312,17,2992,103,0,3003,313,312,0,0,128,67,1241,4151,1,177,331,1,395,9,4283,171,528,0,6062,936,328,1,1324,0,32961,1,0,2544,416,3,16656,26,5978,249,42414,0,9616,35590,35,945,24677,0,0,19674,996,47741,0,21,21,9,286,9,1205,30,4328,45,11,5,3000,5,268,187,21299,0,329,0,1,1,554,157,42,182,2,188,33,1243,0,3,2616,223406,453,3782,0,9,25434,71,76392,434,1274685,449777,26248,0,1758,1,458,28,22609,10,40076,371,4,2758,179905,410,4798,7239,5992,0,1549,715,44139,0,530,564,43799,10,2491,487,0,697,322,418,600,1269,6539,57,11,255,1001,2,4317,398,49687,3090,3,2639,470,2416,3028,2,235,545,160,228,18479,507,10,7704,5,0,0,8115,1247,3,32851,1518,298,1,4666,2,384,9,0,150,6442,768,0,761,2823,1179,892,137,1919,0,32968,14051,19,9212,278,78,707,6,5633,597,1211,11379,2356,44628,350582,11829,15,42294,1187,23705,191,989,7867,933,4690,1,0,917,3269,3647,0,2310,16,95215,2,290,424,3,14459,2,49,342,0,387275,3053,0,2,0,200119,58904,37162,19,45,0,613,126,6274,45,1168,90,83380,13,23,39,65
"진천",726,6,64,482,3521,236,513,13081,1865,3893,2851,214,243,21,46,61,44985,1186,16910,388,39,3899,70,684,3,36575,2370,254,2426,236,213,13809,846,2759,0,57,84,1619,615,2939,174,1184,234,13,27556,797,174,5268,5,54,384,111,140,434,8407,12,266,38,0,189,3028,4837,53830,896,275,5280,94,0,128,54,90,3406,360,1407,0,240495,7843,381,2,2081,831,0,1064,700,12207,620,50,577,76,17,1283,180,31,5818,220,285,5316,0,491,233,6990,538,5209,2809,2106,37,1270,879,174,4029,19099,629,171,16861,436,493,384,52,123,5096,1139,93,707,180,1600,388,1010,1236,1457,10,446,113,8825,9232,2335,2669,544,44671,235,62,11621,28235,38153,728,21363,2130,1623,197,235820,9979,152,67,1643,15,909,882,281,1157,256,5154,16939,1087,17470,15,748,29,209,69051,3118,6006,4029,3151,5616,14552,248,15,52,67,1249,525,61,1883,3,34205,136537,200,432,164,5134,73,4496,1555,5041,3228,0,3759,22129,57513,12,29634,10114,56209,800,53,2691,167,348,66,674,9833,127,72,4788,457,172,23,69014,399,259,16,221,304,742,268,257,693,1080,387,234,272,1466,179,724,23792,41101,14,274,4527,571,27,126,4067,148,876,206,3995,30,1886,204,2139,9247,474,1888,197,379,215,525,42,376,101,42,2416,983,1228,2955,1064,178,566,767,884,1326
"창녕",7931,1,852,829,36,5886,1,421,3,11,129,1464,257,53,30,863,1212,3613,4,2,193,1808,2788,20,0,2235,222,273,84,18,8,549,16,1033,1,0,5,66,6923,45,0,304,4086,2,182,1,571,25,37,0,33409,306,10,1,219,0,331,0,0,155,77,5,2644,5,81,230,88,0,440,2116,4,231,10377,1,0,10791,629,8629,1,3,3,3,42,1,265,4,1491,4,3,1,29,4,584,60,9439,0,844,0,1,0,168,9,88,87,0,6,6,103,0,5,534,72085,1071,1181,2,8,29309,194,216,94,6969,2,289,0,193,0,1258,3,131,1,13794,19,21,727,67385,142,84,2142,219,0,547,235,3713,3,128,63,3012,4,876,174,1,35,1192,29,5807,5736,672,206,2,83,255,1,1003,97,2362,89,1,410,166,641,299,1,502,490,14,497,74,37,177,25885,3,0,0,1124,273,4,1045,26,177,0,365,12,275,9,0,26,988,192,0,1255,260,118,65,9,106,0,14574,1511,4,573,550,2,71,0,269,44,127,101,266,1206,1751,5991,5,5271,104,913,7168,175,116,31,1490,0,1,349,592,660,1,55,145,228,1,53,1092,2,10465,191176,4,39,0,2502,557,0,12,0,2787,8685,1275,1,8,0,3117,13,21141,10,20,188,348454,225,26,7,12
"창평",400,0,57,3,19,430,0,42,0,0,135,193,219,1800,55976,534,121,3982,89,127,2,57,351,268,0,885,52,0,41,1555,0,291,1153,10,0,0,113,3,102,61,0,4,43,0,20,0,4699,22,1620,0,32,654,811,0,770,0,104,0,0,10618,146,0,193,208,182,14,52,9,5760,293961,2138,52,369,0,0,756,101,635,1,7,7,0,33,0,265,3,92,65,12,8,75,117,7,30,187,0,29,0,0,0,187,695,4,28,0,595,3,3795,1,2,182,4343,16,263,0,0,152,0,129,138,1334,2665,94,0,519,0,14,6,51,638,450,401,1,364,3368,59,16,1676,19278,0,162,190,3800,0,85,1757,591,103,268,206,0,11283,18,766,115,57,53,2,7,72,132,0,505,2260,47294,3966,1,274,72,317,175,0,11,171,187,2,66,793,5,80,0,0,0,585,61,0,1918,47170,14,0,38,0,28,0,0,8,1254,47,0,400,655,200,2255,959,7,0,532,114,1,3793,4,99,2715,1,7562,1296,244,85,888,213,269,149,20,333,4,1468,1326,75,52,27,572,0,0,141,330,125,0,45,1,82,44,38,2,0,407,7,225,685,0,1669,158,0,1,0,1632,204,445,18,154,0,168,9,46,256,25,4,6010,1,1,5,6
"천안",8697,39,459,571,5935,1279,2398,1568,10505,24387,6369,888,1642,679,420,357,4993,1433,82586,218,58,43368,726,7413,61,263861,15891,955,10171,1811,18,364720,2846,16509,4,76,20820,13752,4594,8656,1579,9910,840,49,17618,5128,452,5741,20,130,2881,81483,1004,3175,2102,46,1575,95,0,1894,2666,31089,287629,1145,1670,4187,550,2,781,235,1322,25736,1754,6790,0,19806,81776,2260,9,2414,1143,1,33371,1025,77984,2161,119782,4318,510,201,9722,196,416,4128,804,1775,11492,8,3166,1620,34764,2630,9029,17525,13931,1891,1864,2659,325,27958,107726,4432,5001,159578,2564,243,2929,101,764,24410,7297,1415,1476,1169,7006,1468,7076,1396,2169,529,2198,31542,46714,29087,10880,5225,2568,363579,3976,115,56873,183602,2142893,5165,3978,10208,6687,1209,161,11575,2176,362,14534,769,3950,2477,2247,3729,444,3386,98630,5295,454453,101,8616,477,278,263803,23149,394031,18908,5643,4088,8240,19725,56,361,1126,3064,2675,104,6309,9,556128,268,314,1195,833,14003,547,30980,7375,14172,24704,0,3202,98515,20703,29,7863,34702,6075,4025,437,3923,521,2541,280,867,58389,2194,73169,13262,1309,2360,340,1102,2094,1325,136,1405,2553,1353,1084,1740,1057,4216,1960,1815,428,16524,1224,2391,74030,67833,425853,1849,15200,2604,469,296,4161,320,5312,1248,29506,5245,6991,2779,12041,36517,3408,13936,290,1153,1091,3248,370,426,699,233,4550,4270,1187,3838,4774,694,2083,1932,1835,888
"청도",0,7866,0,944,235,0,1748,468,10855,7555,349,0,0,0,0,0,2230,0,3,1,354,10146,0,5,1528,4002,370,129,36,1,32,1607,4,3118,0,2,32,13752,129,120,106405,373,2,4995,270,22794,0,1260,0,1328,0,648,0,10876,253,996,0,878,0,0,228,148286,4763,6,0,658,0,0,0,0,1,635,2,33112,0,17491,1074,0,0,15,112,1,227,7,401,177,2501,0,0,0,3,3,972,190,0,98,960,0,13838,99291,478,0,128,309,40350,0,64,0,566,32633,1333,0,1266,1758,2773,56,0,215,0,246,0,0,0,33037,11,14024,1625,123,0,0,0,8,35993,799,0,377,0,3945,0,2373,1171,346,9967,1685,341,15,0,7,1707,570,938,0,915,0,0,7,1,195,30,355,608,199875,2050,0,0,0,137,1333,333,1262,476,7143,1022,1182,5,826,0,0,253,0,3559,6814,523,2479,869,5,0,0,299,98,9,12395,679,6677,0,200,1815,654,2316,1337,100,273,2,0,0,32,1,0,74,105,919,22,9,482,0,0,266,0,0,0,0,0,119,0,0,0,0,517,0,0,2973,5,377,629,1159,1104,4233,102,288,0,4,1212,1910,9061,0,0,4,11,1097,0,1060,12207,10665,784,0,0,0,0,14,54,0,305,1,19,728,334,0,481,48,205,287
"청량",0,2437,0,269,17,0,16253,120,8396,55429,93,0,0,0,0,0,710,0,0,5,152,2606,0,192,136,3916,168,39,83,6,7,1488,6,1729,0,2,20,11771,42,72,857,80,1,899,190,4947,0,281,0,472,0,860,2,508,780,261,0,1825,0,0,275,114656,2837,13,2,152,0,0,0,0,11,252,7,9744,0,5508,377,0,0,3,24,0,47,1,493,29,2865,0,0,0,4,4,461,111,0,14423,676,0,5443,76,916,0,148,102,1949,3,10,0,3911,14030,851,3,318,2223,27,16,0,73,0,205,0,0,0,671,75,6427,517,18,0,0,3,6,16264,586,3,729,0,2630,0,633,1821,208,2660,46829,44,65,0,28,3940,957,1,0,182,0,0,3,2,101,71,317,485,2120,475,0,5,0,36,2413,168,773,386,23155,308,252,15,991,0,0,229,0,1630,10684,123,2808,829,0,0,0,152,23005,42,4507,334,121117,0,65,794,1356,376,996,1653,106,0,0,0,136979,2,1,25,2121,283,17,16,119,0,0,216,0,0,0,0,0,21,0,1,0,0,744,1,0,2668,157,5983,860,1057,1419,98,224,176,0,3,313,1173,1689,0,0,2,52,7974,0,623,3096,18,253,0,0,0,0,25,1314784,0,39,1,7,190,76,0,339,7,28,118
"청북",3499,13,132,228,415,498,1079,159,2720,7722,1127,403,577,2052,154,160,831,437,23210,11704,27,10367,191,14507,8,252354,9856,196,2208,333,48,21303,520,6092,86,11,3710,3962,1685,1470,360,1744,535,12,143492,1389,161,609,10,30,1505,51718,186,767,444,16,539,32,0,807,71311,8221,20370,14069,617,361,184,34,200,102,10719,28,1206,2257,0,1258,8213,1281,28,462,140,0,754,119,96738,110,35892,9068,1394,313,2701,3260,50,938,265,570,1783,91,1059,538,29870,502,2390,11124,3846,4274,184,1115,74,6392,11013,1798,198,3001,765,41,881,42,190,45775,2039,349,634,544,1274,679,1942,265,559,1905,1092,6196,12954,3242,5042,48048,1431,526390,1042,99,70062,129930,42683,1166,694,1843,1700,7362,16637,152088,287,121,4303,1562,1073,927,417,878,73,104302,119630,1234,23216,35,2640,138,95,33236,13820,88294,2082,2148,504,1296,3704,21,137,2175,806,1458,55,3763,6,20112,20738,57,271,282,4567,169,5706,2862,1551,7409,0,515,10101,78389,6,2067,6355,9788,997,692,1624,296,1083,177,108,10664,207,16639,2400,253,712,1346,27680,547,541,58,458,815,145,405,387,505,1381,27815,581,112,74507,346,765,14234,15390,41419,422,3440,787,98,2610,309,134,1043,418,8469,1039,1286,1095,2609,4108,656,3665,121,523,299,955,1747,9620,166,85,391,1789,23366,325,1348,172,669,635,153,220
"남청주",3027,14,179,171,4513,1301,893,3980,2872,9359,29696,406,1168,69,103,281,18605,3401,42075,58,51,11144,228,1178,19,31399,1510,4994,18643,1301,2,15284,2453,23195,2,16,269,4667,1066,24951,538,11033,420,27,7539,1836,1003,2608,46,18,602,11958,822,1004,29553,29,1378,30,0,1177,1495,10996,553410,545,21087,1910,400,1,1098,131,310,3760,1040,3245,0,96873,4003,957,1,900,281,0,781,273,9260,375,55329,1373,144,94,13575,325,523,3160,1453,742,22181,1,1118,653,5037,1806,25331,2328,5030,176,450,2682,46,9004,152558,1799,7707,18948,982,128,831,44,782,3657,5883,635,1047,344,5408,642,5709,1032,1320,16,795,284,18446,85960,4479,3216,4526,42299,1578,9,11388,10382,78901,1522,7798,10478,4882,663,158741,5118,504,137,4621,40,1654,812,1227,7558,139,1406,11993,1820,24832,84,2573,235,119,165521,2186,23537,45672,3358,1308,6075,728,187,388,273,15404,1133,10,2902,2,35007,125411,100,1035,352,116229,176,14332,3269,2481,7237,0,2481,235493,28438,15,15114,31508,19997,3357,216,9786,203,890,167,282,43888,2565,269,14293,126,831,48,100506,1060,1262,153,1359,639,408,590,1177,611,2913,41949,452,284,71648,339,760,15888,262,35372,643,30207,3797,133,478,2741,130,1878,309,8925,98,6007,666,12048,121757,1484,5691,14,1321,421,2991,84,183,284,143,1085,2300,407,1936,5532,226,7623,7799,449,1078
"청주",3162,15,74,24,193,438,1018,128,3508,13605,3110,369,583,24,45,88,244,1148,20094,128,15,11716,182,369,11,122517,7888,812,4553,321,3,72424,551,6880,1,1,537,3374,1438,5007,461,7341,522,12,1720,2213,290,176,13,1,760,61192,187,1299,4909,15,482,0,0,286,3454,13624,127001,616,491,126,145,1,1292,51,62,10759,829,3073,0,2375,25063,707,1,69,13,1,3976,25,34108,17,227353,508,52,19,3076,112,277,120,275,746,23163,0,1402,863,15375,401,17298,6245,5858,53,69,576,7,11330,35544,1649,4231,77001,733,15,887,11,317,11293,1748,346,377,432,1561,466,3858,33,348,9,946,367,22065,11435,3599,5111,834,148955,394,18,30369,20219,540007,1483,134,2414,3020,166,105,11923,425,57,5235,13,822,1034,324,4936,7,4860,38920,2516,125771,13,1053,48,11,98763,11848,125044,7387,1852,218,249,262,38,118,104,3313,1116,8,4003,1,181403,68,10,384,91,14162,230,3660,4061,1510,9635,0,95,31819,350,11,254,8177,219,753,33,1929,202,1036,107,26,12818,1743,980,3357,29,234,18,28,412,340,42,406,704,17,220,249,215,3178,70,780,118,411807,417,705,36186,38250,15673,707,7947,1107,53,116,138,24,2059,375,9041,131,1125,524,3497,23097,1604,6552,7,430,369,842,26,457,341,83,152,1445,1390,91,3598,274,1317,4563,31,28
"청통와촌",0,9798,0,693,86,0,141,349,1761,844,350,2,0,0,0,0,943,1,11,1,436,16527,0,30,793,1523,168,332,37,9,6,437,18,4698,0,0,13,18380,136,111,6713,390,2,2102,99,1341,2,432,0,405,2,316,2,704,745,2270,0,336,0,0,108,8725,3912,3,1,312,0,0,0,2,2,404,0,50688,0,9633,523,1,0,7,31,0,35,8,160,33,1236,0,0,0,4,2,866,84,0,53,1159,0,803,2802,407,1,124,54,3215,0,23,0,194,347289,716,0,1137,876,37118,22,0,158,0,127,1,0,0,2410,129,1199,1510,33,1,0,0,7,264330,1104,1,188,0,1537,1,1292,396,134,3337,300,98,59,0,7,1012,118,18752,0,1438,0,0,12,5,161,11,60,236,48198,817,0,0,0,64,744,222,653,468,497,478,491,16,617,0,0,221,1,1798,248,292,961,378,1,0,0,485,29,61,36858,416,1038,0,105,1333,248,1020,628,417,100,7,0,1,23,0,0,18,478,911,15,34,182,0,0,171,1,0,0,0,0,49,0,2,0,0,417,0,0,1802,5112,52,305,632,756,10888,179,402,0,7,453,1213,31255,1,4,15,30,191,1,1048,265038,159731,555,0,0,1,0,14,104,1,105,2,12,249,383,1,535,16,42,63
