"","가락","가산","가조","강릉","거창","건천","경산","경기광주","경주","계룡","고령","곡성","곤양","곤지암","광양","광주","구미","군북","군위","군자","군포","금강","금산","금산사","기흥","김제","김천","남구미","남대전","남안동","남양산","남원","남원주","남장수","남지","논산","다부","단성","달성","담양","당진","대전","덕평","동광양","동광주","동군포","동김해","동대구","동서울","동수원","동창원","둔내","마산","마성","매송","면온","목천","목포","무안","문막","문산","물금","발안","백양사","부곡","부산","북대구","북대전","북부산","북수원","북창원","비봉","사천","산인","산청","삼례","새말","생초","서김해","서대구","서대전","서부산","서서울","서순천","서안동","서안산","서울","서울산","서전주","서진주","서천","서청주","서평택","석곡","성산","속사","주암","송악","수원신갈","순창","순천","승주","신림","신탄진","안산","안성","안영","양산","양지","여주","영동","영산","영천","예천","오산","오창","옥곡","옥과","옥천","왜관","용인","울산","원주","유성","음성","의성","이천","익산","일죽","장성","장수","장유","장지","장평","전주","정읍","증평","지리산","지수","진교","진례","진부","진성","진월","진주","진천","창녕","창평","천안","남청주","청주","추부","추풍령","축동","춘천","칠곡","칠서","칠원","태인","통도사","판암","하동","함안","함양","해인사","현남","현풍","화원옥포","황간","횡계"
"장수",2156,0,1573,491,5399,0,17,1065,31,740,3131,2,420,2640,321,21,175,1921,0,6555,843,141,14269,3,2162,6,122,35,18518,0,1,787,457,177,280,493,0,13753,136,95,1,21268,157,50,667,343,4979,18,30918,1023,5798,22,0,186,199,22,2311,0,0,344,2746,0,10,0,301,18,30,3037,47593,3624,1659,35,29410,35882,8487,20,510,10531,6352,53,7574,47395,4374,45,0,1133,39471,9,20,15872,0,4188,3,1,4225,37,11,2,5768,95,429,10,27,6653,1146,4190,10883,5,282,506,149,1456,27,0,6131,1049,348,4,1694,21,624,24,280,11199,1828,3,1053,150,2293,2,236,3257,682,37,90,24,3464,1309,698,714,2587,118,3693,279,14837,1322,573,6,3959,5054,1821,7811,51,269,293,4,1160,82,11,0,7788,576,3800,10602,2026,311,183,41026,80,64
"장유",295068,0,242,5,1547,0,0,118,0,117,146,289,1834,494,5962,1,0,12736,0,1585,134,1,403,1,318,1,0,0,441,0,0,2380,1,75,6895,232,0,1891,3,171,0,1751,50,221,10397,138,75623,2,2267,118,229543,1,270848,47,34,0,661,0,0,2,13952,0,4,0,61,0,0,444,1872452,516,28471,10,11381,6,1013,10,1,1188,399648,1,799,4794257,1060,645,0,377,4339,1,3,4796,0,541,3,155,313,0,950,0,993,115,6527,169,1,452,170,998,394,0,44,12,3,6272,0,0,920,143,1346,416,82,0,137,3,0,1454,186,0,131,92,222,0,2917,71121,4841,0,30,0,266,316,1758,5739,240968,0,5139,1228,20962,177,8532,159,1214,1197,492,214,0,426,1,0,21552,0,0,0,435,4531,18666,1326,477,1,7647,62823,0,0
"장지",3052,0,25,4,360,0,0,30,0,25,15,45,2689,70,3531,0,0,8507,0,755,44,0,89,1,128,1,0,0,248,0,0,741,0,13,2167,54,0,388,0,19,2,905,0,146,1833,12,7201,0,1107,40,15031,0,0,3,9,0,228,0,0,0,15904,0,1,0,12,0,0,62,35034,132,16253,36,7837,278588,350,1,0,324,7330,0,100,33846,367,381,0,107,1284,0,0,2906,0,126,0,40,67,0,173,1,216,21,1694,49,0,130,69,153,149,0,10,9,0,2425,0,0,331,6,423,48,26,0,38,0,2,515,21,0,43,21,58,0,926,4706,133,0,5,0,54,26,2633,3256,6828,0,8058,906,16720,43,1922,66,336,913,119,43,0,617,11,0,8665,0,0,0,114,2431,62749,467,50,0,1126,14087,0,0
"장평",0,351,0,176619,5,17,55,1747,247,52,0,0,0,4097,12,984,3,1,283,12677,1942,1,36,14,610,22,17,0,22,156,42,6,15362,0,0,182,94,9,0,0,156,960,1087,2,0,646,1,149,46768,4495,0,19210,0,370,485,12992,26,46,8,16219,1,23,153,21,538,321,428,508,1,6413,1,221,19,0,4,89,63875,3,0,1614,238,0,7018,0,504,1938,16513,51,75,20,17,1403,79,0,0,17363,0,109,3816,2,12,0,631,706,2156,269,47,34,3875,8013,19,0,64,293,978,628,10,0,103,6,3534,303,79633,551,389,98,7471,309,2382,27,28,0,0,488,449,217,389,6,0,0,0,83098,2,2,21,481,0,0,631,181,16,52,4,0,5549,654,1,0,50,21,95,2,2,10,0,55746,0,0,10,55528
"전주",18,26,4,8754,41,283,2627,7701,5903,23457,18,0,11,17892,1,781952,12397,14,33,29725,4926,198,2305,33476,14316,28667,8765,1847,15634,234,90,8,4417,1,6,202243,30,36,1,0,6,77037,1624,4,5,2246,59,3338,195794,7495,58,397,0,4277,776,403,12870,1,0,2213,22,31,28,28943,1452,1205,5914,57326,467,19179,18,78,222,450,21,25067,1440,24,61,9961,138035,526,16962,0,131,4440,355518,674,25761,185,0,31473,8,1,14,208,0,6,50103,0,5,0,410,31035,5454,25360,32076,206,2812,4175,6123,19,4975,12,39090,5552,0,0,14222,3922,5088,6209,3019,260116,10253,77,13475,48651,15091,36120,94,24,3,416,4629,324376,31066,8,4,7,18,696,74,1,194,11355,2,0,32250,45548,18598,2634,869,2,4076,1087,14,1,76249,499,18708,3,126,37,14,4659,1,114,1296,597
"정읍",0,26,2,3047,6,69,329,2561,820,7334,0,0,0,6222,0,965162,3535,3,7,4045,781,97,1617,49269,3521,360062,3302,592,5187,75,7,2,1715,0,0,66025,4,5,0,0,0,18771,487,0,3,315,4,557,81673,1173,1,209,0,561,123,106,3918,0,0,1259,1,1,4,67561,316,65,1612,14124,30,3123,1,13,6,11,4,78934,526,0,3,2054,37558,22,2246,0,32,584,91506,64,280088,17,0,13261,0,0,0,122,0,1,10517,1,1,0,185,9616,762,6175,9881,15,720,1890,2366,0,785,3,8134,1934,0,0,7101,765,1473,455,1416,72627,5159,33,3776,50115,6912,67334,32,0,0,336,325728,315,15105,0,0,0,0,323,3,0,9,5657,1,0,8984,17099,4879,1717,368,0,1581,283,1,0,38070,10,7425,0,3,6,4,1532,0,15,861,197
"증평",225,14,77,6405,299,201,1317,14007,3505,7346,32,0,126,55907,818,42534,4838,192,9,59239,7528,547,8621,1116,2401,1923,4767,767,5530,11,520,743,4042,22,16,26424,15,1107,0,11,34,191587,4917,319,25,3163,381,2193,352165,14943,286,477,0,2454,2081,275,13,2,0,2540,587,366,324,1726,3596,4337,4211,84588,1362,32177,209,1211,4309,3200,650,5918,901,379,377,9361,35732,2515,36907,84,43,18572,47695,810,5240,2628,2,238233,40,0,10,242,8,41,16990,50,962,12,313,142275,8523,95,11393,788,13258,4939,5007,11,1779,9,1055,24585,738,1,29339,1640,13682,4602,3496,74899,91401,13,14213,39343,71276,6960,4275,240,73,450,34144,16861,59,413,69,644,241,756,498,383,2129,90109,5,1,62,80339,15,11308,874,44,2859,576,100,1,4396,514,25834,495,287,784,60,5068,1,8,2321,458
"지리산",295,0,2053,71,10254,1,0,259,1,159,2843,18,179,489,42,0,5,415,0,1976,240,7,1205,1,604,0,11,0,2270,0,0,161626,65,56469,56,81,0,3114,64,5679,0,2918,169,8,38372,120,708,0,5741,277,525,7,0,34,68,0,711,0,0,44,501,0,2,0,73,0,0,748,6267,1136,377,11,4155,4717,2656,2,20,2209,786,1,1473,5017,1317,37,0,280,8978,0,0,5955,0,558,0,7,2460,8,41,0,1279,9377,161,10,1,825,279,1057,1970,0,54,100,16,368,1,0,1468,105,66,39,234,0,161,0,52,2898,153,0,223,15,553,0,1075,360,69,8,5,1,383,4843,187,330,180,11,778,61,2630,215,163,371,1071,1111,425,774,1,92,49,0,123,113,0,0,1014,126,650,9665,3647,35,64,33512,6,16
"지수",685,0,21,3,240,0,0,15,0,7,10,39,1892,32,1430,0,0,10834,0,203,22,0,95,0,50,0,2,0,94,0,0,259,4,13,1120,25,0,1314,0,17,0,270,2,40,935,6,2890,0,456,25,4846,0,0,3,5,0,80,0,0,1,54173,0,0,0,5,0,1,57,16753,57,2438,0,13895,40221,588,1,0,465,3160,0,80,13060,118,102,0,46,804,0,0,10814,0,85,0,23,23,0,176,0,136,18,973,46,1,65,35,259,58,0,6,5,2,1280,0,0,169,10,369,43,15,0,8,0,2,191,22,0,15,10,45,0,353,1472,2330,0,4,0,44,58,112,2474,1456,1,12418,189,58880,30,972,25,117,127,71,34,0,651,2,0,1435,1,1,0,70,1625,11904,360,21,0,455,6259,0,0
"진교",5492,0,418,104,5076,0,0,292,0,215,447,339,18066,646,15501,5,12,13309,0,2341,262,3,1066,0,618,0,13,0,2302,0,0,257,42,35,1215,181,0,8165,3,207,0,2913,54,3878,7612,132,16279,1,7316,287,12512,5,0,49,89,3,920,0,0,26,19845,0,3,0,89,1,2,725,116329,1065,6400,26,254537,118304,3907,1,9,3093,16167,2,1605,133117,1347,1471,0,377,15286,0,3,147599,0,821,2,263,177,0,878,0,1987,18,14521,588,2,885,418,1257,1631,0,70,95,18,3477,1,0,1633,124,14697,463,206,1,145,0,41,2634,254,0,201,19,535,0,911,7446,4100,3,12,1,594,300,5951,196,4484,7,27294,7425,427570,243,2509,327,1306,1562,582,724,1,14693,43,0,2688,3,1,0,1209,55691,18991,3235,510,71,1574,31825,5,5
"진례",139897,0,112,2,914,0,0,45,0,72,181,224,1673,416,6438,1,1,11055,0,1345,74,2,270,0,259,0,0,1,381,0,0,1690,3,68,5089,612,0,1059,4,117,0,1150,28,211,6208,82,139820,1,2145,102,112001,0,333599,24,72,0,666,0,0,1,13015,0,5,0,86,0,0,198,1021768,433,23549,23,8927,0,594,3,0,807,310889,1,455,1053539,1024,458,0,493,2563,0,2,3342,0,793,2,115,322,0,576,0,635,119,4940,208,0,525,105,941,284,0,60,27,2,2891,0,0,1072,157,1308,320,78,0,148,0,1,855,208,0,172,85,221,0,2122,264993,6351,0,10,0,222,167,1748,3519,3711,1,5201,1269,15149,275,5679,78,1326,974,358,241,0,376,3,0,22560,0,0,0,390,3965,16653,804,264,0,8946,49630,1,0
"진부",0,517,0,213251,2,26,118,2493,293,78,1,0,1,5957,24,1269,3,1,260,18971,2820,2,53,12,922,43,28,1,65,204,50,9,16796,0,0,369,226,22,0,0,194,1668,1645,1,0,1339,0,353,70743,7208,0,14124,0,623,839,24121,56,53,7,23478,2,29,193,37,892,502,988,1007,1,9772,0,382,35,0,5,111,47786,3,0,3279,417,5,11006,0,835,2593,27445,98,126,37,26,2571,106,0,0,10825,0,168,6158,0,19,0,789,1151,3146,575,128,58,5661,13140,23,0,88,468,1730,1476,11,0,170,14,5819,298,52047,971,501,179,12053,629,4566,54,80,0,0,86462,601,271,614,11,0,7,0,1885,1,7,16,754,0,0,1090,370,18,70,8,0,6806,741,0,0,58,44,193,5,0,15,0,39008,0,0,21,72967
"진성",2861,0,321,22,4456,0,0,145,1,148,37,797,15412,455,13246,0,3,22913,0,2188,190,4,1173,2,339,2,5,0,1055,0,0,3467,18,145,4336,395,0,14829,3,222,0,2030,38,657,8822,103,10253,0,3836,206,15000,2,0,50,71,0,892,0,0,14,79480,0,2,0,68,0,0,539,56027,689,8161,32,68586,118889,5665,2,3,6077,9608,5,957,44037,1286,953,0,427,8845,0,5,73140,0,577,3,181,92,0,1002,1,1222,151,8912,459,1,785,238,1075,713,0,43,65,11,3439,0,0,1323,242,4058,386,129,0,127,1,15,2110,195,0,198,99,382,0,3350,5213,9911,1,34,1,447,736,13449,26436,5830,2,234,2899,177478,304,2846,262,1165,1521,480,541,0,5917,14,0,5140,2,1,0,627,18391,36194,5497,111,17,1638,16726,0,2
"진월",2014,0,58,66,2547,0,0,88,0,47,77,8358,5542,307,273798,2,1,1523,0,2269,86,2,264,0,177,0,6,0,487,0,0,61,24,8,161,30,0,1096,0,401,0,939,20,3689,50659,50,1725,0,2140,115,2073,6,0,13,37,0,368,0,0,36,1644,0,8,0,74,0,0,207,38023,457,1029,13,19235,14728,540,0,1,1104,3066,0,528,21623,1067,27344,0,1924,3122,0,1,5877,0,288,2,2134,32,1,17883,1,538,14,142091,2865,1,875,161,631,338,0,42,118,11,342,0,1,1079,112,8673,7511,105,0,73,0,34,607,243,0,148,25,178,0,585,1477,1304,0,3,0,313,57,338,6264,1832,5,2690,77,17174,222,1126,1298,1039,541,176,1108,13,1156,13,0,580,0,0,0,267,39282,2801,383,92,11,722,20650,3,0
"진주",11203,0,2253,246,30962,0,0,531,3,1784,354,1599,300759,2111,95196,8,15,85046,0,7702,683,16,4378,1,1556,8,32,0,5906,0,0,11562,260,562,9619,1046,0,63119,14,718,0,20086,167,6635,42806,697,48894,1,17848,811,53771,17,0,331,213,12,2967,0,0,211,34472,1,17,1,247,3,3,2900,314912,2728,31744,70,949075,717157,35323,34,309,34053,47487,11,4993,261950,4682,5197,0,1281,47963,0,31,41469,0,2968,13,745,265,9,3806,0,4876,720,57881,2583,5,3059,948,3872,4374,1,205,387,57,14376,0,0,7354,557,35974,1683,898,0,457,2,175,9238,805,0,591,491,1372,0,14250,21899,18932,20,133,6,1862,2992,66736,427043,17604,15,210829,21203,337,903,12862,697,5209,4724,2604,2690,4,72431,141,0,16443,3,9,1,3265,212933,124522,35580,989,124,9663,116650,24,18
"진천",230,14,69,6967,311,266,2696,12144,4904,1856,37,0,66,45806,329,16595,6735,139,15,34580,4483,166,3789,268,2461,655,9194,1394,2490,45,702,246,5542,14,14,9289,17,952,2,5,33,63780,3885,97,14,2697,512,3311,221318,8836,410,541,0,1278,1073,404,6,3,0,3262,163,561,258,807,2597,4727,6420,26684,1768,20939,175,891,2438,3856,919,2257,1505,951,616,15190,10943,3675,23283,28,114,9265,30001,1786,2154,1477,0,372346,53,0,30,247,2,19,9822,15,367,3,632,63733,4235,63,3318,1826,9274,7995,2626,12,2725,8,853,358732,201,0,12099,2657,9434,4563,4227,22166,56608,20,15784,17266,48766,2788,1827,294,37,583,10262,6960,76969,176,37,233,324,858,445,216,1381,889,0,0,26,44240,5,5620,910,16,3089,853,216,1,1664,2092,9564,244,345,772,100,4253,1,23,1128,554
"창녕",5482,0,636,0,3557,0,0,1,0,27,757,64,1330,2,3655,0,0,2658,0,49,6,0,97,0,6,0,0,0,46,0,0,1139,0,46,66886,37,0,703,35,154,0,54,1,109,2951,4,15755,0,66,7,9299,0,0,1,1,0,11,1,0,0,9226,0,0,0,0,0,0,20,85612,21,29220,0,6639,0,331,0,0,178,16829,3,89,80794,20,240,0,7,136,0,2,3207,0,20,0,37,1837,0,346,1,21,177,3165,87,0,9,4,24,38,0,1,0,0,40602,0,0,34,6,998,55,1,0,0,0,0,144,1,0,0,26,4,0,597,9281,1973,0,1,0,4,214,852,2424,6707,0,2751,908,12918,1,646,29,22,18,5,22,0,289,1,0,54077,324276,0,0,27,2476,12514,641,1582,0,38427,430635,0,0
"창평",95,0,51,0,356,0,0,0,0,0,100,38987,129,0,4701,0,0,128,0,1,0,0,15,0,0,0,0,0,10,0,0,3054,0,575,24,0,0,53,7,4400,0,5,0,4495,191550,0,237,0,8,0,525,0,0,0,0,0,4,0,0,0,153,0,0,0,0,0,0,3,3047,5,68,0,1433,1544,39,0,0,38,269,0,1,2033,1,20409,0,0,26,0,0,359,0,0,0,13687,71,0,7725,0,2,2174,34846,4121,0,1,0,3,2,0,0,0,0,61,0,0,0,1,1641,23685,2,0,0,0,0,2,0,0,0,0,0,0,10,161,77,0,0,0,1,590,39,222,100,0,245,1546,592,1,35,386,1,6,0,3,0,72,1,0,65,5,0,0,4,1117,218,251,114,1,6,2499,0,0
"천안",837,93,341,15812,1478,1579,9743,896,29017,6177,147,1,319,3890,1109,51579,43985,639,87,343651,36722,1006,12885,840,306671,1518,31163,8921,7284,310,3102,1094,7913,37,68,8406,78,2972,5,13,51,344969,8150,184,32,39742,1958,16916,4133,90698,1443,1286,0,36464,10849,1569,324788,14,1,4061,919,2606,762,1616,22950,28125,33490,120399,7916,251343,958,1773,12026,18408,1338,4742,2226,1370,2024,66622,34414,17893,212722,113,345,65980,3257395,5955,4257,6925,8,47,283,5,113,502,11,109,556222,41,1686,25,927,182387,48207,415832,14847,5950,10963,6265,11165,88,16665,37,647290,16,834,0,37964,11391,52357,26504,5859,92075,222,218,10356,22586,713,2408,5281,1275,276,906,30746,9937,40,1263,185,1251,1659,1760,1650,649,5879,76,22,1,5596,74190,487416,14406,3631,211,4992,4536,635,13,3192,4011,31700,928,2025,2094,383,10663,3,84,5183,1390
"남청주",1661,106,166,6277,1133,1661,8121,5495,25340,21923,142,1,306,23891,1132,47565,31523,606,48,49570,3956,3189,25101,1600,14943,2553,36547,6433,20432,98,3506,1330,3224,53,53,41262,66,3031,2,17,6,539170,2610,240,53,6032,2487,14981,108783,9462,2005,394,0,1204,1562,524,42417,2,1,2430,1375,6843,152,2336,3013,29636,24319,162166,12747,25617,648,382,11153,16914,989,7694,917,1617,3436,56406,100120,39744,36428,147,67,15070,140695,4594,7759,5708,1,86501,100,7,74,237,15,10,29335,74,2092,24,252,91148,4646,44599,41446,6853,2422,3418,25585,77,10792,5,52223,44817,840,2,200167,7917,6132,20219,3177,219284,26487,73,14401,51993,24894,3964,6027,1541,609,359,45324,18175,86567,1222,189,1453,1515,515,2096,569,5400,45485,19,1,73890,245,33551,30996,5505,146,2849,3691,529,10,6599,5087,110975,1327,1612,1790,305,2271,4,63,15871,407
"청주",366,33,286,1175,585,1110,5178,58,16868,2981,73,0,121,198,612,31104,20113,321,41,188905,25470,781,6880,578,73167,919,18932,3730,4270,125,1366,494,474,17,34,9433,55,1471,2,4,73,145088,283,287,26,9827,856,8716,510,28580,857,49,0,6204,6532,37,160477,4,0,195,474,1332,561,875,9594,15271,17397,48235,3745,91010,346,1947,5419,9771,670,3072,100,629,1632,33593,16968,6849,113450,61,64,41183,807776,2394,3149,3639,1,60,231,1,28,16,7,79,170841,32,955,16,32,71393,27756,223657,6926,2279,695,325,8807,34,11419,3,256467,22,473,2,33658,5878,3691,13751,277,41071,26,59,482,16843,72,1457,2071,694,111,31,20234,6272,14,520,102,615,434,71,788,193,3539,8,17,1,489482,38972,346,8660,1986,47,283,1995,324,4,2234,1518,17917,412,978,983,155,654,2,44,4111,62
"추부",403,5,103,950,406,44,373,1173,946,8689,119,1,177,3147,661,3593,1993,216,14,10452,1180,233,29380,208,2499,339,1780,357,250520,13,38,842,539,47,21,7508,4,1311,4,49,1,258783,338,126,235,486,467,837,24636,1356,414,94,0,212,444,31,9176,0,0,393,364,16,22,119,361,383,2431,29452,2676,3970,191,83,4862,3196,496,484,172,686,556,2092,106558,3465,7231,69,7,3090,38127,124,759,2768,0,14823,16,1,141,33,13,0,6034,133,793,10,92,53978,1520,8835,148790,80,538,959,1488,62,915,1,11148,5059,349,3,2566,561,728,849,359,123529,4542,10,1343,3580,5078,239,7095,182,73,73,3009,1919,11778,671,66,457,242,94,447,1062,2521,5584,12,3,15453,32038,7920,1989,427,94,410,221,151,14,652,53,108377,793,489,1125,134,396,3,484,738,93
"추풍령",0,16,1,85,1,193,1916,604,2667,384,2,0,1,1208,6,531,25471,0,19,4483,346,144,255,35,1222,53,26958,3389,682,29,446,9,78,0,0,1365,18,12,0,0,0,24213,109,0,3,724,1,4137,9554,450,1,2,0,54,121,0,2462,0,0,51,1,306,13,19,131,3236,12985,3985,1,2392,0,38,12,2,4,138,19,0,1,20697,3213,1,2669,4,24,1666,16489,747,193,14,0,2888,9,1,0,1,0,7,2736,1,15,0,6,4854,425,3223,2238,612,228,166,11825,0,2065,2,3761,487,5,0,8549,5641,422,2114,208,5775,581,141,377,1152,1092,43,55,0,0,6,844,457,759,0,0,1,1,8,0,6,14,854,1,0,3286,5257,1702,377,58425,0,39,1997,0,0,135,563,5779,5,0,5,0,40,0,1,7870,7
"축동",256,0,44,7,858,0,0,29,0,43,26,66,14995,58,2879,0,1,1263,0,240,27,1,326,0,107,0,0,0,420,0,0,485,12,30,182,66,0,2607,0,30,0,439,4,1257,2240,15,726,0,670,34,1360,2,0,4,3,0,130,0,0,4,5809,0,0,0,13,0,0,132,4577,62,606,7,15347,8353,1436,1,1,899,739,0,265,4047,152,183,0,54,1249,0,0,16215,0,141,0,74,9,2,174,0,234,12,1731,109,0,141,38,360,307,0,10,13,2,164,0,0,173,22,1532,90,40,0,14,0,6,558,22,0,28,18,55,0,597,404,571,0,4,0,74,218,719,12904,307,0,5706,1206,60533,36,264,71,599,212,77,122,0,39,5,0,324,0,0,0,260,10087,2122,922,58,1,97,1681,0,0
"춘천",0,8720,3,76269,18,395,2152,402,6013,738,0,0,7,1364,69,6219,71,2,3655,9078,1792,16,271,74,1837,138,236,28,208,4962,810,104,305374,4,0,1885,3097,60,0,1,587,7640,1926,3,0,503,0,6501,2928,11379,0,3454,0,1942,600,2619,315,316,39,42745,14,540,477,168,853,8190,14308,6669,2,6842,0,605,136,8,29,490,5178,28,1,43858,1848,2,2652,14,18378,2590,4219,1064,553,201,113,11425,379,0,0,1136,3,548,9221,9,91,2,28198,4422,3159,1794,449,910,6828,18011,248,0,2300,7390,3692,4906,48,1,809,148,7161,5647,52790,5191,2253,3144,11426,2870,10517,547,254,0,1,5128,3212,1355,2403,31,2,9,0,6162,8,8,90,3169,0,0,4053,2201,73,358,32,1,1745,8529,0,0,339,595,762,37,0,60,1,19383,0,0,96,4722
"칠곡",0,252540,0,3686,1,8566,176979,753,82588,490,0,0,0,2079,1,27,90185,0,108773,7130,685,51,239,55,1467,63,25841,61259,534,134081,3459,3,6582,0,0,2031,88962,0,0,1,3,14795,496,1,0,521,1,291615,18378,1298,0,632,0,374,267,392,3331,2,1,2055,0,1708,25,1,291,31253,123283,3378,0,3127,0,103,0,2,0,218,991,0,0,2383553,2843,0,4101,0,62836,2107,26757,8698,234,1,0,2927,8,0,0,450,0,3,5984,0,0,0,1328,2161,981,4058,1295,4805,659,1286,2857,1,96433,11045,4396,539,0,0,2798,35488,1085,34436,771,6426,960,151098,1594,2012,909,5,16,0,0,403,1176,221,736,1,0,0,0,674,0,0,1,1029,0,0,5430,4180,2099,370,2927,0,7283,2016,0,0,171,3513,2641,0,1,2,1,2876,0,2,4370,673
"칠서",10014,0,472,6,2172,0,0,40,0,54,424,226,1303,143,4308,0,0,19333,0,1801,89,0,407,1,106,1,0,0,258,0,0,1543,1,63,20453,145,0,1154,13,121,3,852,12,579,5030,85,29367,0,1779,123,45538,0,0,22,63,0,429,0,0,0,13479,0,9,0,53,0,0,155,120955,507,85753,18,9024,2,758,2,1,1042,24781,3,353,103923,931,355,0,973,2566,0,3,3670,0,321,0,57,895,0,799,4,491,54,3340,141,0,591,121,601,265,0,18,13,2,67768,1,0,739,377,794,190,22,0,87,0,1,1021,90,0,120,32,128,0,1222,21901,10143,0,6,1,99,236,1898,3055,23518,0,6792,657,18094,177,59879,95,789,443,206,235,0,390,5,0,134,451839,0,0,220,3225,15603,941,1084,1,37912,179159,0,0
"칠원",0,0,3981,0,14538,0,0,2,0,2,2999,0,0,4,2,0,0,2,0,18,0,0,21,0,2,0,0,0,12,0,0,300,0,15,414808,7,0,3,84,15,0,19,0,1,199,1,0,0,8,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,8,14,4,0,0,7,0,1,19,0,3,0,0,5,40,0,0,2,0,3,0,0,6821,0,1,0,7,26,6,1,0,2,3,3,2,0,0,0,0,373216,0,0,6,0,1,0,0,2,0,0,0,14,1,0,1,6,3,0,53,0,0,0,2,0,0,59,0,1,0,0,0,0,5,1,322425,4,4,6,4,6,0,0,10,0,421903,110,0,0,5,1,8,66,10239,0,181089,1526132,0,0
"태인",0,4,1,569,0,21,178,950,444,2593,1,0,0,2269,0,243896,1482,2,3,1822,240,22,505,6763,2080,23723,1372,168,2128,22,3,2,411,0,1,32460,1,8,0,0,0,6432,181,0,0,140,0,395,23073,560,2,34,0,192,57,23,1193,0,0,217,1,0,8,13271,167,64,803,5190,18,1701,1,10,11,17,1,30943,84,0,1,787,14380,15,1153,0,10,352,29277,40,41752,12,0,4960,0,0,5,25,0,2,3823,0,1,0,51,3520,399,2525,4376,5,243,479,685,2,480,1,3387,756,0,0,2083,297,479,380,310,23348,2138,8,1064,20519,1954,11649,10,0,0,68,68588,34538,3943,0,0,0,1,59,2,0,9,1556,0,0,2693,5617,1500,534,153,0,356,129,0,0,33,5,2961,0,1,1,2,308,0,8,179,55
"통도사",0,2747,56,703,115,10715,22419,526,199209,140,1,0,0,3848,0,37,4389,0,493,10813,880,27,150,5,2400,3,2697,8918,225,1600,224405,123,1183,36,0,685,431,51,0,41,1,7039,751,0,0,1488,0,32954,17348,936,0,68,0,134,493,49,4596,243,114,548,0,127425,212,0,560,1028318,25315,1474,1,5268,0,243,0,0,32,21,117,27,0,18845,1122,0,8481,0,1271,4621,30076,70084,76,141,73,2604,262,0,0,28,0,138,5752,33,0,0,215,3631,1150,6246,500,189284,439,639,1419,0,26973,316,11065,421,0,0,1251,7489,1323,559937,105,2255,2516,686,908,1179,2017,3,56,0,28,59,163,11,631,69,0,0,0,102,0,0,0,1354,0,0,6553,8443,1751,182,719,0,789,3052,0,0,8,41338,1260,0,0,219,43,360,1,0,993,176
"판암",238,25,186,1788,948,415,3622,1410,6633,44694,171,2,191,3386,996,14276,16137,322,27,10597,1247,13631,85571,736,2777,1161,22303,2248,28284,139,519,1598,1156,79,48,43227,47,1789,1,37,7,90897,496,97,174,888,626,6175,26255,1696,510,107,0,570,355,57,18030,0,0,452,639,539,17,826,498,4927,12851,96495,3518,4479,330,130,10118,6398,919,3603,270,680,749,19286,300289,7158,6609,153,97,2153,41119,923,3397,3917,0,37216,33,4,58,58,23,7,8611,107,1819,31,106,154829,1982,10310,132603,788,608,1031,44370,68,5012,5,9952,8001,820,3,67800,4071,994,5588,835,173556,4898,90,1946,22064,4606,1221,7861,346,593,97,17966,7445,23807,1491,105,1083,343,238,595,355,4424,9801,19,3,30094,102400,16924,118488,6056,158,763,1968,119,15,3104,797,1598,835,632,1503,292,1216,2,149,18761,142
"하동",6169,0,199,102,2975,0,0,155,0,95,265,1373,30637,902,99765,1,1,11133,0,2134,126,6,587,0,309,0,6,0,1234,0,0,101,68,21,1724,61,0,7104,4,739,0,2903,21,9915,34938,47,12518,1,4374,155,10322,9,0,33,52,1,681,0,0,95,12349,0,1,0,66,0,1,457,113152,1574,5317,11,169123,82302,2312,0,10,2376,14177,4,997,81821,1059,6224,0,998,6233,0,3,67188,0,531,0,814,134,7,5138,1,1319,23,57745,2317,2,1189,179,1003,860,0,227,163,11,2469,0,0,1280,235,48185,2127,140,0,1072,1,66,1846,190,0,190,13,598,0,660,5147,2969,7,1,1,604,107,3738,58200,5005,6,20669,34584,204921,253,2167,1379,994,1662,366,437,5,11268,49,0,3203,3,0,0,781,247,17268,1595,380,43,1613,34266,5,5
"함안",9846,0,231,7,3101,0,0,154,1,226,106,437,10490,342,13149,4,0,207916,0,2655,203,2,1168,0,377,2,0,0,1117,0,1,4618,5,209,11047,492,0,7069,2,290,4,2770,32,537,12869,569,37729,0,4922,213,74381,0,0,62,66,0,907,0,0,3,90952,0,3,0,98,0,1,523,156335,965,67799,21,48291,1153309,3593,8,1,4205,32688,7,1278,132794,1365,1053,0,630,7546,0,3,24203,0,918,9,174,435,2,1455,2,1283,217,9966,492,1,665,265,1390,675,0,79,52,10,17237,0,0,1470,115,3237,568,120,0,148,0,3,2198,220,0,142,126,335,0,3862,21537,68232,2,38,1,278,799,15358,19084,19239,1,39315,2365,118399,373,14256,221,1576,1037,576,545,1,2475,5,0,15265,3,2,0,598,15544,234,4997,331,5,6662,60614,1,0
