"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","북대구","동대구","경산","영천","건천","경주","서울산","통도사","울산","양산","부산","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","남대전","추부","금산","무주","덕유산","장수","서상","지곡","생초","산청","단성","서진주","군자","서안산","안산","군포","동군포","부곡","북수원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","장평","속사","진부","횡계","북대전","유성","계룡","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","내장산","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","담양","순창","남원","남장수","지리산","함양","거창","가조","해인사","고령","성산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","진성","지수","군북","장지","함안","산인","마산","동창원","진례","서김해","동김해","북부산","장유","가락","서부산","북창원","서서울","매송","비봉","발안","서평택","송악","당진","서산","해미","홍성","광천","대천","춘장대","서천","군산","동군산","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","춘천","홍천","횡성","북원주","남원주","신림","제천","남제천","북단양","단양","풍기","영주","예천","서안동","남안동","의성","군위","가산","다부","칠곡","남양산","물금","강릉","현남","서대전","안영","판암","서대구","화원옥포","달성","상주","선산","현풍","창녕","영산","남지","칠서","칠원","감곡","북충주","충주","청북","송탄","서안성"
"문산",6896,1182,368,1321,802,1116,586,434,1588,558,2039,129,1,11,8,0,4,3,0,0,0,0,0,0,0,2,0,1,1,0,0,4583,156,434,386,288,170,216,682,801,365,1037,460,848,1645,751,4097,690,2132,4470,4723,14401,30716,1595,245,199,119,96,59,673,291,62,118,58,35,140,110,41,84,38,2,1,4,4,5,2,579,2181,1050,320,73,3,32,4,0,0,0,0,0,0,0,1,6888,267,381,238,98,648,331,127,147,2061,97,474,4216,4411,385,174,85,67,794,6427,8165,312,3072,2739,13558,17867,15148,5277,67557,28185,86,42932,41739,64596,17563,91457,324702,0,32528,11911,23661,21711,127244,15756,6414,109471,31760,1466,166,79,45,91,11,9,15,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,45,14,0,66,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,20,1523,958,514,2,49994,0,2,0,5696,9195,9771,9752,13887,1,3,0,1,171,192,31
"진성",9129,1494,344,1133,845,1377,675,427,1111,927,1995,120,1,12,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4577,179,437,398,113,228,352,427,563,233,862,412,864,1003,727,4139,920,2289,5083,4940,12709,33720,2484,416,221,150,65,69,794,240,71,147,81,24,170,73,14,4,2,1,0,1,2,5,0,626,2309,167,402,78,4,70,3,0,1,3,1,0,0,0,0,7784,159,425,376,160,1010,437,207,247,3081,89,640,5181,4229,663,106,52,92,1057,8728,12513,639,3605,4301,16995,19388,11250,3796,33927,44955,21116,19260,223,36397,15887,65557,224889,0,26065,8989,17732,14411,85087,11387,4427,80350,20362,1742,258,84,80,87,31,13,17,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16,6,0,0,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,944,685,442,3,25890,0,2,0,2237,4310,5507,6278,7832,1,1,0,0,317,108,31
"지수",958,170,50,194,190,144,59,66,163,76,289,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,20,46,52,7,34,39,64,88,19,82,49,110,127,70,470,78,401,643,685,1424,8499,242,33,29,27,4,5,91,21,2,17,6,4,27,6,3,2,0,1,0,0,0,0,0,63,152,14,30,6,0,1,0,0,0,0,0,0,0,0,0,893,21,77,76,30,231,52,12,58,341,10,71,390,544,28,26,20,62,150,1557,1836,59,342,307,2099,2526,2306,558,14078,42204,43923,71,13250,13639,2786,14161,42932,0,5482,1970,3718,4034,19720,2289,1086,15206,4816,183,40,28,4,17,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,159,81,68,0,9365,0,0,1,780,1080,1262,1361,2320,0,0,0,0,21,14,1
"군북",3698,607,224,635,471,871,515,268,525,266,1054,59,2,6,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,3,2203,54,228,179,48,106,135,149,318,53,376,151,405,368,292,2052,203,553,1041,967,1805,14808,1371,288,130,75,89,38,369,137,22,93,27,65,105,16,10,0,2,0,0,0,0,0,0,214,875,93,169,39,3,13,0,1,0,0,1,0,0,0,1,6762,126,346,274,96,719,218,122,181,1285,123,305,1389,908,90,24,22,136,553,6255,7217,1087,1707,2516,9475,8071,5611,1266,38959,62193,58695,9978,32753,83,14897,189512,702532,0,45789,15445,37613,35026,212647,22530,11982,194419,55709,1196,310,53,56,107,30,9,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,462,324,220,1,15221,1,3,0,1619,2728,5462,6121,20172,5,0,0,1,144,79,6
"장지",1418,214,75,227,148,511,246,133,522,95,801,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,17,52,57,13,40,28,50,144,25,312,85,73,57,64,1487,58,200,294,306,449,3023,601,123,36,30,15,10,198,37,3,57,5,4,54,8,1,0,0,0,0,0,0,0,0,88,487,50,55,25,0,6,3,0,0,1,1,0,0,0,0,2915,62,56,81,20,286,84,20,25,804,9,38,711,400,41,42,17,40,548,2090,4539,123,574,1584,2597,3421,2807,635,7991,15150,17521,3333,13302,7404,119,50924,264196,0,15171,7332,8538,7524,36783,6616,3446,35662,26692,456,78,31,27,46,22,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,137,226,67,0,14568,0,0,0,1181,1922,2788,2948,9024,1,0,0,1,37,66,7
"함안",8474,1647,438,1395,1292,1970,1015,598,1274,880,2898,142,1,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5415,175,383,394,127,293,526,363,1171,267,1069,651,1099,1012,947,6069,857,2257,4591,3745,8063,24097,2923,642,293,181,640,97,1038,341,95,201,95,51,225,55,6,3,1,2,1,6,0,0,1,589,2601,268,545,118,11,30,1,2,3,1,1,0,0,0,2,14087,295,636,464,218,1495,637,278,324,3720,153,914,4833,3502,272,296,89,320,1396,11730,13772,724,3238,2859,18403,18708,10430,3167,58908,102529,99647,18200,71055,197388,54524,152,1130088,0,80879,21531,41932,33932,168625,32396,11382,141737,110506,2348,449,139,208,125,32,34,34,11,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1628,905,629,2,67184,7,1,0,7549,14244,17306,14262,17164,5,3,0,0,222,136,48
"산인",109385,15704,5152,16595,13228,20356,9860,8945,13501,7922,37732,903,14,44,7,1,7,4,0,1,4,0,1,0,0,2,0,0,1,0,0,46068,1773,4358,3416,1801,2069,3994,2817,8193,1442,9052,3993,8938,8231,9265,45836,4721,12440,25691,22065,43215,115449,30427,5765,2470,1444,1976,1049,8428,2968,976,2087,712,616,1673,355,34,30,12,2,3,2,1,3,12,7684,27507,6256,4068,1187,67,370,35,11,7,11,10,1,1,0,7,123951,2621,5435,2944,1809,10106,4680,2453,1640,25604,1109,5806,30009,18322,533,231,33,44,11075,100590,73279,4174,18720,17986,95618,116911,44947,10999,315571,532138,356919,56677,227759,717901,274318,1093795,40,0,1,3,3,1,4,1,0,5,2,22187,4928,1446,3333,1250,300,455,266,86,32,1,7,2,1,1,3,0,1,0,0,0,0,0,1,0,30,9,3,2,32,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,58,35,15292,7813,6221,16,340,2,0,1,2,2,6,2,4,24,11,0,4,2781,3389,328
"마산",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,900117,362578,536118,449933,2030943,382244,89910,1885188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"동창원",7722,1539,505,1395,1188,2284,1402,725,2246,904,2359,64,0,2,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5535,180,970,400,95,438,440,251,1024,187,927,551,846,751,620,7015,652,1087,2291,2484,4618,11233,3618,867,258,152,265,102,1118,316,67,254,88,50,360,69,3,1,0,0,1,0,0,0,1,753,2898,258,865,179,5,46,10,4,1,1,1,0,0,0,0,17631,524,1019,478,231,1957,439,329,235,3619,149,566,3087,2101,231,692,181,344,1357,12195,14617,557,3273,3898,12483,11412,6638,2423,36436,45642,36475,6906,26731,45845,15854,77168,3,864921,818,80508,177300,223839,934511,307794,85004,925118,40112,2797,506,136,173,243,47,42,36,6,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1592,1021,616,4,74269,1,0,0,10665,11056,5828,19073,63197,1,2,0,0,416,339,52
"진례",3101,698,469,888,904,1588,752,511,1420,572,1174,65,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2502,64,511,223,79,223,295,215,551,133,434,262,256,198,191,2606,144,430,716,559,1087,3255,1651,586,121,51,134,72,395,126,24,159,51,32,199,31,2,1,0,0,0,0,0,0,0,258,1140,99,571,67,4,25,1,1,1,1,0,0,0,0,0,6191,159,443,135,111,533,151,84,119,1118,27,160,819,723,117,174,111,213,467,5309,6776,223,998,1335,3896,2945,1816,333,9838,12943,12424,2210,7251,13244,6693,17756,0,356846,81050,4392,134672,294119,1042422,298173,154815,1053919,34782,1540,298,147,76,171,37,31,21,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,672,361,365,3,58668,7,0,0,9531,6459,3125,6426,25008,1,1,0,0,234,183,59
"서김해",11707,1721,570,1360,1449,2417,1808,749,1700,784,2502,120,6,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4832,206,751,493,128,461,457,378,910,266,1020,533,1026,1125,1234,5728,622,1602,3207,2601,4611,8853,2942,726,331,174,697,126,891,302,134,309,69,110,273,67,4,4,0,1,0,0,0,0,1,608,3155,312,598,179,6,27,8,6,2,0,1,3,0,1,0,13707,209,667,345,286,1595,621,306,284,2924,166,671,3351,3461,372,673,252,474,1470,13196,10052,553,2461,2615,11596,12409,4331,1166,28540,38565,24368,3863,15316,29700,8128,33516,3,506287,181548,140487,580,170119,2851146,62082,11132,76082,43674,2248,426,158,193,187,40,48,30,11,5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1860,953,669,3,92815,4,0,0,10760,14699,7546,12442,32829,2,1,0,0,276,229,47
"동김해",9442,2023,708,1674,1662,2644,1297,796,2523,1215,2909,131,7,6,1,0,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,5384,266,851,581,197,482,610,421,1371,203,1164,594,963,1150,1294,7576,745,1586,3029,2729,4593,8646,3492,924,300,168,479,192,1317,310,82,277,92,133,427,68,3,4,1,2,1,1,0,1,0,695,3221,4116,627,305,18,76,9,4,1,1,0,1,0,0,1,17748,327,886,627,383,2325,610,349,278,4759,186,791,3204,3261,530,680,272,710,1699,14606,15490,762,3320,4284,12902,14468,4945,1104,32294,39910,25834,4986,14726,31965,7549,34339,0,475337,237935,346046,204405,3442,5668002,503034,3519,9467,40125,2900,527,457,334,203,40,66,28,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2019,1059,768,3,116373,5,0,0,15971,17781,8905,12119,30991,0,2,0,2,344,240,86
"북부산",48756,8377,3281,6470,5297,10845,5686,3872,10083,5213,14309,521,6,15,4,1,3,1,0,1,0,2,0,0,0,6,1,0,3,2,9,24934,872,3377,2374,588,1847,2044,1383,5142,833,5212,3455,7189,9187,13116,60100,4717,10586,21638,17515,33098,57662,12549,3063,1174,661,1609,759,4128,1449,904,1325,654,652,1069,237,19,6,1,1,3,1,2,2,3,4198,16101,2737,3858,1207,93,452,62,25,10,15,13,1,1,0,4,207763,3677,9106,8513,3458,18721,6628,6870,2665,39857,2046,7148,23867,19124,3794,4316,1438,2706,17153,180781,187520,11661,43211,40613,108986,98982,32959,6761,206395,269854,146760,25946,82393,204638,37160,168511,11,2131209,1014476,1200299,3029029,5597417,2644,2075508,7401,8424,139243,9618,1845,703,889,792,156,121,216,48,27,2,3,0,0,0,0,1,2,0,0,0,0,1,0,0,13,2,0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,10,14,9639,4433,3697,9,279526,26,1,0,82298,91715,51223,64232,144517,5,11,0,5,1047,756,197
"장유",6189,1441,497,1111,914,1940,817,516,1456,573,2007,77,1,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3424,157,534,401,112,306,374,262,650,158,586,386,485,603,786,4103,327,689,1416,1270,2272,6646,2236,505,279,125,122,140,675,265,153,226,80,119,217,40,7,1,0,0,0,0,0,3,1,577,2075,241,310,121,8,36,10,3,0,2,1,1,0,0,0,10924,190,551,357,208,1031,279,172,164,1980,97,366,1643,1620,231,530,124,342,798,7886,7586,356,1801,1780,6097,6430,2503,578,17458,25483,16929,2477,10434,18940,6768,25250,2,386448,313338,282433,59739,321079,1716955,67675,314830,4990373,50668,1912,302,197,165,170,31,31,37,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1423,573,556,2,74756,13,0,0,9792,10267,8294,10866,29496,1,1,0,1,188,163,44
"가락",6040,1365,870,1234,890,1803,915,662,2778,988,1875,51,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,5099,105,901,566,74,357,313,422,993,176,497,291,1072,458,383,3899,130,425,695,659,1295,2345,3283,980,182,78,239,89,863,206,33,221,81,66,231,52,6,0,1,0,0,0,0,0,0,436,1485,132,212,65,6,12,4,1,1,0,2,0,0,0,1,7273,146,318,150,169,658,152,138,149,2122,50,213,716,891,122,162,85,231,590,6831,7030,452,1505,2755,4522,3808,1293,414,9489,10209,6788,1227,4205,10697,3363,9674,1,81201,79648,155179,9467,1838,6453,268690,708,1865547,9998,2855,629,175,174,201,40,12,22,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,792,518,356,3,56117,5,0,0,9008,5382,2931,4554,10926,0,1,0,0,300,354,33
"서부산",76551,18884,15811,11394,9742,21185,12846,6908,21996,14859,25777,864,9,27,6,1,4,2,0,0,2,1,0,1,0,2,3,2,4,0,10,47691,1467,11470,5606,1721,4918,3763,3092,11679,1944,9128,4199,8816,9551,14466,63268,4232,9925,17347,12589,25864,45146,31291,7286,1805,1128,3455,2255,8164,2096,1013,2686,1185,2163,3201,759,36,24,4,1,2,3,0,2,4,6033,22541,3768,4426,1325,86,517,69,32,8,19,16,1,0,0,4,151950,3112,6545,4430,2538,12067,4669,2973,2232,43138,1621,5953,18830,19061,3632,4347,1464,3059,12159,132115,148367,15028,31722,23787,86907,111483,31171,5616,205831,214000,123788,19385,73304,180122,34702,137391,10,1999357,977541,1103562,83274,13451,7550,4972263,2082154,278,116604,22833,4841,1659,2221,1885,391,225,315,62,23,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,4,20,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,3,14,18,13290,6903,6447,9,567952,23,1,0,97013,81561,55564,66727,117907,5,16,0,1,2967,2298,386
"북창원",9546,2304,943,1716,1599,3265,1428,750,1466,796,3001,122,3,4,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5473,244,418,426,125,592,668,427,1128,213,996,555,1133,1151,1215,5303,682,1865,2940,3085,5903,15012,2532,749,309,191,128,189,824,344,175,202,73,87,188,59,8,3,0,0,0,0,1,3,0,1384,3933,282,497,181,1,52,8,1,0,1,3,1,0,0,1,11448,181,728,224,165,874,487,250,205,2172,118,711,4169,6346,1077,1747,403,902,1007,9169,5676,497,1842,2158,10510,10039,4320,1321,34894,52961,42244,6396,24740,68901,37516,122956,2,0,37985,34339,39474,33416,123708,44853,10866,99466,219,1935,471,261,381,141,39,89,96,29,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1514,847,735,5,228650,8,0,1,35221,62324,63830,103632,195845,2,1,2,1,236,357,47
"서서울",14644,538923,260798,262801,289768,332349,92105,192475,60253,72606,102138,23620,680,9494,5145,3559,30844,37024,10111,9530,29315,15087,9327,15207,1956,23547,4760,3938,20982,5519,27933,1213,410,5084,64199,14201,76490,27908,40208,12996,15920,3593,12043,10533,13471,2190,6144,2952,3040,4175,1693,3634,7034,582912,3193729,3136964,974452,14,356093,487645,1360498,114370,378203,304326,78988,144189,84636,42724,42275,19822,13851,14811,9912,3918,14621,12752,73986,56902,6964,3577,23568,4163,34295,3829,1217,957,3134,8470,633,2150,2559,53969,31,0,4,6,2,13,28,14,10185,1717,79,2519,3490,2269,594,535,319,110,172,2203,1129,207,1244,1187,1229,1811,468,176,16841,6729,1478,266,1646,1013,469,2266,22420,0,1994,1426,2149,2315,8189,1833,1306,19356,1278,3530,905539,1607000,1605498,1103463,747468,604842,747803,268830,545828,170902,371749,57976,144826,202461,427766,70553,153571,68760,48677,98970,85713,67253,77071,307930,3849,6056,5552,3137,53911,16279,57965,5637,11874,4784,21830,7729,3745,20710,3687,1722,1103,502,291,4696,3086,3725,91539,61881,20654,6885,11057,64222,96,14,801,2348,6,26,83,109,656,15,22640,9846,58987,287880,251213,80796
"매송",15164,33617,11765,7075,69137,63052,23283,42691,13683,17174,20750,6367,88,1592,1042,916,8681,8251,2693,2488,5061,2669,2179,3400,477,8045,1048,1125,7261,1917,6883,361,97,1085,3478,2057,4428,1455,2161,462,568,1252,2350,1839,1927,438,997,496,488,1954,225,715,1162,308136,25128,14117,10231,4,7985,8920,83414,9373,27825,18387,5777,10711,5452,2547,2206,1204,704,692,617,287,782,636,11287,9816,657,643,5809,975,8143,927,296,223,752,2077,136,500,590,12766,7,0,0,1,0,2,3,0,1937,163,10,308,543,306,79,64,55,19,28,326,215,76,240,281,274,313,79,37,3211,1743,211,94,317,273,205,560,5601,0,707,577,571,675,2266,481,535,8685,324,905446,181,43641,360783,215217,120781,79669,74495,27229,49263,20206,34529,5513,17994,24639,74682,10805,23636,9993,5145,13185,9939,6711,7406,29777,932,1392,569,198,3331,1040,4119,338,754,255,1385,401,243,1128,220,119,54,32,27,742,848,1373,5508,3854,3597,1529,1980,16654,10,5,125,460,0,4,13,28,197,0,1750,494,3334,60251,64776,25307
"비봉",28200,26941,3939,1825,15273,15732,5003,10086,2774,4183,5163,1213,27,397,269,216,1273,1499,332,618,1445,833,476,904,169,2201,267,165,2266,248,1294,678,131,1122,1943,2003,1759,786,886,118,163,210,459,398,454,74,222,79,106,156,80,192,402,722005,110457,33967,18712,2,12036,17515,87708,5991,24600,11418,4032,7536,4310,2095,1346,507,396,198,265,199,439,247,3467,2394,186,138,959,157,1351,149,45,33,123,355,23,84,93,2116,1,0,0,0,0,0,0,0,1043,56,1,88,124,91,23,22,8,15,2,94,67,12,88,56,73,75,36,11,847,405,63,27,95,61,25,148,1448,0,132,116,174,297,574,132,249,1272,146,1693880,47834,86,133749,45808,112700,85720,99910,33333,61140,19085,45209,7388,14557,19689,33128,6350,13420,5885,4013,8224,6913,5095,6007,27390,762,780,402,152,2139,452,2438,168,271,104,540,187,83,472,99,33,32,11,5,233,159,109,2845,1861,990,431,637,3698,6,0,39,144,3,0,8,9,56,0,689,375,1713,10455,17855,10541
"발안",14818,9830,1761,1635,24894,17742,8234,14159,4013,4977,5946,1532,36,631,402,270,2342,2529,773,921,1656,976,666,1121,192,2326,376,263,2277,453,1647,368,110,700,436,887,564,183,171,27,39,253,740,555,561,106,344,158,182,342,110,230,406,430396,103954,38162,20009,1,7934,9525,32001,3083,11732,4716,1976,3796,2477,986,893,375,182,113,187,76,276,139,3679,2640,261,167,1339,223,1893,226,71,50,172,485,34,120,138,2946,1,0,0,0,0,1,1,0,956,67,2,142,165,132,30,26,23,18,14,99,52,16,70,53,73,108,38,27,1010,427,86,15,116,59,32,150,1469,0,199,130,276,173,738,183,106,1775,114,980746,172239,77615,217646,310,166101,118906,100350,33357,59761,23840,40655,6824,17818,18928,37204,6471,12759,5690,3957,7869,6015,4824,5723,22745,544,590,240,79,1265,298,1321,79,104,59,413,121,40,318,64,20,18,10,2,317,208,194,2530,1081,1212,435,808,4487,5,1,48,142,0,3,6,15,63,2,227,116,485,9957,23741,21221
"서평택",62320,33680,19591,24891,28876,8788,7075,11361,3496,8469,5764,2367,48,437,190,219,1851,2085,934,919,2971,939,1760,1224,411,4403,317,875,2672,1328,1390,579,138,815,153,685,134,28,43,6,8,263,571,885,447,62,211,99,88,1032,67,168,356,791242,165138,74897,69939,34,23280,21228,41251,2501,8974,3657,2912,3334,1464,1384,1029,220,157,117,144,54,201,113,3945,2808,335,92,487,81,674,77,24,19,58,168,11,46,51,1086,2,0,0,0,1,0,2,0,1307,39,1,43,203,122,12,15,9,3,2,55,58,15,87,192,57,58,38,6,859,925,54,20,98,70,35,222,4157,0,134,111,222,190,1232,147,113,2008,241,1713285,334472,180391,1362,223611,239026,130959,96745,32554,42511,13055,43422,5132,14516,19147,49417,4796,14499,4971,2715,6448,4457,3536,3731,16815,669,728,145,48,1212,157,593,32,100,39,567,84,13,144,51,16,3,2,8,312,237,204,2389,1094,1272,531,869,5589,7,0,47,115,1,2,7,5,87,2,55,31,170,65372,55933,37271
"송악",45103,16174,9355,15244,9535,3095,2232,4333,944,2059,2523,542,9,182,109,1263,576,734,184,854,804,424,268,1021,63,1068,148,105,902,231,507,471,97,493,122,601,67,16,19,7,4,85,263,239,173,25,42,74,141,66,26,91,199,314779,44627,25697,27584,6,11079,12715,27726,2370,7697,1879,1096,1985,1695,756,1610,703,226,148,167,81,249,156,1927,1194,86,30,60,10,88,8,2,2,6,20,2,5,6,129,0,0,0,0,0,0,0,0,572,8,0,23,51,40,5,6,20,5,0,12,13,8,23,133,49,28,5,4,365,256,35,6,84,29,14,103,639,0,77,42,55,57,290,82,62,1152,62,770318,109057,122649,243550,156453,2971,27139,57340,20848,21942,6725,22898,4014,6059,7792,19485,1816,6551,1790,1193,1987,1478,1134,1470,6918,644,752,182,71,1101,178,1036,45,133,35,261,77,10,116,15,2,6,2,1,154,94,45,1796,1085,408,194,368,1842,1,0,47,117,1,2,2,1,27,0,67,46,202,46493,32309,19950
"당진",37426,12095,6271,9341,5400,1493,884,2125,546,1118,2191,305,6,128,45,45,306,357,92,140,413,208,153,396,20,392,80,28,500,119,256,335,75,632,96,375,60,17,16,4,3,109,130,99,100,26,23,18,12,18,20,53,74,226190,29956,17758,21350,3,6923,8372,20646,2092,5849,1626,890,1572,1132,615,1026,282,174,178,254,97,285,210,993,757,38,3,14,2,21,1,1,0,1,4,0,0,1,29,1,0,0,0,0,0,0,0,571,2,0,8,20,35,4,6,6,10,0,3,0,3,11,11,2,7,4,5,157,81,12,2,20,9,5,39,257,0,30,13,39,38,132,39,17,337,47,579172,69031,85816,132614,108612,31174,1618,136323,57189,44273,17791,34932,5151,11068,11526,29839,3156,6939,2962,1601,3297,2213,1606,1852,7723,674,642,172,70,1096,200,1042,40,132,29,214,135,21,129,18,2,2,2,3,61,48,18,1896,1148,234,127,239,910,2,0,24,25,0,1,1,1,8,0,68,32,190,34624,14241,12215
"서산",53992,16516,6564,9396,8850,4088,1586,4276,736,1034,2976,410,9,160,71,65,328,530,111,287,967,497,193,364,46,944,145,42,1222,74,407,580,110,645,148,635,81,16,22,7,4,54,84,86,139,13,16,27,18,10,21,23,67,245898,23342,20255,19242,3,7911,10900,24790,3888,6084,2108,1348,2285,1601,948,1006,620,254,249,279,108,380,543,1181,872,37,8,8,1,16,1,0,0,1,3,0,0,0,21,0,0,0,0,0,0,0,0,447,1,0,4,12,20,3,2,5,0,1,2,1,1,2,0,2,12,3,3,158,105,11,7,14,9,3,18,290,0,19,9,52,36,154,23,15,204,36,716712,65969,98220,100050,93735,70819,137596,1378,45366,39659,15001,33004,3865,7897,10206,23974,2561,5935,2520,1401,3426,1901,1410,1431,6151,1062,895,257,86,1693,199,1182,69,190,93,393,102,27,226,49,14,8,3,6,152,34,16,2722,1691,247,131,336,1507,5,0,39,57,0,0,3,1,8,0,103,36,339,21149,17194,19897
"해미",20067,6108,2601,3721,3339,1501,587,1642,239,431,1049,167,0,45,21,24,100,146,74,103,409,240,85,139,10,230,45,35,235,19,129,256,42,243,61,408,38,9,10,3,1,25,34,43,42,2,4,8,2,10,6,12,28,79632,9001,7829,7629,1,2695,4288,10011,1243,2415,1017,644,861,690,324,416,203,90,114,106,46,143,165,474,333,29,4,2,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1297,0,0,1,4,7,3,2,2,2,0,0,1,0,2,1,1,1,3,3,86,25,10,2,6,1,2,9,109,0,6,8,13,8,44,8,2,81,9,264817,24755,34701,34954,31105,24691,56648,49879,2101,53358,48338,110600,9148,23295,30584,96776,6743,14658,7871,3839,8631,3902,2929,3059,13667,426,324,76,73,672,84,446,38,73,21,116,33,14,75,14,6,3,4,1,52,12,4,1008,604,123,46,113,502,0,0,20,13,0,1,0,0,2,0,60,17,153,7231,7214,7675
"홍성",47049,13421,5657,7071,5118,895,429,1243,116,134,310,44,4,29,21,12,84,126,23,34,158,67,14,48,11,87,19,10,89,9,71,687,126,446,101,542,32,6,12,1,1,8,13,18,31,2,4,4,2,3,3,8,24,142488,15219,16411,16077,6,5839,9418,21086,2200,4568,1501,1057,1583,1036,441,520,229,118,111,148,52,157,135,160,111,4,1,5,0,6,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1520,1,0,1,4,3,5,2,2,2,0,0,2,0,1,0,1,0,0,0,38,14,1,0,3,1,0,4,43,0,3,1,5,4,27,0,2,40,3,577532,47231,68437,54101,58573,25582,39591,42762,56204,2919,32614,127244,17821,44120,43575,96032,9391,20264,10348,5663,12189,5805,4342,4330,20196,766,484,147,90,1064,152,480,46,72,37,167,48,11,65,11,6,1,1,0,36,6,1,1353,914,26,15,34,207,0,0,8,14,0,0,0,0,2,0,40,25,171,10966,12830,11045
