"","건천","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","남원주","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","북대전","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","칠곡","태인","통도사","팔달","황간"
"문막",35,353,10767,7212,88560,4976,868,23,65,2478,229,773,46,2698,2099,5301,12181,4017,529,584361,294261,5591,105,0,166,2470,1400,179,85851,1078,1403,188174,12200,64010,3454,2063,478,23923,214,109370,229,164,9772,1019,157,22937,637,62453,1430,3074,105132,4967,19104,182,3125,911,1514,3419,4713,2014,25,53,3,220,969,0,109
"백양사",0,4,559,4,1374,180073,26,4,14418,173,14574,32,5,4,8990,4,5089,30,4,8530,12644,49,1531,83,0,2,1731,3559,116,7,8989,30135,529,3956,840,1506,0,39,0,110,25,1,3129,462,3,256,7,131,3768,232,593,5477,528,23703,30552,52818,1523,273,1954,1563,1498,7,0,7576,0,0,3
"부산",46676,140130,4475,1530295,14430,2557,134561,2668,272,3151,95,52788,44723,78,7879,263812,79202,1225,450421,61377,155847,2613,24888,2074,3,0,63020,102,661,94076,4876,432029,19093,54682,12330,27980,2884716,631,696897,2843,15427,267969,40565,25803,40582,1304,841758,7117,7967,7219,14775,7641,7370,954,6631,542,10529,5052,39250,19762,27696,3149,1004,227,819787,0,14327
"북대전",456,1949,4177,7991,7271,27469,9124,2092,716,3435,2081,8748,382,75,25674,23947,25480,1221,3968,61757,38220,3078,33389,1565,963,10446,0,2589,3979,7014,31215,232671,17470,64028,6314,14786,1529,794,499,1423,4687,903,15180,37680,1670,737,2488,2656,6063,5735,5976,31611,5827,1496,31342,6952,28771,8048,46074,12742,34693,952,40,2111,2525,0,1499
"삼례",3,134,603,744,1596,52114,751,20,6056,154,6892,625,33,2,14000,794,4093,55,144,8479,11592,61,1154,232,3112,322,2287,0,484,188,19008,40007,2151,5345,992,2130,53,70,19,202,58,81,3832,734,80,385,187,474,16014,419,818,6049,834,3745,5182,36569,1763,533,2574,12780,2180,12,6,9321,216,0,79
"새말",3,157,10693,370,48100,11567,1199,29,114,2718,607,1639,30,536,3353,1784,24522,3862,286,557454,253078,2939,297,76522,150,1432,6806,451,0,3412,3327,311722,21967,68309,7309,5370,557,17881,41,72892,534,28,12554,1811,135,24616,158,431232,2269,3620,91222,7183,23225,301,6626,1621,4141,5634,11033,3531,48,80,5,1117,234,0,118
"서대구",28706,726239,4489,465691,11469,42,1349824,4228,90,1650,531,201874,238304,42,9245,1202023,134181,762,374954,73201,73423,1680,12383,1572,10,250755,15084,222,1305,0,7318,270258,7836,38674,10543,16476,49314,901,21622,2607,19368,201802,23310,35284,1186372,2434,68362,5705,7730,3891,6504,9903,5130,8,2866,744,6303,3838,24670,16528,19756,14634,17210,153,95596,0,29892
"서대전",145,3066,2889,4676,6990,129208,6822,1923,6070,1189,18749,6582,256,41,408312,19457,44234,639,4042,39325,64973,1667,18292,1701,6753,7774,34729,19811,4125,3520,0,134246,39423,7882,48066,12068,1237,519,457,1544,2380,879,14323,14054,1522,598,1149,2993,62407,5366,4649,266868,4880,9332,204527,47218,25505,6837,34343,41933,5588,614,31,18099,1806,0,1173
"서울",2775,37953,892,161952,5220,771324,125966,3476,12905,1373972,42719,200919,5085,4137,144985,553302,809215,91444,72347,1832,3634233,706516,253122,124144,21004,336746,286998,31137,250170,123063,94063,0,11707,5167682,215252,2238192,29791,423096,10891,66923,55836,15853,2771736,128625,21363,419604,38741,132601,143476,80427,160672,385979,48221,37362,524667,185526,30400,18782,3448783,124460,402365,10767,396,51953,59296,0,18233
"서청주",312,4413,27199,12032,96540,41130,22110,1468,617,84,4290,18350,995,402,18608,53437,235731,8700,7957,675409,29062,12877,8,12613,898,29066,53149,2531,26338,6242,29427,18827,0,4979,90985,19,4312,6166,1151,10843,12683,1354,57,53530,2366,6056,4051,21578,19911,199043,57740,34044,62552,1551,39331,7319,180235,232148,331,36279,16,1123,33,2496,7325,0,4753
