"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정주","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"서울",12956,515,110392,2090,445164,64412,1592,6394,917838,25439,128359,0,83853,415830,650945,67828,48202,706,1676662,1008053,117315,84127,9218,232166,12052,185683,21,44040,0,8705,5594566,94657,1155918,22520,366069,5768,51979,34882,7421,2193836,52266,8067,12856,53597,107700,36,48911,115615,220048,25027,15728,292939,107573,16647,13986,2371927,25786,402886,5030,27084,5150,10097
"서청주",2495,19948,18000,81618,45364,17257,1401,460,0,3300,18269,0,18001,66641,434220,4683,16586,880460,39970,17735,0,11259,783,35390,1468,21854,0,27002,34967,0,52296,86428,0,4991,5546,682,10419,10488,1006,0,47296,1265,0,10480,21245,0,125118,40543,36690,44070,1429,39272,8562,87563,122843,0,19922,0,1023,2773,499,3823
"수원",2576,923,29575,3560,63649,19506,342,871,145265,3812,23955,0,12827,79227,104159,36532,15153,2951,362073,112430,21205,40694,1656,46097,1935,44573,0,7225,3718495,3428,0,21715,139371,7332,26706,4020,38250,4354,1193,104918,8852,1847,413,9632,34885,0,28002,78373,31196,16546,2601,39699,11912,9584,6383,219179,7793,91137,1061,3030,2181,1710
"신탄진",1409,3540,9750,14258,14539,5898,2509,366,1577,1144,6945,33,20489,24397,89256,919,3507,153485,34918,4855,63475,2861,371,20393,944,6359,0,31037,109927,11261,60944,0,20186,2301,1740,773,2751,5997,398,43176,43623,959,0,2837,4357,0,14556,8356,16741,8552,1025,16262,3578,62142,16050,63049,25752,99369,752,1091,195,1944
"안성",3515,184,27859,498,28146,8197,456,349,9133,1650,15464,5,7127,45818,88131,774,6809,825,98257,8535,28229,1053,504,20912,763,3610,0,6414,1079349,4,217553,18205,0,5513,788,1092,1239,2919,886,92792,8910,2019,0,4193,2488,0,38,2271,17700,17,970,19039,6389,14,12,124254,6503,89958,786,1513,642,1395
"양산",31433,605,540901,2867,6,23222,24,2,278,280,9288,0,1563,52497,22239,173,82958,28149,11096,10,3134,333,0,1938394,11,213,0,422,43750,1287,20451,1425,5001,0,386,153568,471,2137,70878,14697,5527,9474,1203,751045,1142,0,1104,1482,948,940,0,619,20,1005,796,5797,2237,5933,164,7,114529,2312
"양지",178,2319,1398,4298,2084,811,8,26,2582,104,844,0,601,3586,4344,4066,439,56341,99894,0,112,19879,78,1223,86,17133,0,632,381710,5837,158246,1884,655,465,0,77,16155,210,57,3718,566,102,33738,445,13122,0,6889,25645,1232,3539,81,1636,377,4300,2261,2103,478,32,33,120,379,45
"언양",11461,163,163903,889,4,9210,24,4,93,11,2837,0,560,24414,4721,12,35178,7017,1712,0,1015,90,0,436377,11,19,0,215,10013,174,6087,1076,684,148770,150,0,80,727,12911,4205,1141,2797,349,1036663,206,0,188,312,353,304,0,76,26,246,260,1669,411,1012,65,9,22001,279
"여주",223,4585,1297,11651,4853,1669,9,94,1719,200,1485,0,1527,7828,10963,2650,1117,274942,10870,38,176,84169,121,3921,137,46093,520,1015,54281,9535,140701,2589,1209,388,9868,71,0,298,158,6086,844,161,17502,877,68432,0,2326,32733,2548,6502,257,3305,901,1859,2650,3012,751,58,94,174,36,93
"영동",1212,545,8342,1979,767,7862,3079,23,144,86,14969,0,952,30600,58153,74,5620,31883,7071,564,2663,174,18,10561,51,511,0,948,32573,3918,9049,4754,2677,2190,143,728,265,0,602,5506,45751,1375,0,3030,373,4972,741,1239,1176,714,67,760,300,1857,918,4189,6572,7217,4292,61,156,9633
"영천",51138,304,116352,665,5,16536,17,8,134,25,4434,0,514,145197,6634,45,212681,10805,1230,1,963,118,0,207963,23,31,0,296,8193,286,4415,293,870,69428,28,16012,167,827,0,2326,2549,7877,214,77692,180,0,184,316,662,243,1,192,153,300,194,1492,605,1530,296,39,5908,823
"오산",7190,572,55996,2077,120566,31972,452,1404,19952,5843,40287,0,20051,147581,163268,5595,18005,1136,114208,11435,44120,7890,2950,70936,3922,13473,0,13490,2224425,134,198852,45356,121933,17582,3946,5213,7413,6833,3651,0,21176,4442,12035,16188,10515,0,1864,15600,64712,734,5095,75100,20422,454,449,338844,17522,190079,2209,5053,3260,3574
