"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","서대구","북대구","동대구.구.","경산","영천","건천","경주","통도사","양산","서울산","부산","노포","군북","장지","함안","산인","동창원","진례","서김해","동김해","북부산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","마산","축동","사천","진주","문산","진성","지수","함양","성산","고령","해인사","남원","순창","담양","남장수","지리산","가조","거창","군산","동군산","서천","서서울","홍성","광천","대천","춘장대","매송","비봉","발안","서평택","송악","당진","서산","해미","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","무창포","울산","장수","팔공산","청통와촌","북영천","서포항","포항","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","금산","추부","생초","산청","단성","서진주","연화산","고성","동고성","북통영","통영","청북","송탄","서안성","상주","선산","감곡","북충주","충주","괴산","연풍","문경새재","점촌함창","북상주","현풍","창녕","영산","남지","칠서","칠원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","횡계","장평","속사","진부","북수원","부곡","동군포","군포","군자","서안산","안산","춘천","홍천","칠곡","다부","가산","군위","의성","남안동","서안동","예천","영주","풍기","횡성","북원주","남원주","신림","제천","대동","단양","북단양","남제천","강릉","현남","북강릉","옥계","망상","동해","북창원","서부산","장유","가락","동대구","수성","청도","밀양","남밀양","삼랑진","상동","계룡","북대전","유성","서대전","안영","화원옥포","달성","남양산","물금","주암","승주","내장산","남천안","풍세","정안","남공주","탄천","서논산","연무","남논산","풍세2","지곡","남대전","판암","무주","덕유산","서상","동서울","경기광주"
"횡계",32273,6918,1575,1201,303,1123,46,6,369,1693,1944,155,12,31,25,2,150,281,37,18,4996,2407,0,187,62,55,354,33,115,98,586,113,0,0,1,0,0,0,2,0,1,14,61,38,2,15,76,5,7,2,0,1,29,20,8,2,0,24,3,0,0,20,1,15,0,22,0,4,15,6,17,16690,116,23,111,8,639,516,114,105,130,177,268,77,5,23,2,1,5,6,1,6,33,25,826,158,228,30,25,9,236,256,691,103,1019,201,29,19,63,325,27,66,1388,5,4,3,2,0,8626,4057,1640,589,944,422,2538,1746,52,54,11,12,27,45,0,7,1,3,59,38,64,22,84,112,2113,204,759,275,83,195,207,233,5,0,0,1,1,8,9250,1012,3409,11720,3990,7778,14868,26815,40093,43642,19644,25925,981,91123,31044,91962,11801,4043,1518,3228,16825,2194,2087,5631,2514,1389,241,1174,184,153,269,1383,353,314,1330,848,1791,14526,660,3947,1418,381,673,341,339018,64117,72216,7454,15405,39115,0,1,0,0,441,593,45,93,86,34,81,149,1328,1246,378,199,0,0,222,131,7,2,14,29,0,41,10,7,14,20,60,0,7,32,285,157,27,24,124877,3991
"장평",13736,4661,1164,897,188,628,32,6,227,946,1160,165,8,25,17,3,99,124,10,16,2672,828,0,87,40,32,263,22,53,76,337,59,0,0,0,1,1,0,0,2,0,16,29,30,1,13,7,8,17,5,0,0,33,33,1,1,0,14,1,1,1,9,0,11,0,7,1,2,9,2,16,11328,140,24,78,5,626,270,116,98,127,129,220,78,0,0,4,1,2,2,1,9,27,7,481,80,94,13,24,15,266,187,456,65,619,150,14,24,60,254,18,45,814,8,6,2,0,0,6008,3064,1163,688,687,348,1657,1105,59,39,8,8,40,69,1,0,2,6,30,46,46,15,53,65,1297,126,517,294,54,161,137,92,0,0,1,0,0,4,6820,481,2313,8496,2963,5965,10482,24530,93478,64391,22982,16223,103689,386,23063,86080,8882,668,2234,5213,14437,2280,2072,5320,2305,756,141,476,142,107,144,887,202,208,959,704,1603,22173,1058,2768,734,252,481,258,180011,48084,42409,7579,12168,27435,1,1,0,0,221,189,20,63,43,20,57,66,653,762,358,124,0,0,117,68,2,2,8,31,0,31,14,2,12,9,38,0,4,36,170,58,13,4,74384,2842
"속사",4325,2049,428,395,61,197,1,5,87,451,548,44,3,7,5,3,26,46,8,44,1044,358,0,48,23,14,83,23,20,28,120,22,0,0,0,0,0,0,0,0,0,2,24,7,0,0,1,3,1,0,0,0,0,5,1,1,0,9,0,0,0,2,1,4,0,5,0,1,4,5,11,3909,26,9,19,6,244,113,52,39,43,42,70,10,0,1,0,0,1,1,0,0,17,2,278,85,32,7,5,4,44,87,149,29,265,50,11,3,33,153,14,27,424,4,1,1,0,0,2179,1368,377,187,255,147,813,424,19,15,5,0,2,23,0,7,0,2,8,13,19,3,27,35,613,41,177,96,17,39,56,51,0,0,0,0,0,1,3063,172,927,3748,1323,2303,4149,10594,27722,26683,9770,14413,29558,25489,220,9350,3266,306,664,1126,5242,835,723,1455,665,429,65,206,44,49,76,316,109,116,463,345,691,8644,592,1489,265,137,179,121,50849,7933,9637,2100,3722,8742,0,0,0,0,66,62,9,17,33,14,25,47,223,378,155,59,0,0,42,24,3,0,5,13,0,12,7,3,5,7,12,0,2,18,81,21,2,2,20555,1110
"진부",16828,5747,1452,1125,203,741,29,6,304,1298,1719,264,8,34,18,5,142,101,17,32,3379,1010,0,117,69,58,234,58,61,87,370,85,0,1,0,2,0,0,0,0,0,18,24,32,0,8,8,13,12,2,0,0,34,10,4,0,0,25,0,0,0,16,1,9,0,12,0,0,6,8,20,13721,76,22,95,5,757,332,167,95,132,132,221,42,0,6,2,6,2,1,5,6,21,11,464,201,120,27,28,12,112,290,522,121,831,208,24,11,69,287,29,59,1385,4,10,4,1,0,7243,4083,965,487,761,539,2162,1601,52,112,12,9,30,39,0,1,1,7,70,47,77,19,120,109,1748,187,543,282,72,134,104,148,0,0,1,0,0,1,8413,477,2559,10027,3697,6903,12473,26544,52261,51410,19159,24548,86791,84056,15413,1726,10215,716,1806,3109,16061,2288,2296,5323,2543,867,206,519,188,117,222,903,286,269,1153,920,1740,19471,864,3429,831,330,510,315,239448,33788,36792,5148,8307,24222,0,2,0,0,236,256,40,72,65,34,54,95,765,1033,406,207,0,0,127,77,7,0,8,27,0,30,21,6,14,11,46,0,8,44,224,62,17,7,82765,3548
"북수원",156065,768107,323495,279687,237738,199363,50779,113113,21855,51697,49896,13346,580,3841,2536,1320,12072,25683,7716,4387,48825,19116,0,5365,3465,1729,12111,1808,2749,2319,10509,1626,338,84,479,3623,247,127,279,194,416,112,591,1060,184,942,582,887,1183,221,0,91,3762,2856,591,869,86,2043,74,108,159,645,25,37,26,1220,370,1355,5159,3174,2479,536952,11411,2698,6732,931,9156,11261,11043,19803,12792,9165,13482,3742,770,1559,572,609,1058,1041,777,1107,4681,1025,17439,3861,1702,937,1284,754,10111,678,823,177,1413,129,44,46,162,261,118,116,1731,12,6,26,9,8,4874,43347,17273,62096,21437,30127,11696,27990,5035,5351,803,859,2073,4293,318,1317,444,848,6748,6778,47495,33772,18863,4261,81495,11835,44266,8967,4402,12694,20663,8349,211,85,105,125,87,954,1666086,237886,556929,403268,102554,148718,105474,45767,34827,18645,12835,12720,13123,8760,3606,11309,15415,36552,41614,28159,531950,135817,45757,7207,10666,3750,156,105,341,550,2055,12938,763,3501,19619,7115,2948,51125,12352,40385,18389,2784,7487,3178,40840,35347,12374,2594,5380,17521,345,904,307,298,5186,3087,836,1357,1209,590,1044,3923,38867,27285,7998,3303,155,0,3001,1800,45,18,46,53109,23,37320,7141,3105,11618,8838,154048,0,1140,1684,6359,6621,1344,1844,1956,409
"부곡",12642,66858,20235,26799,24267,23272,4151,9416,3582,6532,3621,1152,55,290,264,93,651,1659,777,371,4758,1168,0,270,223,189,847,239,548,267,2416,457,23,9,55,407,32,15,26,17,118,7,49,94,342,56,85,68,78,11,0,4,282,175,34,51,4,147,6,10,13,54,1,3,3,92,15,96,6426,3142,3534,581487,20094,4230,10037,1298,8074,14341,15482,37461,23150,18172,27881,6996,686,1627,598,455,794,860,704,894,4108,1396,1483,246,147,54,88,59,807,46,57,14,97,11,7,2,8,16,5,18,124,1,0,3,2,0,814,2827,1461,5306,2508,2800,1087,2101,399,486,66,77,194,248,16,75,22,46,438,6697,6145,4163,1319,269,7513,926,2969,579,619,817,1166,652,18,12,9,7,10,164,152142,13478,37614,38048,9261,16877,7411,3532,2780,1269,766,751,825,587,261,733,17720,98,77458,39491,538149,213941,38471,914,1034,263,340,6,177,44,126,839,131,308,1480,566,211,3200,1076,2777,6290,282,661,249,2732,2324,837,255,401,3051,60,304,38,182,357,273,109,135,194,104,114,200,2832,2183,614,291,12,0,971,656,3,2,5,6034,2,3311,599,250,1108,694,10225,0,78,200,633,370,102,165,202,35
"동군포",13223,116929,39765,33485,23670,19425,5623,10651,3978,10461,7868,2721,69,361,274,281,1828,3377,578,1445,16160,3120,0,800,902,150,2262,503,804,729,2419,519,22,8,380,744,39,66,53,49,71,14,52,108,36,84,66,92,98,13,0,2,447,991,77,105,7,545,16,19,27,67,6,4,4,149,152,169,17,15,3,11,11,4,10,0,0,5,5,52,16,14,15,5,3,9,9,3,4,5,5,5,17,0,3205,298,301,511,196,61,1719,53,58,8,119,15,8,2,14,16,11,5,119,0,1,2,0,0,746,3742,2348,5549,2754,3404,1379,3648,565,1375,81,285,489,1181,30,336,47,154,959,75,4248,2965,4020,451,8380,1007,4462,929,482,1562,3606,1007,19,17,23,7,11,372,270964,23590,47331,57452,13423,15251,11284,5397,3319,2051,1269,1483,1260,1734,388,1521,36835,54377,21,19,7,14,7,456,748,663,5,12,32,58,159,1187,62,318,1953,1725,206,5051,1139,4009,7017,247,738,343,4607,3262,1352,656,748,2077,49,169,27,41,1115,401,120,429,458,75,570,798,3665,3002,1216,385,18,0,1075,685,7,2,5,6999,0,5868,1362,363,1644,981,28048,0,106,466,683,850,136,472,102,22
"군포",36487,193987,36270,29009,19210,19814,4729,12285,1926,4819,6131,1816,71,558,343,194,1680,4894,1792,1132,11441,4519,0,1128,784,347,3454,362,760,546,2459,378,54,18,102,680,66,26,60,43,106,44,122,149,29,118,80,114,178,24,0,11,502,381,99,69,10,335,24,13,29,101,4,13,6,175,43,269,5250,5690,4190,1423317,13122,4482,7305,1216,11522,18230,33754,55132,23775,17946,18864,5329,1278,2498,879,772,1526,1127,1124,1713,5638,1372,4460,569,379,236,342,248,2919,119,99,36,223,27,6,3,17,36,16,26,369,6,3,4,3,5,2665,14048,7501,15777,6040,7769,1759,5225,667,606,91,128,258,576,47,141,58,126,994,12306,6186,3002,5472,1071,28889,3579,15160,2820,2489,5033,8012,3127,60,17,18,22,21,212,483694,53978,132107,101180,33016,50556,31515,16189,14026,5862,4608,3746,4103,4990,1292,3603,42150,53462,40,727,1566765,482508,72802,2882,4844,902,33,25,138,191,654,4446,235,1214,10452,2738,1026,17520,4267,18239,4384,1088,2552,1152,14060,11259,4489,1170,2126,6998,74,169,53,137,1111,740,206,247,339,114,328,376,3937,3305,1215,487,66,0,730,447,14,6,15,3902,4,3392,888,444,1591,1237,15216,0,175,220,879,887,182,272,610,164
"군자",47712,636996,323484,338813,276202,306796,101165,204651,47378,100490,98512,31961,1140,8684,5851,3329,24437,33658,14130,12945,132912,32692,0,15373,11346,3550,32540,3922,9429,6366,28716,4820,907,1397,1417,11795,1312,615,798,533,1127,319,1390,2043,1145,1785,1570,2091,1995,519,0,198,10859,10288,1437,1610,791,3873,512,182,351,1170,54,129,41,2438,697,2505,79448,135113,61212,720625,130495,50336,74774,11228,280309,816986,473346,710478,419697,262488,277778,63018,21244,39878,14988,10168,24043,19340,17268,17203,84738,12604,41849,6627,3153,1759,3890,1847,21793,1361,1054,313,2018,193,52,72,261,422,199,331,4772,36,14,64,41,23,4955,62382,19250,91348,38039,50549,15817,31546,11557,11615,1894,1650,3941,8157,536,2975,1303,5062,17643,277953,159436,52981,37457,6918,123241,16027,61774,13143,9246,19710,37759,12737,458,176,286,361,411,2819,1472335,151823,375657,355054,110801,189083,117137,61023,69369,28116,18041,17697,17934,14040,5344,16803,534385,551935,10,1719911,584,2972306,2327147,8154,12733,7246,169,188,593,914,2980,19528,1360,6750,30989,11067,4609,73686,17170,76497,56877,4807,12141,5290,71034,58978,20065,4790,9880,35035,872,3632,891,1403,11406,5827,1908,2372,7242,1330,4308,8641,55852,47567,17322,7432,288,0,9381,5656,133,55,100,106192,3,83590,13450,6060,26581,17482,252702,0,2408,3972,13651,11451,2552,4007,1327,376
"서안산",42368,172744,80552,89571,68108,61187,21638,44444,10886,22928,16397,6017,273,2021,946,795,6032,13017,6358,4976,44846,8584,0,4433,5223,1332,16811,1297,4501,1820,8079,1394,305,308,351,2643,363,237,210,176,332,42,252,344,94,348,413,342,353,59,0,40,2025,1406,229,422,90,687,134,46,60,160,8,11,8,354,85,1062,12561,23689,8881,3583870,16059,7520,10433,1528,43754,124597,109566,153410,80509,38688,32346,9255,3442,6453,2332,1441,4107,2795,2447,2418,11235,2016,12884,1273,694,551,1569,468,5391,239,209,49,273,21,8,5,34,54,34,42,860,6,1,6,4,3,2985,16218,9051,37037,11477,18569,3988,10146,1840,2145,664,295,789,1560,88,393,196,346,2274,56660,39166,15206,15632,2775,33744,3476,15321,2125,2821,5709,7764,2995,211,59,113,116,110,872,478878,38482,134526,111735,26949,52464,27796,16259,10316,5216,2632,2029,2553,2533,865,2433,125579,221465,2,464916,3448740,553,100729,2457,3913,1735,42,73,115,166,555,3639,224,1354,6389,2265,979,13775,2844,15546,17636,911,2803,757,11020,8102,3171,762,1676,6675,297,1024,325,423,2796,1332,402,529,1921,509,1391,875,9281,8492,2979,1429,90,0,2849,1823,13,8,14,19339,0,15692,2729,1028,5069,2669,52181,0,462,976,2806,1668,430,2018,657,181
"안산",29766,79892,18835,19912,21269,24572,5683,17453,2363,6688,8864,3036,185,865,508,224,1899,3572,1223,810,9302,3562,0,875,595,321,2579,193,456,451,2064,305,62,15,108,862,54,19,62,47,89,36,150,215,29,170,85,195,216,54,0,8,759,475,115,132,23,369,14,26,28,127,2,7,4,243,44,272,4800,10403,3063,2349545,10201,3508,6918,1006,28480,22611,26208,37990,19305,14105,15311,4552,2033,3398,1511,1011,2481,1732,1542,1425,6747,1037,3144,684,347,242,226,166,2363,129,108,42,240,27,13,11,30,63,29,51,450,6,3,2,3,0,1224,6620,3192,9323,3454,5161,1749,3225,909,1021,127,177,312,806,33,209,84,253,1420,11752,11195,4382,2440,782,12732,2189,8854,1654,700,2336,4456,1436,19,17,14,14,28,172,194557,23640,58094,37041,11628,22010,14706,7723,5865,3359,1952,1786,1859,1783,697,2152,38031,42002,18,85151,2169319,130171,5204,2272,3558,781,16,23,76,115,444,2995,245,827,4959,1789,654,10284,2270,11088,3322,599,1699,675,8434,7086,2740,660,1420,5045,84,160,89,61,1019,589,221,171,204,122,294,476,4015,4261,1563,744,41,0,548,318,13,5,4,4828,0,5105,1268,540,2428,1666,19105,0,201,357,1236,1127,267,376,607,111
"춘천",3609,9234,3121,3309,1079,3964,304,41,2547,7888,10516,1166,44,266,105,31,1012,1464,279,260,35233,11384,0,1916,1171,630,5097,387,748,1050,4626,783,1,1,2,4,0,0,0,0,3,83,307,285,16,93,77,73,61,10,0,4,226,164,40,6,1,176,1,4,0,164,16,87,2,74,1,22,138,61,127,3793,764,194,493,75,873,707,375,402,496,596,1136,333,9,53,13,16,11,27,28,30,228,72,6810,693,1296,349,480,453,4879,2367,3265,585,5518,882,161,82,493,1636,225,480,7910,44,33,43,6,11,2488,13802,2960,3770,3976,2736,14016,7721,455,609,35,48,113,393,17,46,16,38,534,172,333,101,774,696,7813,791,3584,2040,466,932,1227,1161,4,4,1,0,0,24,15071,2771,6970,19562,6723,14770,23058,58088,40955,4097,2589,3242,5036,4752,1027,4788,6717,701,673,2380,8656,2482,2404,2626,1308055,11580,2535,6857,3307,2497,3239,18017,4050,4291,18672,404958,225525,334403,17400,121320,8596,3889,10888,4588,33143,5949,7458,1501,4130,13652,4,2,1,1,3230,2454,350,659,477,282,696,1221,7194,6947,2265,747,4,0,1347,808,62,23,89,229,6,345,117,64,106,145,270,0,39,229,1185,532,78,46,4537,688
"홍천",5497,10406,3693,4213,827,3191,183,17,2913,6022,7097,1169,16,199,90,20,720,810,161,254,24569,6913,0,1054,776,415,2692,230,469,620,2820,531,0,0,1,2,1,0,0,2,4,112,272,234,10,74,29,45,36,10,0,1,228,1231,65,6,1,99,1,2,0,93,6,55,0,55,2,15,85,46,116,7413,509,149,488,64,1223,720,452,337,495,626,852,259,8,37,9,9,13,21,21,36,170,64,4369,721,779,186,265,173,1964,1789,4277,625,4581,688,131,95,372,1405,152,515,6073,27,14,33,9,10,1854,14035,1727,2442,3836,2212,10630,6648,327,505,70,41,179,275,3,54,19,182,367,167,212,66,533,782,6284,546,2299,1096,296,718,922,996,0,3,0,0,1,29,17374,1733,5522,23494,6019,8973,19595,34482,10429,1655,1431,1495,1814,1733,344,1872,10240,1012,1135,4511,15413,3952,4093,1245084,820,4759,1497,3895,1592,1092,2023,10349,2631,2637,11285,52460,61781,131389,9380,54673,5622,2577,8095,2469,6640,1664,1962,413,841,3447,2,1,0,0,1922,1807,269,453,302,216,395,2131,4973,4970,1982,707,1,0,894,526,56,13,66,159,3,225,99,24,78,153,201,0,54,220,1141,311,147,57,9241,765
"칠곡",19625,5353,2001,4483,3329,6566,6212,2349,5423,2427,16981,2222,688,2896,5158,3461,41761,169673,125005,52475,850289,39565,0,180601,48535,11483,56186,3490,4611,6159,19528,3166,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,2,3,0,0,0,0,1,0,0,2,0,4,0,0,0,0,3,1,0,8908,104,6,6,0,961,605,874,936,457,241,516,69,0,0,1,0,0,0,0,0,0,1,35962,16,30444,37914,29772,9153,93205,2201,1937,345,2363,392,86,41,332,266,12,7,31,0,0,0,0,0,4406,412,548,560,868,507,3948,1311,310,620,1,0,0,1,0,0,0,0,0,1033,2057,354,11919,8378,2609,724,5313,1181,3215,6197,6883,7684,15,1,0,0,0,0,2897,650,1525,2179,1101,2792,2359,1019,990,733,1124,1560,1281,674,454,741,4495,412,717,912,8532,2443,1114,9982,4615,239,87541,422589,152757,157660,148238,59921,10531,59575,13249,1351,504,6139,1828,5275,33982,7514,5671,6536,2498,2097,461,99,141,287,2,5,0,0,187199,115971,9307,6679,3275,2223,3231,723,3713,8226,3687,2138,4,0,5742,3228,0,0,16,1168,2,47,15,24,102,116,1,0,2,524,3846,47,6,2,36925,1473
"다부",348,90,24,105,139,137,111,49,122,52,281,61,22,50,68,32,431,479,569,884,287302,57082,0,12731,3335,975,5217,1795,1191,1240,2881,552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,197,4,0,0,0,16,10,14,50,4,4,9,1,0,0,0,0,0,0,0,0,0,0,4553,0,6029,2166,1637,697,6737,30,71,10,70,13,0,2,4,3,0,0,2,0,0,0,0,0,80,7,13,13,17,13,88,37,3,15,0,0,0,0,0,0,0,0,0,34,16,9,128,47,40,13,74,23,77,120,85,59,3,0,0,0,0,0,65,14,28,60,36,111,111,578,462,220,163,207,251,133,53,199,150,314,9,32,247,62,26,2480,1427,91296,1393,8531,27020,31068,48311,16157,3298,19036,6869,476,166,2440,759,2279,5520,3507,2953,2192,823,593,182,49,63,105,0,1,0,0,18703,13277,1322,722,553,227,566,5,74,147,72,31,0,0,895,548,0,0,0,18,0,0,2,1,3,10,2,0,0,8,55,1,0,0,1024,37
"가산",304,74,23,92,66,218,97,63,101,63,299,44,14,41,52,45,372,348,458,2184,1262597,428372,0,71897,20127,5686,33114,4374,6440,4923,20447,3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,4,0,0,0,34,13,17,10,20,5,9,4,1,0,0,0,0,0,0,0,0,1,31788,1,29796,9895,7376,4120,49721,79,117,21,95,16,3,4,15,15,0,1,12,0,0,0,1,0,81,18,10,8,12,7,90,52,9,12,0,0,0,0,0,0,0,0,0,30,40,23,39,24,29,6,32,9,13,28,19,14,0,0,0,0,0,0,75,9,35,75,33,116,128,1140,838,499,674,1916,1154,462,173,519,137,58,9,33,224,62,35,7034,4222,408196,14367,8637,42460,83842,231772,51584,9427,81943,17717,1071,508,7191,2613,8060,40367,11734,14493,8305,2946,2252,648,202,293,531,1,3,0,0,96850,68357,6953,3832,3644,1602,2826,32,50,155,83,46,1,0,6471,4283,0,0,1,20,0,2,1,0,5,2,0,0,0,12,58,0,1,0,988,35
"군위",653,158,61,47,54,171,79,42,76,45,290,73,5,41,45,18,214,155,157,989,229576,91429,0,7867,1129,627,2871,391,547,513,2706,442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,2,0,0,0,29,5,21,6,7,3,4,0,0,0,0,0,0,0,0,0,0,0,4044,0,7029,533,290,267,2468,38,40,12,62,16,3,1,12,7,0,0,0,0,0,0,0,0,214,18,28,6,11,10,45,20,5,7,0,0,0,0,0,0,0,0,0,9,14,2,38,22,22,4,16,4,11,17,12,6,0,0,0,0,0,0,218,8,89,161,95,232,274,912,285,181,110,119,155,90,42,131,306,171,61,121,520,91,78,3014,1344,155078,31126,39890,857,13645,24236,12768,2279,14824,4214,572,768,2488,963,3192,5519,2220,2167,1533,363,301,99,15,24,26,0,1,0,0,15560,12172,1275,776,578,221,556,8,87,153,80,53,0,0,872,531,0,0,0,39,0,1,0,0,1,6,0,0,0,9,55,3,0,0,2793,119
"의성",924,286,60,91,53,169,145,39,91,62,539,64,14,64,64,23,355,216,175,1124,322077,158175,0,10020,1878,896,5688,529,1098,1521,5646,1005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,817,2,0,0,0,52,15,31,7,5,7,13,1,0,0,0,0,0,0,0,0,0,0,8134,1,12068,792,507,355,4219,70,96,48,97,14,6,2,17,13,0,1,0,0,0,0,0,0,279,30,39,6,17,8,64,24,12,22,0,0,0,0,0,0,0,0,0,18,4,2,34,24,27,3,9,5,14,9,4,7,0,0,0,0,0,0,339,13,104,226,87,229,349,5616,636,399,125,107,175,107,48,174,545,48,76,112,831,146,100,2647,1338,163889,34523,66190,17758,562,29289,17950,2211,16710,4602,624,631,3659,1086,3459,11383,2466,3667,1424,664,397,110,16,30,73,0,0,0,1,24315,20723,1890,1168,878,509,1207,27,120,308,149,63,0,0,1844,1093,0,0,1,29,0,0,2,0,7,2,1,0,0,17,142,1,0,0,4039,116
"남안동",3269,912,244,178,51,182,118,41,68,83,1019,128,14,69,125,20,566,511,332,1616,377579,270538,0,19044,2965,2152,16457,1297,2522,2916,13005,2374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,8,3,3,0,94,58,34,27,13,24,29,4,0,0,0,0,0,0,0,0,0,0,20166,3,16545,1670,688,371,4784,185,254,47,362,64,14,8,31,40,3,1,18,0,0,0,0,0,1230,115,135,15,12,1,66,14,19,42,0,0,0,0,0,0,0,0,0,12,15,0,18,21,42,2,7,4,1,9,2,2,1,0,0,0,0,0,1120,64,419,871,360,918,1120,2066,668,240,221,168,246,150,72,198,1789,148,225,574,3002,489,432,3232,2114,166944,51797,213140,29153,32161,170,68272,6573,32764,9002,1211,627,5020,1306,10819,26587,5596,4151,3644,667,506,171,25,42,56,0,0,0,0,40818,32147,3079,2362,1930,1204,3004,85,261,442,176,145,0,0,4149,2516,0,0,3,21,0,4,0,3,9,7,1,0,0,40,239,4,1,0,17581,515
"서안동",27484,6215,1604,1122,141,179,60,17,26,42,424,56,7,23,45,11,162,196,169,623,138827,78991,0,9357,2455,1511,9702,659,1304,1957,7427,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17894,82,4,17,2,865,353,144,76,73,95,220,34,0,0,0,1,0,0,0,0,2,6,11612,1,6806,1079,800,455,5005,71,141,33,155,38,0,1,12,23,0,1,13,1,0,0,0,0,7209,616,763,68,49,20,71,33,8,14,0,0,0,0,0,0,0,0,0,38,65,11,11,12,319,15,16,5,4,12,6,8,0,0,0,0,0,0,8447,705,2881,5608,2030,4928,7361,11700,2941,1343,1498,1179,1375,823,287,961,11234,828,1604,3424,18140,3097,2939,18614,11390,67794,18257,43648,16331,19603,63006,643,20265,111360,53245,5807,3790,29472,7798,58170,14209,30803,39776,20393,4152,2853,839,110,161,352,0,0,0,0,15366,11633,1112,1289,901,672,1421,22,123,181,108,59,0,0,2273,1360,0,0,0,12,0,1,2,1,7,6,0,0,0,20,102,1,1,0,110682,3122
"예천",937,236,77,56,9,12,5,0,5,2,23,5,2,1,5,0,15,23,15,104,26108,14797,0,1444,510,366,1790,118,264,400,1500,274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,952,5,1,0,0,65,15,11,3,4,3,11,4,0,0,0,0,0,0,0,0,1,0,2915,0,1209,254,208,126,1311,4,5,2,5,2,0,0,0,4,0,0,1,0,0,0,0,0,345,38,41,6,4,1,5,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,1,0,0,0,0,0,0,379,18,115,305,127,270,449,959,546,214,225,239,295,162,83,244,542,122,65,184,1041,152,196,3841,2328,10236,3316,7868,3005,2653,5255,24576,564,23188,11754,889,409,5458,2107,6687,2726,8551,9552,6266,1352,975,326,56,100,171,0,0,0,0,3142,2658,267,236,153,88,284,0,8,11,5,2,0,0,429,255,0,0,0,2,0,0,0,0,1,0,0,0,0,1,11,1,0,0,4564,220
"영주",5342,1623,451,377,59,129,23,7,18,52,267,20,11,21,23,8,148,215,117,760,178231,109408,0,11279,3172,1845,12947,1055,2449,2826,10923,2059,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,5472,25,13,33,0,261,167,54,50,57,32,74,18,1,0,0,0,0,0,1,1,1,1,29592,4,7697,1312,1136,502,6438,38,77,11,109,27,7,2,7,19,1,1,9,0,0,0,0,0,2157,277,217,47,53,11,71,43,15,8,0,0,0,0,0,0,0,0,0,31,26,9,6,6,110,5,8,5,4,3,3,0,0,0,0,0,0,0,2050,148,692,1585,668,1374,2127,3341,1045,325,288,240,295,230,153,293,2954,283,393,973,5888,1214,823,4384,3009,69550,20479,72868,18208,18951,31225,99458,18944,514,10528,1632,1099,9195,2904,25050,22530,15698,11185,7639,1684,933,425,52,120,225,0,0,0,0,18127,14113,1766,1723,1228,800,1808,15,66,121,57,32,1,0,3546,2139,0,0,1,11,0,3,3,2,4,0,0,0,0,9,70,2,2,0,24705,1002
