"","경산","경안","경주","곤지암","광주","구미","금강","금산사","기흥","김제","김천","남구미","논산","대구","대전","덕평","동대구","동서울","동수원","마성","목천","문막","백양사","부산","삼례","새말","서대구","서대전","서울","서청주","수원","신탄진","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","울산","원주","유성","음성","이천","익산","일죽","장성","전주","정읍","증평","진천","천안","청원","청주","추풍령","태인","통도사","황간"
"전주",416,4829,2307,14241,369912,5565,86,20032,1500,21557,2708,0,73882,4281,61031,699,1029,270782,0,20,10018,2669,12448,4254,3461,4249,83,148325,291807,1330,60502,9794,13364,360,949,69,3266,712,134,91484,3847,186,4463,3583,3639,66524,3978,6659,12367,3912,13040,0,173164,13045,3051,21957,11101,38149,225,33738,37,296
"정읍",199,1692,748,4817,344253,1326,14,16099,308,293362,1328,0,24348,2081,24454,505,193,102511,0,1154,2576,623,32027,365,18534,1667,133,34771,121874,2079,19957,1499,4347,37,213,43,812,215,57,27203,1777,67,96,559,988,0,1086,1677,20280,1214,25670,183571,0,3381,744,6956,2861,5433,67,12598,19,262
"증평",493,6512,1959,19861,15037,3184,103,423,248,969,1950,0,7011,8826,122394,1411,1289,230643,0,2800,0,1156,333,5019,573,3379,76,8574,2026,31408,26043,30489,0,642,2608,221,1886,1212,193,438,7228,198,1391,2012,2623,0,27325,10276,16910,11475,451,11266,3038,0,14837,0,9554,0,113,924,63,300
"진천",340,7571,1945,20822,4600,1373,30,45,201,202,1500,2,1529,6581,32410,1124,913,222160,0,2780,0,2663,63,3439,158,2944,0,1615,1209,83804,19681,8943,0,1363,977,192,2655,607,115,364,2619,243,226,1726,2456,0,21591,11145,3204,10083,178,3039,778,20345,0,0,4495,0,61,146,114,153
"천안",2959,1073,16524,1620,36189,11683,829,708,17262,3338,16683,0,8870,52950,279932,7248,7892,1955,0,23959,29672,2252,823,28852,1228,7831,0,14505,2223995,8,269959,38670,96265,4605,2269,1170,3619,3980,1172,416784,13028,1652,0,8835,6491,2,120,6304,22125,140,1202,24336,8143,29,15,0,12174,163153,1359,1785,492,1758
"청원",1570,1350,5542,3141,14125,3899,1099,410,518,1266,9714,0,10529,28857,228336,232,3639,40935,0,1081,13787,668,381,9032,715,1372,0,18316,30897,3844,12313,13289,5656,1839,309,377,880,5658,488,24427,50620,603,2,3728,1190,0,3556,1877,19587,1852,947,12591,3330,18044,5581,13446,0,17817,830,885,171,3070
"청주",1272,0,5818,0,13936,6010,663,205,6623,1010,7672,0,5374,28133,150170,72,4432,0,0,3483,98205,80,299,14566,670,364,0,6509,417125,0,147435,16956,76313,1988,136,388,177,3046,525,266069,11349,783,0,4669,343,0,0,374,12339,0,356,12604,2859,0,0,165853,5285,0,358,718,190,942
"추풍령",360,162,795,400,59,6750,590,9,28,114,9710,0,521,9120,8602,197,2357,6188,0,205,781,50,0,11464,6,93,662,338,7240,996,11493,458,633,225,12,76,105,3853,130,2336,3888,637,1,367,100,1005,117,239,374,135,8,296,95,112,73,1125,684,355,0,21,24,2976
"태인",35,432,226,1616,37917,459,14,2413,83,31556,297,0,6361,17,23,60,65,25033,0,99,532,105,2295,152,5579,308,309,10169,24343,119,5804,434,1238,21,76,28,245,61,48,6956,349,23,216,165,235,6410,252,298,4307,253,1852,36606,12975,1051,208,1511,811,2066,12,0,8,29
"통도사",5214,117,63675,546,5,4113,15,0,55,18,912,0,120,12301,3476,18,15297,4392,0,0,405,78,1,482120,2,11,0,105,8432,82,3074,120,593,78606,29,21819,73,265,5238,4773,623,1754,142,161021,127,0,134,238,90,154,0,68,6,78,71,597,273,765,29,2,0,197
"황간",1457,210,4950,576,272,19620,584,18,66,56,23334,0,1036,40568,31120,141,5650,10858,0,155,643,56,6,8451,38,217,92,466,8906,487,3092,1517,775,1726,27,252,86,19230,724,4468,14412,2341,4,2922,116,1540,200,162,506,221,25,312,123,305,171,1719,3018,3610,2840,27,146,0
