"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Muju",9,3398,10796,304,7,8,14075,516,3845,24471,40,45,466,3,41316,8205,483058,1341,372,6,113,4,444,1465,381,1614,91501,292,13520,1237,62,32,83,213,699,3577,785,2172,1,1,5758,16620,12758,105,29,3842,4718,17690,39,24369,542,257,349,23,4620,27172,108694,598,81,5278,15440,18689,1749,26524,13,317,39152,30,1,6526,5660,1839,10534,191,436,4926,10910,14175,278,4,319,112441,11944,1032,3843,58,9645,21946,143,120786,1199,19,216,0,928,33,140,96,6,2933,14751
"Munkyeong",11,7170,527,1623,11,1,11216,2523,1870,909,4445,30141,890,636,2420,74531,4426,38,132,7,217,10,832,19760,839,280,86,9439,4424,18,1,34071,4,10,1797,64,38957,6837,3,14,18603,620,546,9406,3468,78,148,10205,3,98,164,609,917,22,1431,248,33,36,46,170,533,7,45,806,1650,20,20,64,0,211,241,104,1021,6626,602,147,364,109,79013,1,108,162517,19496,39,201,3368,21616,268,11170,142,2208,6943,500,1,7411,4653,460,2,5,17401,18407
"Naju",0,229,111,0,560,1190,5,0,1,8,0,0,1,0,20,11,42,8,218,0,0,0,32,0,0,2,2,0,2,911,1688,1,10,8,2,2,4,126,1821,0,4,58,4,0,0,3,0,2,38568,2,0,1,1,351,1255,9,0,34,0,16,27,1,1,1,0,249302,0,0,24542,8,10,1,26,1,3,578,1,1,1,284,385,3663,894,2,23,1,117,5,0,13,2,0,0,0,2,0,0,1030,0,2,67
"Namwon",2,785,3201,99,196,3490,18290,2093,7011,3866,4,182,268,0,6579,115235,20056,45685,64,3,52,0,100,917,198,33178,3479,1919,23006,190,10373,177,629,146,11858,3571,1466,565,213,0,1961,338410,709,3,1,269,799,17252,469,41065,5958,110,178,146,1148,1531,209562,7659,11,6346,2657,785,468,19947,0,1939,6217,235,4,242296,688,329,2284,8,104,1095,9008,21135,1327,81,203,30436,3075,96773,860,2043,3162,11609,3,1947,690,2,98,0,437,2,40,2391,2,1392,3580
"Nonsan",124,11228,53933,2537,4,4,5377,723,1706,109198,2418,115,2465,221,87053,28994,730482,3748,429,51,859,50,1680,6892,2106,556,15625,8536,3366,16579,173,58,2815,73064,1609,786,12225,7276,4,22,7194,204453,2304,6118,4506,49856,439,5439,220,2262,108,1458,2067,9,16778,108152,2341,21137,293,75726,145583,4867,8477,3659,787,1978,4913,172,3,546,37045,16764,49616,4508,1055,20956,2039,2109,7076,7,101,425964,35188,543,22922,1114,33278,3541,8339,100756,5964,2273,931,1,3925,3240,7162,346,28,10457,65154
"Okchun",124,7637,28985,591,32,4,9022,3454,2379,70255,4807,132,1550,404,347684,46358,1275806,231,1563,34,777,64,927,7874,2280,563,12896,28602,4766,1213,15,135,101,211,1225,699,21499,5454,2,38,12145,17356,1509,12234,3906,16323,884,6450,21,1532,48,812,1210,63,11894,13151,1900,1644,153,9765,14345,346,13814,3481,1660,365,10827,141,1,977,18293,79399,22571,6822,583,15794,2143,1346,1817,1,899,180887,22111,45,624,1661,15649,5099,11636,4998,3887,6119,494,2,2330,4662,67816,27,23,8479,19564
"Osan",1735,113929,947147,12341,16462,2132,24802,4076,3339,799653,7023,5324,3237,1047,266632,79255,298074,1886,61645,1377,4219,66,33489,14687,11573,1803,16007,18196,12137,4279,1414,981,1525,104525,2351,2301,53064,68446,9399,36,4106,85684,4375,21927,6492,3841,2696,27953,878,8900,206,5461,4084,13660,14759,42955,5225,7296,6615,23764,62151,1897,4532,15925,4466,7255,10016,1087,34,2104,41543,22351,1503,9717,6721,154843,5272,5500,18979,5685,31338,3230478,288699,148,14190,2536,324448,10703,33192,29759,23992,19384,5415,66,14630,6714,7455,1130,2503,34439,720836
"Pohang",11200,11331,9177,3764,16,1,1978,16,1,35086,128445,13935,5562,12441,36445,2593093,104404,4,6841,7110,16,4890,790,7427,166,3,2037,34097,1254,382,6,7770,3,144,12,0,181933,3810,2,2885,12588,138,51,666,14873,3663,5,30,0,13,1,1806,2509,149,8172,6040,15,65,6461,1338,7746,5,3120,4,22192,26,135,7111,0,8,5682,7067,10408,258212,2046,7361,5,2,29206,2,1143,183006,25096,1,90,80,17409,14,1423,1462,7887,2343,212,1382,5416,296075,11424,10,10973,9902,21397
"Pyeongchang",4928,18245,19071,273,522,14,2726,126,31,4117,4626,2381,16363,170,18594,32231,24315,65,1136,3500,118639,548,3718,9992,981624,116,391,601,445,120,12,1416,30,290,44,21,1683,23152,73,736,48676,5373,331,1995,610,393,63,367,18,180,13,292573,7135,332,4405,2049,353,219,13200,1351,3002,42,3266,262,977,177,422,627,2,122,1138,670,4621,1414,877051,843,72,135,1725,85,1188,572559,63301,5,304,92,82936,213,4911,1220,424985,3156,156495,1175,38782,546,135,20,5688,60094,95127
"Pyeongtaek",325,325265,844488,8771,94201,17102,28324,6011,4362,399902,9836,563,1112,981,187830,69942,203351,2100,818899,248,1164,30,49798,18383,2295,1121,12616,16388,11201,8461,10511,128,1320,73607,3528,1999,36938,68164,107269,24,1321,76637,3883,24284,11392,3265,1754,27019,5348,5243,114,1012,1020,69961,1115534,18831,2922,5773,935,10408,27554,892,8036,7465,4355,32546,6148,170,547,1418,25358,17913,118977,8492,1378,687045,4579,4136,14066,37272,240561,2786898,954566,170,13951,3063,117780,6511,33270,13113,4451,17856,1278,20,2567,11605,6738,5930,369,5375,260967
