"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Gokseong","Goryeong","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Namwon","Nonsan","Okchun","Osan","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Jincheon",175,15204,51002,14,0,9271,61,1105,40,3529,263,3104,768941,26630,201253,14,53,443,21,2615,59651,6589,440,9596,11159,3373,1153,0,4,65,9217,8275,3,22,60989,16233,1015,5703,3066,2631,532,4974,0,2008,111,2424,2308,7,2654,18924,2661,3239,1720,9102,13156,750,4196,3,1932,589,8065,12649,1105,2553,281,3407,3111,107,2,42,301492,38135,50,655,37415,9064,1920,12924,3535,4204,17,8000,2857,4338,0,450,31420,32051
"Jinju",0,5192,12118,6,0,407862,77530,271775,20108,3,10,361,33392,216882,109481,3700,338,5,0,673,1898,730,104477,16605,69,548292,15,1,6822,2107,41,2927,3,1,6296,70973,227736,7,1,4612,847389,1516360,0,179993,4023,405,1196,19,3158,971,40658,0,31,30,102623,2561,472738,2,25450,34648,3113,1688,14730,263,3638,2144278,318259,9,2,232,164060,17693,2641,124166,9710,6,37,1458,2,468,0,1161,1,171,2,1,5205,20848
"Muan",0,25361,4335,39530,89991,4,0,0,362,0,27,555,76,22,57,0,16661,25,1,3312,31,864,0,2,4,0,77125,301429,0,0,9,11640,223221,0,251,7,2,1,1,1,1,2,173952,0,0,196,262,32702,93635,2,0,0,195,2,2,3,3,3810742,2,0,0,2,3627,215,36601,1,0,0,27950,30774,442615,102032,2693,0,15770,1,0,1064,1,550,1,489,2,5,112426,14,1439,14397
"Muju",20,4233,11092,10,0,21276,706,5636,19216,70,13,577,36001,9839,503914,1767,207,19,6,577,1716,710,2052,94264,378,17581,411,1,68,1188,822,2383,0,3,5556,17434,10962,204,37,3931,4639,17478,0,20982,744,345,291,15,2997,10031,97674,210,115,2081,4213,2020,27978,2,28942,10635,6481,2301,9894,673,3891,21641,13755,53,0,135,132811,15936,1240,5330,10315,160,778,1182,16,487,2,614,156,248,0,10,3007,17020
"Namwon",1,1053,3024,0,0,49276,3221,15824,3479,1,5,173,6929,173960,27630,69875,17,2,1,152,469,215,50178,4701,22,52816,3,0,440,28381,31,592,0,0,1979,351645,4623,1,2,323,4381,44543,0,71521,11445,67,108,0,564,19,248255,1,13,2,1756,556,47990,0,9409,358869,158,484,2395,146,939,31235,32294,7,0,10,37367,3863,110679,1424,3040,2,0,404,0,133,0,268,0,69,0,1,1250,4548
"Nonsan",220,1642,10196,1,0,6164,160,1535,5876,3709,36,1614,78892,28718,760250,5,31,72,84,194,5893,3225,531,13322,10914,3716,16669,0,3,250,11759,697,0,37,7457,190361,114,5318,3435,27403,234,5085,0,1499,99,898,1448,0,812,198624,549,22832,507,70345,161509,6985,3799,0,6398,159,2205,21425,3229,938,881,2908,1529,1004,1,3,74095,5306,4,87,2866,7061,25630,5359,1485,1728,5,2017,5127,20304,1,129,8358,6931
"Okchun",196,9293,24439,22,6,9986,15,259,57078,7590,18,896,353867,64887,1885941,36,589,60,104,1211,7708,2393,418,8871,39912,674,1482,1,3,20,27461,4449,7,64,10497,18016,1468,15373,6221,14927,724,1717,0,1672,50,456,725,43,8428,19461,2863,2158,271,10016,18117,13136,4143,3,4435,1343,24292,76030,21877,648,12222,4307,1383,913,2,459,171754,27777,72,1276,16547,13597,3179,3698,3644,1014,5,1618,9360,101657,0,75,5620,27696
"Osan",2393,88579,547888,8833,1482,40364,241,3475,575232,10418,4574,5067,263709,90550,263070,10,28072,2009,180,29788,4078,16113,1982,15789,32172,10809,3326,907,11,254,47205,50575,5605,86,8414,66230,2717,24433,8839,3506,2158,21807,601,8384,284,6838,5022,7828,37068,35535,5444,6009,8481,15761,43780,1010,17378,4402,9181,2417,3323,23137,4571,8475,71641,10201,7215,674,3208,15128,3236749,273915,110,3632,378553,32663,5013,34824,10121,11694,279,17776,9668,12311,656,3512,60718,727147
"Pyeongchang",4798,19653,16162,582,43,2370,0,1,4418,3899,5912,23616,14296,25488,19411,0,1689,3931,709,4661,8778,840486,11,420,112,5,276,28,0,0,50,16837,158,1010,31754,4961,168,1494,505,265,41,12,23,131,1,293262,11942,538,5182,2149,289,336,11931,1282,2360,2168,228,243,487,118,918,619,6394,710341,1641,119,113,1,108,2007,531921,73272,6,119,77135,2443,491,432902,639,213974,2031,59314,425,156,30,5233,45017,68114
"Pyeongtaek",501,328273,317260,86658,26115,22606,113,2415,179146,5677,502,1578,121859,43854,122420,2,492263,333,54,30742,456,5012,763,8571,19956,6709,7576,13226,2,117,22634,83140,91647,18,2266,18186,1309,14982,5202,2146,927,12807,5780,2579,112,1653,1589,67669,802822,9760,1632,1593,1563,4319,11878,79,6047,31580,3922,911,985,13201,82724,2079,583169,5213,4847,268,29208,184459,2684193,1098285,1704,647,127244,16973,1384,8285,7618,3357,36,3348,5745,5275,6433,1052,14688,280054
"Sacheon",1,5567,15301,7,2,248912,28860,114930,23023,1,12,228,35909,117517,141659,5187,449,2,0,674,2227,535,45057,18321,61,268667,19,0,10615,2456,44,2897,4,0,6994,95967,254615,3,1,2690,475674,503828,0,50977,3912,152,224,15,4039,1001,46994,1,22,28,22356,2557,1834503,2,24460,25408,3161,1862,10262,149,4634,608352,174098,8,1,223,174528,29052,1280,152623,11735,2,31,866,0,430,0,957,1,205,0,1,3506,21873
"Sancheong",1,3017,8183,5,1,54771,4122,27213,11198,1,5,182,15974,35761,49871,2055,163,0,0,456,1476,364,48905,10854,42,69057,11,0,317,5067,26,1698,1,0,3770,9228,16070,3,0,935,25729,99061,0,74124,4174,96,347,7,3895,329,54415,0,25,24,4348,2564,277276,0,14646,32476,1620,680,6240,111,3207,161999,103709,4,0,82,87049,11061,2718,9597,7522,0,18,529,0,149,0,550,0,83,0,1,2699,10702
"Sangju",90,301,528,2,0,32157,0,1,1516,88518,1,22,1248,614135,10976,1,19,13,45,35,46,33,0,209,11481,2,79,0,0,0,567566,99,3,38,192,468,10,36243,24808,197,2,1,0,9,0,3,7,5,161,978,25,61,16,428,1230,73,21,0,47,3,939,573,533,8,176,6,6,6241,1,43,5144,927,4,5,452,38166,206,30,12579,8,4,20,17262,1119,0,23,95,999
"Seocheon",5,14837,4575,228703,32378,7,0,2,276,2,26,213,134,22,59,0,25008,26,0,1884,11,459,0,1,5,1,20739,15795,0,0,6,6000,260513,1,155,2,1,2,1,1,0,2,4574,0,0,121,154,71624,64480,1,1,0,545,0,0,2,1,23399,0,0,1,3,2866,136,29069,1,1,0,62403,48655,216644,56773,1641,0,9161,6,0,658,0,254,0,272,5,4,5600,33,902,8221
"Seosan",364,60427,39970,206943,30984,838,5,103,7762,404,545,1488,6940,4333,9425,0,289754,377,20,10606,282,3730,33,247,517,279,9304,17297,0,9,931,26875,161540,11,1040,26,9,1230,278,66,16,454,4339,71,4,1500,1219,93017,358649,11,20,0,1735,5,28,25,269,24308,196,6,12,586,13117,2133,177628,257,82,59,44205,98724,1056424,325530,1744,4,49989,1724,1,5501,159,2295,41,2291,503,297,5803,644,6181,48544
"Seoul",240842,6541247,4343718,602101,235520,437882,2170,29534,3632848,77806,700794,13117,2739039,1038913,3104177,253,1464967,145463,15834,379674,1060644,884387,26764,149091,243487,86721,115994,155601,178,3050,280419,1050655,689531,13314,6503382,949131,44324,219964,65544,72813,34660,194444,71234,91212,4868,360680,18014,605064,4254888,482486,70926,89043,620351,249727,617141,309071,179532,420123,137929,41225,90717,187776,3488800,623978,2117614,159841,75847,6277,223533,1123255,71868,706566,11554,32056,4162329,233455,72765,1561013,72085,501288,35391,871990,115393,118151,91671,277897,3220483,15331306
"Siheung",35114,3102219,399711,146522,86592,80329,372,7643,432119,16538,98175,10953,387924,166103,372219,13,592332,22701,2457,460518,127816,143352,3281,25316,48569,18133,30062,48925,20,420,58954,1499870,292821,1387,9843,64860,4876,44630,16006,10053,4073,37678,19979,11137,440,62475,15863,152990,1861322,30729,7012,5616,110126,13787,39617,38068,24577,118805,16869,4291,5672,33103,287721,74646,814556,29014,11403,1097,72150,370177,820292,566,4319,3396,2182297,50457,4168,241455,18012,100057,5737,113473,21344,19307,25408,47592,334089,1781601
"Sunchang",0,18,68,0,0,1647,375,787,33,0,0,7,226,26769,864,39586,0,0,0,4,15,10,7231,209,2,2416,0,0,283,4419,4,6,0,0,43,294986,195,0,0,16,77,1953,0,6049,1048,2,1,0,4,0,10355,0,3,5,139,24,2946,0,907,113321,7,24,41,2,15,969,2878,2,0,0,803,56,4860,818,69,0,1,32,0,5,0,8,0,12,0,1,41,71
"Suncheon",0,978,2528,1,1,170140,12550,64207,2667,0,5,173,7758,108190,24033,107709,18,0,0,138,509,292,5995,2797,31,202809,0,0,292544,1355,22,473,1,0,1732,2371822,950983,0,0,215,112218,145735,0,3478,982,72,164,1,551,23,1416,3,31,2,6008,679,148379,0,5528,1346,80,580,3778,120,581,151635,10362,3,0,3,33652,3814,21538,1195167,1904,1,1,574,0,178,0,298,1,75,0,0,1405,4454
"Suwon",30324,957197,583541,31380,7650,32948,233,2848,444808,8475,99312,23795,308064,91983,280899,11,83183,20625,2248,263521,145865,122193,2206,14650,30509,7204,4980,4988,6,287,41103,802352,21707,1575,18434,61691,2814,19764,9085,4429,3304,16288,2673,7026,325,67727,25978,33680,322306,31685,5386,5463,87648,14164,40730,37304,13384,19034,12132,3382,3669,20036,485518,84865,150241,12735,6325,573,10859,59908,4444072,2273613,469,2156,3414073,22285,4475,260818,7080,92114,4788,200600,8916,11916,3206,38752,595285,3532138
