"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Sunchang",1,9,74,0,0,2250,182,1031,78,0,2,11,248,29429,860,39055,4,0,30,0,0,25,7,8062,334,5,3576,16,0,2,272,4,4436,346,6,9,0,0,51,252654,214,0,0,7,100,2941,0,6468,969,4,6,0,14,7,11556,236,1,104,341,18,3305,0,829,2,105700,4,35,40,0,3,19,795,3936,1,0,0,764,46,3852,893,46,1081,0,1,49,0,13,0,9,0,4,0,0,40,68
"Suncheon",0,574,4040,6,0,156244,11655,57646,3222,0,11,283,6452,98491,17099,102824,37,1,65,0,82,575,217,4365,2324,20,184591,770,0,1,289028,133,1099,12403,13,363,1,0,1722,2142436,980807,1,2,198,99807,139120,0,2562,800,159,113,2,729,375,1342,2750,8,2705,17769,581,118742,1,4012,2,839,489,425,2322,1,109,731,86501,9311,8,2,9,29777,2216,1182,1351272,1589,63108,2,388,567,19,170,0,381,0,56,0,2,1141,3585
"Suwon",25996,880529,562295,30863,5656,22929,40,1231,468267,6632,95183,26043,292966,125765,273154,70,79306,19256,39165,1186,259772,227395,102681,2529,15470,19479,2016,4848,4067,22963,52,63421,139,2923,62031,936920,18861,706,15220,80848,4239,23371,8307,6038,3089,8853,1915,7301,390,69477,26733,35065,271385,41926,5750,7132,73019,18432,52824,35091,11471,16047,12062,22221,2967,29924,18126,486921,17958,93866,172387,6050,5583,69316,10068,59860,5424588,2148056,49,2008,3726614,10397,34343,6862,268947,20117,68998,1245,206921,7837,9254,2538,41083,541144,3819410
"Tongyeong",0,3185,10647,14,1,72950,8836,29024,20565,2,20,521,26510,78392,96545,3018,620,4,146,0,444,1238,658,20988,12790,65,85237,30,0,4,5203,112,1874,2248458,48,1645,0,0,4762,47006,74706,3,1,1348,67796,48866,1,21962,2993,167,271,51,4462,778,38259,71,15,143,8611,1554,605845,0,18845,1,13558,1954,1175,7840,2,217,3824,102822,64696,7,3,362,134670,17603,1326,67973,8024,3471,3,41,1026,0,478,0,846,1,131,0,1,3191,18439
"Ulsan",36891,22555,19715,47,2,2654072,0,1,86735,92695,25883,9063,62484,981501,147040,0,3670,26809,147,9093,1259,11315,1405,0,2916,28429,2,915,2,18531,0,254,0,0,184509,8341,4,4658,19935,35,0,1049905,185086,3129,0,0,0,10,0,4394,5584,187,19031,22132,62,16,13841,1970,23849,5102,3,0,211,7532,9,9697,10672,33280,1018,4292,23141,4,4,27047,5,2998,274135,52786,0,0,33945,2,2468889,1582,17057,2694437,1573,3447,6172,204854,17275,0,37660,19723,43641
"Wanju",72,1881,10543,1,0,218,3,26,17236,664,26,870,26306,5794,115711,156,68,19,368,28,284,2201,817,5,1779,2476,79,24767,0,13,90,5551,9,13,2865,1251,0,7,3368,290900,77,1342,511,7336,7,118,0,28,1,420,578,2,3176,55834,18,29609,127,457396,41670,2181,63,0,781,23,1,26419,3780,7533,1266,617,3335,18,26,436,0,19,85606,6915,2,338,5360,55,1523,595,1764,102,566,4,1059,570,1922,0,27,3569,13236
"Wonju",51960,72003,71249,2531,178,11701,0,3,13054,17055,11616,613574,80122,104971,82389,19,4918,90937,117832,12875,11107,49839,409577,38,2374,2131,9,617,60,4560,6,1060,1,124,4801,66895,526,6704,172710,15702,1424,14413,4010,5123,321,19,60,492,1,535174,218518,2273,20418,10405,1669,1609,835290,5515,10754,16584,1079,675,1399,2283,420,5991,3205,23714,7214,374817,4169,550,481,6659,569,4889,1513368,220681,34,422,249738,777,19288,1660,869009,11641,126526,9855,140938,3626,894,87,99765,191442,357584
"Yangsan",4078,3563,3663,3,0,5145275,1,3,14954,17545,5767,822,11350,96694,21921,0,224,1226,26,979,504,2319,271,0,237,3738,2,12,0,4119,0,21,0,1,23578,1740,3,553,4547,3,1,816986,38554,330,0,3,0,0,0,288,477,13,2753,567,0,1,1181,20,324,825,1,0,10,1742,1,1617,1896,5271,350,321,4408,0,2,3863,4,157,42478,8722,0,0,5507,0,2726209,14,2617,2827176,216,301,998,68361,2348,0,2813,3368,8838
"Yangyang",3261,14224,12133,786,50,1570,0,0,4064,2706,3774,9472,16644,19698,19516,1,1040,3021,214693,373,2150,6660,138099,14,503,480,1,145,29,1294,4,269,1,56,967,12767,197,389,24929,5301,285,746,381,535,67,6,21,151,1,60156,3647,439,3805,2360,358,385,12740,1191,3089,2507,265,217,290,536,105,1130,659,4337,149,177936,947,148,111,1228,146,1188,280518,56858,15,122,55601,402,1557,428,153418,1323,967,1028,30747,261,176,27,4432,25461,58373
"Yechun",30239,384,41,3,0,1866,0,0,11,8853,4,3797,16,49753,65,0,15,18583,322,2383,95,20,1638,0,4,20,0,0,0,1,0,0,0,0,37,251,0,3017,529,1,0,1970,1261,1,0,0,0,0,0,1483,1868,3,53,10,0,0,12379,3,8,4,0,0,0,0,0,11,4,72,1065,882,9,0,0,4,0,10,6917,1293,0,0,891,0,3321,2,8973,1747,984,160,399,817,4,0,36036,381,757
