"","Andong","Ansan","Anseong","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Choongju",70,30973,2222,273,11,21281,597,417,515,9742,77672,4612,1228,674,129620,1278,11,605,174,2178,16,4165,57156,7711,13,41,7255,3971,8,5,54786,2,31,217,12,45225,24375,20,14,84192,420,71,18921,11560,28,17,1899,2,15,6,3103,3231,359,7043,190,15,28,427,141,254,205,102,7364,24,20,37701,20,112,88,4914,12544,3480,514,44,26,127647,28,759,671512,78662,3,41,93368,54,37600,44,12114,27563,4093,7,42685,10059,945,1,82,73803,90728
"Chuncheon",21256,4886,14982,759,66,6030,5,4,4497,9652,4375,2626,444,27061,66578,36971,121,1092,14777,17782,2497,701,11583,42102,23,1064,1043,925,254,27,2506,60,526,5,79,2439,3053,199,3307,3176,8043,471,6420,1924,1221,134,32,28,261,0,411644,1308055,764,1955,3900,695,712,125908,2240,5587,3976,598,1935,258,610,932,238,2619,1210,3309,5332,18845,907,240,196,3162,202,1469,11943,8656,16,486,21788,572,10207,890,676371,5921,5949,4050,23058,2042,371,27,22963,24453,41658
"Chungdo",5,2,3,0,0,56408,0,0,7,11,2,1,1591,5,478215,12,0,0,1,0,1,0,0,0,0,0,4,23143,0,0,1,0,0,0,0,15,0,0,0,2,0,0,13914,152,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,202362,0,0,0,0,0,1,3,3,0,0,0,0,2,0,0,48,9,0,0,3,0,42366,0,1,93158,0,0,1,793,2,0,3,1,5
"Chungju",471,121523,552469,1708,16,51528,771,3028,991086,23010,1311,29656,2675,2213500,279452,3864986,2888,15834,799,13485,200,17576,475572,42892,4265,126003,85981,12975,9908,14,472,1567,3909,826,5322,129431,56061,35,171,307474,174070,18353,57398,16517,67541,6685,26817,8,15625,573,17999,22704,3101,123748,165397,33032,20402,3450,83898,178299,545535,32136,14311,118,34846,307,6286,96432,358314,275431,30687,23700,170995,16514,16475,8486,138,16506,2810701,322194,326,13205,275688,29568,79994,28081,89063,52582,22618,19,50415,21225,88153,19,814,320211,465302
"Daegu",1332968,108057,112917,257,27,982594,955181,373382,390773,6171345,160613,84837,363929,358929,17047833,875198,31062,16708,139141,4629,766846,12523,82408,38156,557024,16368,685208,582609,2219,227,107267,2361,1456,1701113,9961,5673582,58525,18,555033,166399,327814,202606,1984554,4030630,21611,74645,2208990,9,85709,294492,31767,57115,1360,72688,41771,65669,14490,130152,10149,75931,29045,237201,582519,102,9262,97361,140818,42068,80134,135192,2699034,45118,99990,129477,41762,567475,11,13461,1910311,270090,29153,86030,175556,83500,1355974,5533,146562,651513,28535,74009,55265,3276619,143843,63,561099,142892,313915
"Daejeon",3405,89932,469166,495,9,130727,1992,13689,1653407,48248,1537,39213,6746,3821108,709149,9861066,7799,34262,1014,15182,1205,13476,148098,41875,14963,1320353,269532,42416,47296,22,592,4057,3910,3012,18252,298352,47982,47,740,161613,443833,42215,141715,43133,549389,19663,114352,24,71264,2917,18063,27827,1705,150814,704671,98606,52092,4883,253403,782242,206303,108575,30164,145,496262,1829,23397,808700,1493193,298218,108798,29030,184226,66267,52761,39001,37,30769,2971716,310925,1195,36739,246957,107851,194337,120297,93920,108080,22307,64,42438,55783,477756,38,1094,152461,535360
"Damyang",0,501,2074,35,143,7765,376,2998,4117,3,3,135,1,2681,37207,8282,13440,36,8,34,0,69,319,106,6108,325,30,10390,6677,807,1,142519,777,3986,681,61,307,181,0,542,703671,24813,1,0,405,3389,7994,8,4245,1197,85,72,23,833,2997,10122,20397,12,13261,12138,215,6477,1,115,1247,2,63292,3339,228,1865,5,92,907,4183,2346,29,15,45,18900,1799,33048,136694,1321,3701,3,3715,291,0,70,0,136,0,33,118,0,817,2938
"Dangjin",296,163727,143800,90624,22068,6227,61,363,16656,3404,509,1125,242,18703,32086,41574,105,247053,205,1139,26,28384,571,2015,123,1218,3832,1463,6193,8745,114,15,1876,59,293,6071,44005,95130,18,740,1314,517,12092,1741,271,240,2441,3574,389,13,940,1323,62957,1040765,326,108,75,935,152,589,33,1129,1691,20549,508,93,67,1365,2175,50096,6222,1403,810489,585,388,627,28819,168333,1723843,642404,1,493,68694,1221,11415,56,4145,5823,1178,21,1986,6763,954,4092,394,3819,87366
"Danyang",87318,6032,727,88,4,8018,0,1,295,39010,58,11629,790,579,129043,1005,0,187,36871,1037,8165,768,469,5346,0,18,51,1662,7,1,24,2,14,0,0,124,4387,12,6261,9551,89,4,11169,2587,20,0,3,0,2,0,8344,9276,82,1197,130,8,14,161297,66,166,138,1,3019,3,12,10,1,64,51,1150,7512,3087,118,0,0,17,17,171,98427,15843,0,1,16009,2,28000,42,89695,9284,2644,28129,8549,3599,34,0,252515,7621,15893
"Donghae",526,14791,8415,520,22,128,1,0,2691,891,1774,16945,13,11218,3809,13998,43,1698,1142,59575,81,2188,5011,1155009,4,299,229,22,99,12,874,62,189,1,10,361,10787,89,64,21373,2787,107,76,53,731,20,8,9,45,0,93561,4096,348,3393,1697,148,442,8363,1141,2245,2335,88,60,128,142,585,43,832,662,3306,13,159217,863,75,36,588,99,1044,262930,42430,6,124,36945,155,163,357,142148,130,267683,287,18765,23,151,20,759,21024,43345
"Euisung",47239,246,85,0,0,7472,0,0,343,101837,12,2647,2015,226,703092,1400,0,12,6133,103,562,48,33,790,0,34,378,1509,8,0,19,0,2,0,0,415,188,0,17758,395,0,0,7502,10031,27,0,0,0,1,0,1148,1338,2,98,144,1,1,4883,31,97,17,0,3241,0,1,9,0,79,78,91,4574,611,29,0,0,45,0,14,5782,831,0,1,884,0,12780,14,11628,8032,397,2211,349,3233,128,0,21312,355,689
