"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yicheon","Yongin"
"Haman",17,16228,22073,3617,148,3632,586196,886748,664890,56166,74,19001,716,4,50059,1523679,132932,11307,6172,15,110,7,1894,9738,389,63744,12420,67306,904557,1499,5101,11421,11393,983,41559,18533,25746,8459,192,1,18288,139145,246991,45,18,5756,294722,5343559,98,71802,20171,400,471,193,22049,19219,6916,4277,24,6039,460981,4587,4699,1452855,14,445,20342,9156,1,19256,7218,3501,24210,35,423,20101,608717,99668,40376,59,4308,284352,44595,1965,142972,55840,25153,59318,70,59918,2888,28,326,1,8018,20,3516,2572,16,17893,27425
"Hampyeong",0,2697,1265,10,6550,19541,122,7,40,1315,1,2,19,0,384,229,1153,395,2544,0,15,1,586,103,21,29,30,16,112,14615,40833,1,316,331,23,9,18,1090,41774,0,67,579900,174,1,0,66,43,97,5751,65,4,14,20,3826,14420,167,27,982,4,495,453,25,33,50,0,274989,21,2,27508,266,178,20,981,0,11,5024,36,12,52,2812,2802,44555,9473,84,691,9,1392,46,0,387,58,0,12,0,43,0,2,18957,0,118,1218
"Hamyang",2,6265,11293,120,10,1738,32373,4176,15335,15476,2,121,528,0,18588,89899,63291,3638,636,1,61,0,310,1256,382,140392,12814,1304,42353,1887,771,119,136,402,12828,11883,761,2203,11,0,4579,24396,9189,4,6,863,9442,61502,60,174284,5707,142,263,16,8877,15043,38896,705,9,1603,20544,8823,1759,162761,0,96,25199,157,0,44678,3928,283,7739,11,175,4966,38953,68719,846,6,392,92879,7855,2714,2661,2375,6550,24758,10,43906,820,9,162,0,944,4,29,368,1,2426,11692
"Hapcheon",1,119,264,59,5,64,10037,10699,5602,650,7,236,14,1,662,291101,2812,863,27,1,4,1,8,181,12,57758,340,2006,13335,68,164,178,27,31,146076,355,1226,97,2,0,300,5490,1109,3,1,66,615,20946,2,5047,3773,12,14,4,270,656,613,122,2,143,806,414,30,2961,0,34,454,187,0,5081,206,37,258,1,10,107,1479,2657,789,0,33,4814,388,387,562,3851,427,2322,2,2424,38,0,2,0,198,0,92,67,2,255,401
"Hoengsung",8779,21392,20630,194,542,26,4101,91,15,3072,3369,2517,436102,180,18539,24573,18522,69,1108,7996,102276,1155,3403,12080,296534,130,621,499,460,206,13,1138,37,252,71,30,1164,20614,151,1199,43979,3813,230,2675,598,524,102,299,9,141,7,142473,62669,432,10423,1767,485,316,36596,1366,1982,57,3234,297,1189,239,252,637,1,102,1585,326,4451,1592,298464,1352,146,122,1627,102,1081,364197,58460,0,265,157,76137,272,6514,1249,678182,3842,46038,1492,37657,732,84,28,11884,59529,87551
"Hongcheon",10096,5686,17667,330,705,42,4360,82,41,3635,4726,2470,1252649,372,21918,37450,27680,111,1179,8999,3154,1072,833,10495,6527,67,737,831,585,311,21,1237,51,366,122,71,1772,4507,194,1661,2283,6119,494,3577,945,1782,98,382,17,274,8,76303,1903,513,4609,3174,676,646,29450,1630,3785,86,4597,1979,1695,298,403,1081,0,155,2102,469,3086,2089,4924,1174,270,247,2175,172,1117,15837,10236,11,530,306,23690,519,6321,2426,254587,4673,1180,2098,14054,1076,151,36,12007,20017,40777
"Hongsung",38,22704,36326,94,195919,19000,370,46,56,1471,86,110,682,20,4019,2130,11433,1449,67695,77,393,1,18984,6938,903,13,180,320,152,7138,8988,23,637,235,26,29,772,15002,133912,2,745,30741,1057,330,86,114,348,291,3617,29,3,438,427,46,220437,15,10,2203,242,34,42,1,1067,107,70,22445,94,29,199,123,174,142,14382,340,561,88285,134,21,340,57353,83931,489229,103019,116,7539,32,24354,161,564,13,2529,219,390,3,1561,124,46,4122,119,2597,19632
"Hwaseong",4780,457909,826384,9691,238800,55555,37512,5880,5161,692208,6473,14814,3411,1345,313028,90398,312066,4756,1095859,3400,8245,126,57229,122127,15682,2279,16964,20210,12665,22668,31448,3023,3487,73778,2929,2860,59598,79123,190078,86,5220,145199,6143,28718,7262,4745,3823,27925,14959,9533,288,11576,5197,213277,940066,34091,4277,14445,11698,17403,48434,1527,41897,13259,5461,103002,10895,3164,1146,2658,42062,10913,123247,12905,15368,1298253,7288,4984,19899,79464,447218,6182451,1541226,258,27511,3321,328316,14027,37646,35602,44178,20475,8778,181,36795,8738,4384,22573,6825,94961,536637
"Iksan",179,9321,52659,1848,20,11,23674,1695,8652,98540,3691,165,3295,211,129426,42491,559333,3355,1462,90,1366,80,1409,10710,3203,2739,6775,10530,22855,70008,194,75,1744,23722,3490,3125,23305,5967,19,52,13229,174448,2334,13853,3616,37103,1312,20218,209,14072,702,2096,2771,16,34704,23145,32666,29381,343,107168,65826,33586,11359,12135,352,2216,32030,230,10,1734,100673,6549,43425,5755,2081,18929,6329,9059,7744,9,541,378370,28020,74,10132,1420,26768,11786,14298,142869,9915,323,1840,4,7103,5121,2744,494,241,20999,43151
"Jangsu",2,1610,7208,154,10,125,7590,588,2520,7800,2,34,653,0,23936,20195,81806,7589,129,2,156,0,221,2488,489,6204,26652,251,7978,2637,795,30,157,495,2382,1476,206,906,11,0,5283,77153,1315,13,8,722,1062,6807,23,37170,769,354,433,8,4228,33362,2719,1487,24,3461,14095,20426,2234,7594,1,211,121178,32,1,213652,2963,523,5586,19,572,2470,3912,7211,279,3,119,69072,4771,7386,480,380,4104,5394,8,206546,1508,1,296,0,1244,3,75,430,2,3875,4785
"Jangsung",4,3536,10550,325,4193,16852,3273,200,1630,18654,81,26,878,0,18018,11292,45194,14008,2336,17,356,2,421,1679,869,834,711,654,4660,55739,42531,14,29886,4420,784,441,885,1602,20245,2,3096,610863,13800,18,7,3723,1073,3438,940,747,181,422,577,2500,12817,24569,1810,61075,89,150991,57442,720,1282,1744,0,9754,741,29,17,8677,23758,944,8361,28,345,6364,1259,307,797,1609,2319,92133,11041,3351,54667,631,5248,1110,13,32366,1652,1,392,0,1366,24,172,6997,2,4949,8321
"Jecheon",82498,33554,4289,31,672,24,10836,4,3,1653,24000,207,137534,745,2239,131297,4190,24,1576,185871,6335,5391,4134,2474,26579,0,93,89,1563,57,9,80,11,134,1,1,128,29149,194,6000,62378,1684,30,10654,3913,93,4,10,8,13,0,64106,47081,490,15877,602,34,135,103725,500,877,15,503,17,5111,140,68,27,0,12,352,60,5989,6306,12926,1207,3,5,38,93,916,660033,96754,0,28,2,98311,14,21493,508,942238,11587,10191,14705,36405,3232,21,14,258057,53663,85085
"Jeongeup",50,4545,28908,988,40,123,5660,494,3007,48379,483,76,2098,37,67260,12262,197501,9110,655,82,1185,23,679,6512,1911,930,3808,4733,7846,190745,883,47,11913,11250,849,599,6068,2926,115,10,8912,732117,8293,640,739,13979,1679,6079,561,1702,224,1260,1564,13,17043,105024,3618,135804,297,81913,294711,4701,6208,3078,18,3416,5956,128,10,7026,62966,3535,21413,1023,1342,9171,2324,886,3461,20,245,205302,13926,1250,44738,256,13175,2785,1191,274328,5639,18,950,1,3995,569,1094,1145,17,10041,21337
"Jeongju",192,13331,69561,2277,49,213,124416,21909,84780,139678,5068,380,4735,165,137503,69203,624695,7886,2244,132,1784,51,2005,11173,4850,5810,6925,10701,166788,104520,767,233,4854,31403,4161,4748,20478,8585,57,39,14008,536708,25416,8121,4185,31943,30616,444580,505,16938,926,2334,3048,29,49385,77412,14289,52495,513,309321,21356,11659,9934,125980,197,4636,17354,377,11,1884,131569,6249,61665,5263,2623,26850,53339,20616,8506,19,830,535797,40884,238,36182,2379,38324,19086,13948,51122,11734,234,2310,0,8273,6050,2590,1218,41,24100,61470
"Jinan",0,497,2463,33,1,1,3862,441,1940,4862,10,11,98,0,4015,12079,14502,91,78,1,42,1,71,283,94,1768,2580,103,5706,2064,19,7,24,1327,2807,832,91,307,3,1,614,4349,589,14,7,1056,429,4665,27,10708,761,79,83,0,1773,35409,30703,685,7,5292,14529,5429,306,5136,0,166,17574,12,0,1006,5752,117,2219,20,68,1006,2378,4417,125,1,34,20248,1540,53,205,220,1456,3521,17,101127,360,1,67,0,240,4,9,45,2,550,2176
"Jincheon",75,14739,118006,7133,1464,60,6283,1148,862,1627,1573,200,4067,232,487802,18583,189556,461,8182,212,2781,12,2809,57995,5048,301,6953,3945,2408,1092,36,54,277,186,1123,389,7161,5776,774,3,58066,17849,2449,4814,1868,2851,606,4663,44,1468,42,3393,2955,1228,38102,11714,2696,1391,511,6814,10105,257,387,2952,884,670,1558,31,0,433,8768,5388,34205,2040,3176,50710,1236,2430,3556,323,3045,323319,36575,15,1189,1116,24704,2264,6270,6908,15547,6165,2416,3,14552,2615,1815,67,258,56277,29404
"Jinju",5,4250,12250,360,63,1487,389567,67393,254309,23880,7,1540,789,1,30055,186987,94899,6853,1540,1,93,2,483,1821,542,82837,14576,5995,553719,886,2353,977,6354,657,2456,320066,2550,2741,84,0,5186,63917,256656,22,4,4377,761815,1417435,30,167770,2874,293,1544,86,11495,11786,6439,1978,15,2953,160311,3744,2347,399649,3,123,27279,730,0,20222,4823,619,16192,4,364,5885,2496648,188125,3730,21,1073,154672,14500,1680,111291,3877,11008,663670,42,31786,1531,22,335,0,1708,3,78,993,6,3781,14355
"Milyang",34,5,10,0,0,0,434459,0,11,39,65,9,7,253839,29,1157181,77,0,0,9,0,7,0,9,2,0,0,19,149935,0,0,7,0,0,0,0,97,2,0,4,11,2,2,101409,846,0,0,0,0,0,0,0,4,0,11,0,0,0,6,0,0,0,1,0,1356874,0,0,7,0,0,0,0,16,18,0,7,0,0,14,0,0,223,35,0,3,0,18,0,264564,0,6,658441,1,1,4,5166,1,0,24,11,20
"Muan",5,18822,13072,105,35757,69048,665,34,209,13862,19,35,392,0,6180,2239,15665,2074,19979,14,241,1,5946,918,461,235,291,363,639,69343,315342,24,1215,2428,143,56,305,10414,190707,1,845,2373673,285,9,7,1394,106,444,293793,102,41,187,230,25449,109677,1663,295,10390,97,3475,4357,135,659,171,0,1043789,310,23,86814,1263,1727,166,10111,25,201,35479,160,35,357,18466,19595,335655,79690,506,1038,50,12593,235,17,4507,935,0,215,0,736,10,62,95044,6,1355,12220
"Muju",7,3475,11557,203,70,7,12423,552,3687,24814,35,39,503,1,40194,7448,499219,1551,776,10,121,1,495,1357,344,1846,94820,253,12284,1866,71,28,69,363,773,3918,550,2177,32,0,5729,18352,14394,75,26,4875,4180,16772,20,25061,495,259,290,53,10083,30437,114509,653,43,5849,18940,17222,1611,27705,10,299,32838,31,0,7144,4897,978,12005,132,434,5936,11282,13006,219,53,1195,112174,12124,635,3988,81,9536,21413,136,147860,1170,20,213,0,1091,26,57,150,3,3063,11011
"Munkyeong",7,6357,438,925,12,3,9776,2761,1711,866,4552,30420,849,586,1907,74947,4020,53,72,5,225,7,834,16963,780,325,81,9128,3987,22,4,27427,4,19,2037,36,37220,6622,41,6,17551,672,685,9421,3384,137,250,10897,2,147,138,590,869,29,2532,224,24,22,20,154,481,4,25,845,1604,26,16,1086,0,249,150,63,932,6565,592,125,454,108,85622,16,70,154720,17855,26,234,3257,20333,302,10002,165,1960,5966,418,1,7568,4924,318,2,11,15628,17349
"Naju",0,287,123,0,534,1196,5,0,2,64,0,1,2,0,15,1,66,2,246,0,0,0,44,7,1,0,1,5,0,904,1460,0,9,14,0,0,4,135,2099,0,3,295855,2,0,0,2,1,0,24061,0,0,1,1,374,1379,8,1,29,1,20,24,3,3,0,0,68969,0,0,14666,2,9,2,57,0,0,573,1,0,1,242,292,3321,885,1,11,0,111,0,0,15,2,0,1,0,4,0,0,1247,0,6,55
"Namwon",0,741,3197,81,258,5315,17157,2558,7955,3875,6,198,295,0,6523,116576,19255,47074,106,0,62,0,109,788,183,32913,3560,2137,22801,147,11459,190,530,116,11621,3902,1602,505,249,0,1824,355713,719,2,0,277,780,17468,209,44828,6440,112,150,183,2314,1489,219280,7397,3,7117,2716,775,493,20682,0,1096,6631,247,2,261098,600,150,2447,5,113,1236,9225,19282,1439,69,222,29709,2983,62149,905,2536,3001,11103,12,2010,719,5,102,1,392,2,24,3465,1,1439,2932
"Nonsan",102,11575,57650,1657,113,13,5735,887,1867,117951,2050,90,2617,180,86745,27987,743900,4361,4584,55,954,39,1678,7155,1870,850,14147,9131,4085,19735,168,49,2777,75572,1735,1082,12550,7158,36,38,7576,192939,2260,5693,4632,56989,517,5860,215,2959,148,1316,1686,134,43471,101436,2642,20170,162,63314,135285,4507,8282,3714,779,1977,4626,148,5,656,38582,8829,51599,4565,971,23728,2219,1613,6343,95,5193,421435,35355,180,23369,929,31923,3638,7552,128067,5466,1823,850,1,5277,4579,3390,409,28,10661,50299
"Okchun",97,7425,29824,363,429,27,9546,2866,2479,72390,4996,110,1886,384,388190,45533,1365827,208,2592,32,979,42,1139,8565,2185,432,16415,30721,4713,1398,18,145,88,1388,1505,760,22515,5495,295,33,11882,16017,1541,13303,3675,16406,935,6800,31,1435,69,1245,1019,169,18369,13652,1821,2350,92,8164,16031,295,12437,3333,1501,525,9812,105,1,908,18442,80166,21046,6344,580,16236,2277,940,1871,816,3388,164756,20262,23,638,1808,14720,5381,11376,6017,5124,5430,533,3,2820,4578,46411,64,25,7813,15208
"Osan",1902,101185,927313,11176,17411,4065,24741,4730,3613,773952,6592,4146,2495,1113,321829,82859,315283,2332,60030,1809,4601,35,28253,83653,10789,1874,16519,20042,13862,5633,2535,787,1647,89506,2840,2515,60153,59911,14733,37,4612,86090,3983,22241,6605,4127,2977,27908,923,7765,264,5276,3191,16264,131034,41771,5371,7183,4251,21211,59147,1848,33478,15305,4670,9848,11374,889,31,2351,46612,11033,878,10674,6623,153817,6422,4728,17356,5799,29879,2796461,263724,105,15653,2750,265560,11945,30312,43327,24457,17239,4566,85,15634,7115,4771,1973,2752,33514,495845
"Pohang",13046,10188,10270,2622,169,11,1933,16,1,32623,137340,14004,5914,14580,37013,2721291,103770,2,10651,6716,17,4928,851,7165,128,11,2141,32122,890,453,6,7782,1,430,8,2,194183,4278,573,3400,12802,122,35,626,13360,4071,5,16,7,9,3,1840,2067,162,13076,5380,14,38,5600,1190,6114,8,3051,6,22972,26,112,6341,0,7,4638,3233,10853,363289,1685,7651,3,8,30432,272,2464,185186,23655,2,8,62,17580,3,1249,1525,7392,2196,138,1636,5688,328801,5658,9,11566,9446,18548
"Pyeongchang",4809,16883,19479,226,563,47,2813,87,53,4300,4339,2532,14251,162,18498,30822,23124,68,1272,3155,116324,514,3292,10509,965063,101,373,593,419,183,11,1370,25,232,85,21,1756,23233,140,796,47839,5530,314,1922,634,430,86,346,23,189,9,308159,5096,438,10221,1978,461,210,8586,1213,2671,56,2810,251,1131,205,382,585,2,131,943,336,4291,1047,850060,1367,115,100,1742,97,1172,539136,59789,5,340,111,80540,232,4240,1568,427340,3048,147091,1129,41580,488,68,25,5630,60336,88582
"Pyeongtaek",375,306013,804213,8673,98897,18331,32202,7653,5258,377934,10027,531,1354,1002,277704,76692,235087,2572,746465,448,1991,32,57007,164731,2944,1315,14250,18787,13087,9205,10392,100,1696,53893,3712,2011,41462,67477,107568,27,3260,89594,4492,25284,13142,3399,2087,32169,5120,5626,147,1924,1402,77070,1146980,20981,3194,6751,961,10648,29991,980,56980,8600,4502,34087,7029,163,450,1481,27882,9418,118392,9578,2217,661829,5240,3786,12822,37831,233636,2456735,905351,142,16689,3358,108582,7166,32048,21864,7459,18665,1609,18,4757,11583,3840,6414,590,8931,156191
"Sacheon",3,2791,7802,196,149,1331,274826,27486,140047,15391,8,751,371,0,17405,126535,63877,4317,719,1,59,1,280,1351,356,25199,9685,3747,328849,471,1455,512,5923,360,2364,40988,1996,1542,212,1,3483,48647,202127,14,3,1583,323791,590184,28,40073,1681,156,459,128,6939,7009,3704,1919,1,1983,77626,2269,1228,2141249,1,134,12327,386,0,9255,2976,419,7144,4,160,4337,337778,100758,2532,56,866,80744,9685,464,85130,3381,5801,128792,33,19344,1025,15,205,0,966,4,33,838,5,2273,8078
"Sancheong",2,2761,7711,107,20,211,54791,3874,30624,13268,3,114,324,0,14778,41147,45052,1971,534,1,59,1,299,1232,338,41456,11284,880,76832,981,459,99,268,371,4166,31337,679,1534,7,0,3270,12044,20678,2,2,765,24611,107034,10,79011,3878,133,290,17,5776,12149,6507,376,4,949,29788,3529,3009,212513,0,38,14835,99,0,19993,3247,251,7173,3,152,4372,128390,73800,658,11,455,81993,8279,1541,8827,1208,5319,64802,6,30843,865,3,141,0,1007,4,17,298,0,1916,6861
"Sangju",62,27603,19720,53600,349,91,37911,14604,7096,83857,32343,104239,3983,3337,204979,550618,167644,385,2113,20,589,43,3187,48368,2746,1860,1900,71223,18288,779,47,102647,48,738,18299,205,366636,22487,923,59,61459,8893,4017,31473,23682,5654,1245,43264,41,1018,906,1760,2293,355,20168,9474,255,771,56,4654,11348,114,4049,4721,7112,371,229,91672,1,1601,9039,1054,23494,32398,2096,15839,2891,624,383570,358,2689,603337,76712,210,1778,30178,71942,2020,39290,5218,8593,22530,1450,5,25083,20198,2385,80,18,54090,68934
"Seocheon",5,13288,11733,142,300691,16203,116,19,19,3342,69,21,170,6,3065,1456,57194,651,24218,11,117,3,4587,1128,199,3,441,349,67,8144,6691,1,622,2188,11,10,640,6185,124828,0,249,15469,668,237,79,184,162,76,2357,10,3,90,128,63186,78380,6,2,1440,34,20,17,2,299,26,30,13430,81,13,155,67,91,405,5632,311,113,39352,62,2,354,55788,40141,178677,47734,45,3087,26,7118,53,347,6,494,44,135,0,270,102,97,2707,11,888,6633
"Seosan",189,56400,88122,686,259660,19355,6005,998,1674,9041,1879,248,1166,208,18107,20889,184714,1674,177484,218,1123,23,32406,17717,2218,129,3622,5388,2446,8097,9829,84,1310,4430,651,358,14707,28413,177442,17,1346,45815,3584,6868,3555,1544,612,5892,3921,437,49,1280,1131,115654,475215,742,155,3407,660,384,1153,32,3012,1418,1015,26855,1543,107,260,243,6459,1914,28027,3122,1739,268703,1000,349,2565,52460,77218,983050,282845,140,27167,777,45969,2055,12933,760,5148,4216,1142,10,3027,1772,764,5544,412,4742,37643
"Seoul",207712,7932239,4383137,80991,551267,170006,289253,54268,39352,3531257,49902,714127,6429,16212,2634666,1015354,2948639,28001,1561231,117618,295316,5566,791017,1858474,634595,26523,149068,169283,106793,99631,104328,155339,22192,631464,34170,31264,350869,2320724,541185,3806,7135926,994628,62663,238076,56190,71375,41405,306822,50464,98085,4816,348802,16491,538296,6289491,388933,69511,90596,433167,220423,550961,18786,333781,154841,53418,360376,120302,151749,3234,32262,395917,85481,3111420,188067,621053,2701896,78451,61448,594117,198718,970825,62780,710469,1738,184966,41825,5299933,182207,324013,391511,1593693,201156,215609,8468,1358643,66425,41356,75346,268976,3722204,13987512
"Siheung",20101,6225970,403971,11607,120059,39318,59813,12960,8724,442113,9067,70288,3644,2054,300142,124292,314125,4075,607023,16275,38490,610,577453,210428,78096,2491,20517,25149,19625,18316,23354,17906,3779,68084,6934,3830,48000,1725203,178125,440,3756,143377,7422,35879,13153,6057,3828,47196,13225,9124,481,51666,7845,114599,1566460,28300,5214,12134,49926,14449,40786,1368,38753,18260,8167,89461,13186,17096,979,3021,39439,11025,281822,21852,62133,996571,10722,5678,78488,61804,271913,711403,971,319,30944,5315,1826468,21125,54253,29487,193361,32993,39117,977,120217,16204,5626,15640,33773,270870,1519588
"Sunchang",0,125,223,9,367,2326,2561,473,1180,435,1,16,16,0,336,28488,925,23623,119,1,5,0,12,23,16,6742,252,487,3838,355,6273,20,526,79,2870,383,312,41,905,0,68,365160,316,0,0,26,116,2907,140,5112,937,10,11,212,415,149,12632,4792,1,2289,676,29,15,3044,0,743,742,25,1,113404,228,11,196,1,6,220,791,2619,348,98,172,2571,490,2301,1598,732,122,1591,1,171,48,0,13,0,28,4,3,1596,0,80,217
"Suncheon",4,9735,16927,230,12499,19439,140883,10232,59672,36461,14,581,717,0,16777,83542,46751,119684,13287,3,201,3,843,1479,639,3428,2024,2377,173219,20667,26502,340,306579,7281,1322,16814,1467,2988,38086,0,3687,2057818,655605,14,4,2061,106514,131384,689,2846,645,274,459,8494,27996,9595,492,55408,22,44197,41206,179,1296,114255,1,918,4392,253,2,916,20734,240,16278,15,309,17398,93223,6285,1549,3670,15862,177219,30015,1508,1653842,1982,10512,71622,20,11678,1541,6,312,0,1303,2,37,17015,2,3425,16344
"Sungju",22,2372,2686,1033,35,37,23420,33672,12573,10565,180,4796,335,6,9892,143754,17233,857,1169,6,44,18,155,2665,300,12335,403,64507,21675,59,194,2861,40,51,59910,306,25401,1344,13,6,3741,13121,6549,175,72,350,1674,59083,4,2680,5065,171,188,28,2785,1758,562,704,8,279,2122,230,1132,4475,24,42,79,3014,0,2914,826,1065,3285,213,155,3401,3206,1043,27215,24,768,40622,5016,433,2207,80190,3605,2195,171,1770,816,37,119,2,2538,109,1568,141,12,3097,4014
"Suwon",27010,972118,506489,8807,26611,6059,27119,6074,4335,387439,4711,103992,14606,1580,251662,104543,252625,1748,74778,19033,42748,836,268561,242731,96806,1952,13226,19305,10620,4701,3522,22941,1239,59967,3132,2620,50038,935584,19317,477,9773,63109,4001,24125,6890,4045,3146,28508,1523,7205,350,69337,22117,29732,404581,29878,4195,5352,61267,15106,42686,1420,27945,10819,5531,13903,10749,19960,81,2370,32179,8195,309005,18184,92363,140389,6020,4087,72934,8298,48793,4903857,1913968,90,11690,4650,3363200,13022,33434,31100,262907,19129,50513,1154,241006,7722,4128,2450,42676,502683,3195436
"Tongyeong",5,4407,13963,297,98,1863,74025,9735,35455,27302,5,766,916,1,34815,105146,109727,6761,1072,2,137,0,536,1443,859,24601,13520,4126,99305,736,2217,634,6028,647,1919,3149338,3731,2584,100,0,6641,65956,120133,18,2,1415,88446,60973,42,30285,3456,310,635,98,13246,12238,5493,1354,20,2839,24892,3993,2060,766184,0,183,25150,397,0,11956,5162,573,13783,15,365,6532,133454,60968,2208,36,2010,181304,22377,1111,79544,2469,11550,653,27,37521,1801,7,608,1,1973,3,62,1083,5,4407,16541
"Ulsan",40838,23342,22806,3473,299,16,5577602,16,142,85989,106738,23127,9062,45767,67350,1658557,134931,4,8186,31014,93,9003,1735,15651,1048,8,3591,28529,288450,943,3,14901,0,647,4,0,166639,8734,1098,5370,22746,82,34,1158060,186185,1933,8,33,0,13,4,4164,5262,300,33426,16219,11,13,15674,1076,18071,9,6336,33,269588,5,148,8240,0,7,9349,4523,31115,730,4332,27896,15,7,30966,316,8306,277225,48482,0,35,76,32899,6,3165173,1954,16237,2843816,1257,3421,7282,227753,7957,0,39049,17025,30757
"Wanju",92,10752,57301,1820,26,45,71641,4341,24572,115218,744,136,3171,71,95106,112603,354109,4648,1732,98,1168,25,1612,10500,2483,8781,4752,4414,65560,39462,559,54,1645,27833,9385,9843,7867,6939,26,28,11588,369045,3501,1654,640,24763,3130,63370,445,47827,3033,1620,2306,17,40442,168461,225234,29887,343,291788,89814,105855,8719,39167,55,4653,157807,161,3,2692,129679,2963,50404,1688,2119,22075,20389,31568,4469,12,651,423493,32538,66,10973,1494,31191,40001,2043,87135,6865,83,1555,0,4983,982,1066,1224,27,14016,49714
"Wonju",57269,72365,83701,1039,2533,163,11713,274,243,11657,15786,8533,661033,1163,78170,108096,83356,355,6003,93325,129010,8710,11477,52607,442886,644,2228,2418,1690,632,78,3555,169,872,202,163,4361,69783,648,6251,184712,15646,2042,15524,4071,5049,365,2320,58,803,27,635479,222310,2434,40983,9607,1555,1339,568098,5238,11289,245,15347,1310,4527,871,1157,1952,0,496,5715,1795,21636,7506,402515,5839,704,435,6615,508,4367,1486614,189962,23,1259,626,251687,1286,19464,5443,828838,11468,105327,9536,134536,3401,476,132,106163,217516,335498
"Yangsan",3635,2971,4722,279,9,0,5434942,4,110,10835,18160,3327,600,95445,8892,1388715,16496,3,697,1147,923,649,375,2490,132,3,239,2421,661592,3,0,3476,1,28,1,0,14856,1814,21,513,3318,33,33,842460,34708,321,2,25,0,0,0,198,300,3,3543,88,1,0,971,4,85,2,964,13,632719,0,4,1393,0,4,1504,449,4206,257,161,4732,10,4,3377,5,419,26438,5175,0,31,4,3922,1,2706669,12,1639,2467763,108,288,920,65942,636,1,2532,2236,3537
"Yangyang",2583,9615,10803,141,564,28,1162,26,20,3019,1915,2086,3777,92,13832,15616,15567,47,739,2151,222377,284,1581,6361,125884,22,334,488,213,137,13,847,34,219,37,51,938,10019,123,370,18269,3891,321,534,322,459,63,259,18,117,5,59603,1389,322,5945,1496,233,186,5760,792,2009,54,1879,251,548,147,210,356,1,76,800,210,2930,79,191367,850,205,87,1032,86,791,173266,34865,7,289,85,41127,329,1241,1183,115388,1264,100,617,17758,185,48,16,3641,27699,41669
"Yechun",36983,287,42,0,2,0,2095,0,0,8,11629,3,3161,243,4,58628,32,0,14,18360,236,2698,46,21,1518,0,0,25,278,1,0,2,0,0,1,0,35,243,0,3420,670,1,0,2246,1243,2,0,0,0,0,0,1268,1609,2,136,5,0,0,12628,1,3,0,1,0,813,0,2,0,0,0,0,2,59,1302,981,16,1,0,4,0,2,6247,838,0,0,0,882,0,3597,1,7966,2123,636,128,262,839,3,0,41365,443,667
"Yeoju",8455,47152,58512,1054,1408,117,9268,2160,1554,8052,2409,54167,21621,583,66619,42420,62336,203,3539,4402,13033,238,9817,70183,33809,373,1821,5860,3696,780,55,10808,91,708,1234,232,15590,48652,556,169,189597,12195,1720,6786,1942,1464,559,8783,48,924,139,25711,9107,1197,32334,6729,1247,1043,17507,3655,10069,191,13817,1704,2221,596,925,7608,2,371,5382,1231,15544,5973,23176,3756,954,537,25578,300,2532,1334813,129329,13,1258,1928,233935,1639,10475,4407,114509,8047,11952,415,1049,2749,431,109,8663,238492,315981
"Yeongchun",11361,12688,9093,1223,96,4,142006,8,5,36023,171670,10644,2395,18800,26692,3251109,54015,1,4313,3455,22,3307,475,6298,333,7,1054,20524,7540,363,3,5195,2,267,6,2,131955,2724,759,2506,6558,137,11,116440,166873,1359,2,14,1,4,2,854,1161,66,13563,6339,8,70,2920,1070,8359,6,3887,4,44080,50,36,4801,0,7,5335,2827,8507,278238,697,11955,5,5,18374,204,2115,85816,24002,1,8,40,8748,1,207442,878,3907,72746,276,1056,3683,104638,4077,5,8707,5447,9345
"Yeongdong",224,2525,8772,115,128,14,13014,2994,1629,19086,9906,1041,352,888,74327,94155,393171,36,1085,27,90,121,322,2121,252,48,3059,83955,5271,395,8,843,9,276,3108,27,74421,1176,144,49,3643,3933,140,14097,5698,3499,77,8959,8,104,159,151,229,45,6385,4840,121,279,19,2142,4713,26,2903,244,2785,116,150,597,0,75,5904,38830,8038,11097,130,7931,132,46,4474,139,947,60190,8264,4,99,2789,5643,210,18997,1375,794,8727,137,2,713,6919,24527,26,92,2282,6807
