"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Gwangyang",2778,3816,5165,271,2096,4048,298266,929,26075,117503,11549,3653,1372,782,7,18193,67,131629,33959,18786,6538,5082,133,679,200,1807,839,3,9697,7339,7656,336762,3923,4828,1539,56922,1227,2122,22721,7825,545,13670,374,2971,416373,545430,927,2900,396,285837,235394,110,8383,1260,394,552,890,7036,2659,913,21187,1436,9642,34627,266,2237,299302,3,238,15697,942,1,781,1,2656,424,4612,17978,519,5538,224773,14229,3886,605,958,2841,56404,9229,148,701473,5260,2690,102872,73,3733,1796,0,16,499,188,1123,4822,65,4082,2423,515,2788,4719
"Gyeongju",35757,19320,15571,3220,279,103,1612877,808,2585,82,76983,121794,13888,6922,25063,47517,924,2005504,109893,823,11338,8849,31,6895,1083,8787,327,166,5286,1795,24460,97089,421,196,11704,19,4923,8133,26,126011,4577,1293,3721,15094,9917,900,257242,278638,4124,272,1522,7,1565,2269,2353,2390,68,31971,15093,476,518,9804,1835,10540,137,4710,284,106258,45,229,6852,0,2638,182,4859,7047,22532,418,1586,29543,366,285,26981,4065,805,10343,210078,44521,325,399,447,22679,236,1175177,5750,15492,20,908431,437,2146,5782,148361,5935,197,20553,9106,12199,29989
"Gyeongsan",34583,7819,6956,1050,103,26,92558,284,7154,470,25168,295411,8407,1903,16869,20138,266,4063645,33580,511,3153,3711,22,12400,578,7156,473,60,5067,779,26599,7001,280,130,3882,21,1716,24944,88,204875,2121,688,9119,5232,8524,2496,304240,1762,860,629,11937,0,1235,1495,876,751,24,9657,3618,228,252,3909,1181,4984,57,2907,2095,71143,49,85,3385,0,1488,37,4735,3144,6270,15595,624,14619,1637,409,23642,1199,330,2263,57504,13882,137,739,1105,6984,622,207605,1802,4327,2,65445,338,1280,2614,199438,3756,60,16046,3278,5059,6522
"Gyeryong",52,1270,9355,1484,222,9,3086,141,674,447,12160,837,36,1326,160,71414,373,17835,542735,579,2872,17,613,13,140,3567,1945,0,220,20566,3629,1309,2510,59,14,324,4010,404,352,4582,471,51,10,3760,25780,442,4201,1295,7523,305,6503,65,1028,41,713,942,61,5816,39157,806,3773,102,13480,33639,364,3303,4390,642,1034,6316,108,1,315,0,60396,10459,5489,4870,453,4025,1607,698,3923,3918,315,2519,62531,4430,14,2483,384,3054,1326,2900,27101,5610,0,2875,588,0,1578,1083,2518,128,13,6470,4101,7283
"Hadong",723,1594,3183,182,726,1644,182692,66,17434,81301,6099,1176,301,307,4,8136,11,49749,20709,3981,1003,1956,29,181,104,580,224,1,6525,2810,1725,226756,417,1261,381,5391,459,1124,17665,1839,449,1326,95,1780,47023,249949,466,881,265,116296,256611,36,8259,697,147,159,423,5177,1400,927,1013,310,1492,38877,247,689,743938,1,44,5378,242,1,751,0,590,127,3554,4362,126,3524,346825,16926,1229,801,199,564,39993,4540,49,106213,1946,2391,69277,32,2828,696,0,8,177,36,436,2900,15,557,442,433,1040,3652
"Haman",21471,18713,25936,4452,157,4484,597137,136,928785,653800,64185,28921,18042,4424,28,56044,374,996234,134494,11341,8777,5920,200,5807,1624,10187,2103,48,65519,12215,63353,925645,1377,4731,13098,11486,3559,48235,10287,68835,7870,275,3192,18311,152935,254248,1260,11584,5685,294698,5342607,63,69970,22255,1878,3003,125,30379,22124,6246,5110,7549,7119,435081,2673,5113,1513855,25,233,19521,10413,2,20785,29,6168,4696,26558,16489,2166,31963,616631,100830,45868,3962,65,9296,298094,53516,1484,140573,56779,25046,47503,117,65223,8644,4,32,2014,1235,8279,13504,4332,2375,13133,8642,18824,29052
"Hampyeong",4,2776,1726,15,5588,21770,102,1355,8,21,3546,2,0,12,0,398,336,137,1149,311,2608,2,19,1,532,79,24,0,20,18,28,71,15619,37166,1,307,2468,11,6,24,1033,41687,2,62,808356,151,9,2,77,37,73,4569,22,7,15,11,2933,13224,135,19,766,7,450,371,15,81,46,0,285398,26,3,27160,186,0,125,17,1809,15,11,6272,30,4,28,768,2637,2605,50860,9821,46,482,17,1480,31,3,427,83,0,0,12,0,55,6,1,18758,2,534,106,1746
"Hamyang",659,5637,9571,150,19,1292,32159,11,4049,15252,14739,996,121,484,102,19669,68,55615,61085,3260,1681,166,48,182,227,1114,353,0,136686,13509,1267,40939,2730,610,126,106,1417,12675,10131,1649,1478,7,108,4274,26536,8944,1810,1317,891,9143,59163,20,186083,6691,230,270,17,9547,15821,37238,627,251,1713,21074,5487,1837,174543,83,112,25636,180,0,44899,0,3101,311,10571,1803,151,8183,37476,70189,886,964,5,911,93699,8444,1995,2541,2180,5478,23563,1501,47961,1113,1,44,166,32,837,1006,38,223,412,2038,2696,11718
"Hapcheon",892,102,263,59,0,73,10980,1,12209,6013,674,1082,236,81,91,843,5,188036,2613,771,63,213,3,270,11,172,38,1,59470,427,1933,14075,83,155,208,20,74,147744,302,1927,83,0,191,284,6149,1180,3260,1678,55,600,22154,6,5144,5591,34,39,2,379,732,659,116,136,161,827,255,42,2365,168,22,423,217,0,4687,0,153,29,315,2544,24,257,1300,2369,949,49,2,58,4728,444,294,475,4096,462,2019,2832,2766,168,0,216,20,26,261,1644,83,57,393,134,235,415
"Hoengsung",7860,21564,21388,322,399,26,3783,51,545,193,3268,3018,2559,469141,211,17735,20,21385,18572,129,896,8108,110096,1314,3452,13094,307295,14129,293,637,540,585,175,13,1192,46,215,273,24,1402,20350,243,1217,42511,3636,394,2756,642,483,122,1836,16,187,33,162857,62281,265,12069,1749,413,288,54949,1391,1672,35,4369,405,1217,181,240,545,0,113,33494,1524,446,4571,1604,315811,2652,184,80,1519,119,111,895,461844,54935,5,283,148,73779,319,6541,1372,708202,2835,3966,44924,1230,38394,622,99,19,12639,275,65502,80627
