"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Chuncheon",0,0,0,0,0,262,92,9,0,0,24724,0,19,23,0,0,0,0,0,0,75469,13,4,0,0,0,0,492,0,0,1,0,0,0,0,0,0,20,54,582,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1724107,0,34,0,0,144,432,0,0,360,0,0,0,0,0
"Chungju",1949,0,0,0,0,0,0,860,0,46301,0,611,0,17291,3556,1306,0,0,7906,3179,0,0,0,6,0,0,0,46,0,0,0,0,0,0,0,0,0,71,0,1,133976,4,0,1747,0,49,0,0,0,140,0,61,0,0,578,107,0,10594,0,11000,297,2914,4315,0,5,0,0,0,0,0,5144,207,0,343
"Daegu",16056,131,4685,12,471,2181822,193579,201785,306230,0,69,0,9195,581218,656,7686,515,14382,0,17964,0,388211,27036,54,7561,823735,0,50,243625,0,166061,301782,0,5395,0,74,0,255,0,9,2512,58,0,0,12087,0,250549,0,33615,0,0,190,10480,248415,62787,2482,46487,47551,0,3154081,0,368676,23003,68104,0,0,7572,0,128788,42753,13529,0,157,0
"Daejeon",0,152,0,45,2350,798491,29133,483511,22797,61877,65,18069,587145,25522,510,607,696,0,9438,3593,0,141722,2834,29797,5333,178316,0,92683,141489,413,10644,33190,164,602,5084,0,347,149212,3172,17041,81775,40871,46476,10897,1717,91,32287,61596,84,10043,14084,157083,40656,9753,174231,206,76,254678,0,2906821,47631,603746,4672,13965,0,0,42,0,4239,228937,1864,33756,25,725
"Danyang",6089,0,12,0,0,2490,0,865,0,890,0,3743,1052,469,23,52,0,196,65,290,0,0,0,0,0,0,0,0,0,0,673,157,0,0,0,0,0,91,84,0,2821,0,297,192,0,0,0,0,0,0,0,0,0,0,366,4,0,103,0,28068,0,857,8,1747,6688,1098,0,0,565,0,3844,0,0,0
"Donghae",4446,0,3791,0,0,2731,0,603,191,525,0,1331,8051,724,55,824,0,725,124,31921,0,682,0,35,0,655,0,1097,0,0,442,629,0,0,0,0,0,110,0,5,11618,15,0,128,0,908,63,0,196,0,0,37,0,0,70,12710,258,313,0,49355,0,346,18366,1361,3172,1118,101,0,711,0,9774,0,0,4240
"Euijungbu",0,0,0,0,0,208,259,11,0,0,0,0,148,21,0,0,255350,0,0,0,0,24,18,0,100,0,0,611,0,0,0,0,0,0,0,2,0,49,0,152,0,4,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,2761,0,21,0,0,648,288,0,1554073,144,0,0,0,0,0
"Euisung",10415,0,374,0,0,5988,0,0,0,0,0,0,16340,0,147,673,0,2461,0,934,0,0,0,0,0,0,0,0,0,0,6087,3940,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,3188,0,0,593,6686,172,35,0,0,9905,0,3643,0,0,0
"Eumsung",91,0,0,0,0,0,0,216,0,1433,0,5439,0,9561,87,116,0,0,12,495,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,30,0,0,9028,1,0,231,0,12,0,0,0,233,0,21,0,0,170,13,0,5123,0,767,0,315,96,0,0,0,0,0,0,0,415,0,0,25
"Gangneung",7651,0,4731,0,0,9316,0,129,152,2148,0,3003,13433,2808,92,33997,0,959,517,41663,0,681,0,90,0,1458,0,1206,0,0,1823,514,0,0,0,0,0,759,0,30,14984,155,0,374,0,1118,271,0,676,0,0,168,0,0,0,20616,884,858,0,99901,0,0,40687,4073,3921,2105,287,0,1083,0,13080,0,0,2823
"Gapyeong",0,0,0,0,0,432,216,0,0,0,69621,0,0,216,0,0,0,0,0,0,9688,0,0,0,0,0,0,216,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gimcheon",0,0,28,0,0,100936,9103,24479,18889,0,34,0,382366,143504,0,435,94,0,0,754,0,60,796,2,0,64047,0,36,0,0,1857,45517,0,156,0,0,0,23,0,1,0,4,0,0,1212,0,5111,0,9772,0,0,42,6310,2127,11241,26,10277,15992,0,208873,0,65663,586,3310,0,0,3847,0,877,24535,6194,0,0,0
"Gimhae",0,0,0,0,203,35813,14462,1278,571,0,15,0,27433,2824,0,0,51,0,0,0,0,667,559,0,0,1849,0,187,0,275,0,4834,873,2359,29,0,58,0,0,0,0,0,0,0,5640,0,6992,289,0,42,0,0,79,0,474,0,0,642,0,11239,338,4890,0,0,0,0,0,0,0,190,0,0,0,0
"Gimje",0,0,0,0,699,0,0,10156,2,19,0,28,58,28359,0,10,0,0,2,112,0,13,0,1990,9,15,0,31159,1798,0,32,3,0,0,1429,141,111,32878,0,6856,26,17321,0,2,0,5,0,12229,0,2891,0,8087,0,0,6525,0,0,5400,0,137510,651,38944,56,0,0,0,0,0,2,2,0,0,0,7
"Goyang",0,0,20,0,0,13722,0,1984,0,0,0,0,9658,6835,0,0,2101,0,0,0,0,0,0,211,9474,0,0,2676,3,0,0,0,0,0,0,0,0,2052,0,384,0,428,0,0,0,0,0,1463,0,0,0,207,0,0,0,0,0,0,60,800196,0,0,0,0,40,0,0,1,144,0,80,0,0,0
"Gumi",0,0,32,0,0,289243,15239,41424,26575,0,0,0,785381,175781,0,486,0,0,0,1731,0,54980,1813,18,0,460,0,132,0,0,4667,118350,0,402,0,0,0,90,0,12,0,9,0,0,2396,0,16528,0,7200,0,0,54,4743,6052,16615,62,8238,16165,0,384023,0,141061,420,7799,0,0,5378,0,2937,17923,5997,0,0,0
