"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Gwangmyung",0,0,0,0,0,769562,0,183360,0,0,0,0,731435,486893,0,0,0,0,0,0,0,0,1811,0,6413,521,6126,0,168720,0,0,0,0,4083,0,0,78,0,0,80792,0,9800,0,25495,0,0,0,0,72121,59568,0,6098,0,6961,0,0,0,0,0,0,0,24366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gwangyang",0,0,0,259,712,891,1959,119,105,0,700,0,31,0,0,0,0,0,0,0,97,0,117,213,0,0,119,0,206,0,133,0,98,0,1209,331,66,0,341,0,0,0,0,0,0,0,4178,98,129,302,98,164,0,0,0,0,0,700,97,4,215,8,2706,1,0,0,0,0,118,0,0,11,163,0,0,0
"Gyeongju",9034,0,812,0,0,112326,255,4494,110,0,0,0,151975,11097,1385,0,0,0,3419,0,0,0,3216,0,0,0,4862,0,0,0,0,3355,14617,0,0,0,0,0,0,0,0,0,1634,504,0,0,352,812,0,78,0,0,0,94,37,34750,1177,0,0,379,0,49534,0,17493,0,93018,703,303,0,0,24084,309,4782,0,0,0
"Gyeongsan",4922,0,755,0,0,359374,76604,9602,69879,0,0,0,535237,29038,0,0,0,0,4008,0,5482,0,33591,10275,0,0,136975,0,0,0,84,15487,90645,0,190,456,0,0,0,0,0,0,4,43,0,0,2193,4072,83067,9,3317,0,0,0,1188,20106,5431,0,5482,4937,0,44162,400,25514,0,11039,0,0,1090,0,1651,3227,2772,0,0,0
"Gyeryong",0,14,0,947,130,0,360,16824,0,0,0,1,0,33855,0,0,0,0,0,0,0,0,0,0,1940,9516,0,1618,8531,5637,0,0,0,0,0,0,303,381,45,12606,168,1786,0,2493,4509,0,0,0,0,2798,0,575,637,12771,0,0,6014,0,0,6680,1343,110792,2668,19963,0,0,0,0,0,0,0,0,0,1820,88,0
"Hadong",0,30,0,85,404,4987,14177,126,14,0,0,0,195,27,0,0,0,0,0,0,0,0,18,859,0,0,58,102,275,0,1072,0,229,0,3168,967,24,0,41,0,0,0,0,0,0,0,40719,0,273,247,0,36,0,0,0,432,31,0,0,7,0,150,6686,85,0,606,0,0,0,0,0,33,0,0,93,0
"Haman",0,0,0,0,155,6350,22613,200,85,0,0,0,1282,218,0,0,0,0,0,0,0,0,88,1871,0,0,197,0,55,0,400,0,418,0,1132,2138,9,0,39,0,0,0,0,0,0,0,16491,0,1190,211,0,9,0,0,65,0,132,0,0,88,0,1979,910,841,0,0,0,0,0,0,0,15,43,0,0,0
"Hampyeong",0,0,0,0,305,160,377,2081,0,0,0,51,0,4293,0,0,0,0,0,0,0,0,0,14,1157,14,0,0,20765,156,48,0,0,275,18,5,339,0,410,3075,0,1254,0,865,0,0,105,0,7,5925,0,2015,0,905,0,0,1175,0,0,766,0,24155,646,8445,0,0,0,0,0,0,0,94,0,0,0,0
"Hongsung",0,62745,356,41229,0,0,0,165759,103,0,539,0,0,3719,213,0,0,0,0,0,0,243,140,0,0,0,113,7968,0,0,0,0,0,314,0,0,0,1936,0,21916,0,0,0,135,0,0,0,0,0,248,0,0,0,2024,0,320,19992,539,0,424,11183,236799,594,77632,333,0,74,3,0,0,375,129,412,656,29912,0
"Hwasoon",0,0,0,0,18533,520,75,253,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,23,189,0,0,0,2459,0,191,0,0,36,44,30,467,0,215,318,0,168,0,116,0,0,410,0,14,3987,0,836,0,164,0,0,173,0,0,140,0,3293,3828,1031,0,0,0,0,0,0,0,0,0,1145,0,0
