"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Pohang",0,57,0,15,0,3981,0,3421,0,0,0,0,228950,4012,0,0,336,0,0,0,267,0,1535,0,0,0,2145,0,0,0,0,133375,33104,0,0,0,1,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,1458,2282,0,0,38,0,26216,0,14628,473,1691,0,0,0,0,15244,48,0,0,18,0
"Pyeongtaek",794,22077,0,20037,923,48817,3419,21755,4767,846,0,632,56913,216135,207,0,0,0,0,184,0,0,10685,404,6012,0,18783,0,15112,0,265,1636,5608,96,225,1276,16966,123,26537,1267,2454,917,7043,18943,289,748,0,3143,8369,0,2939,3720,16232,4647,1545,2803,0,0,65695,6969,697713,12220,173010,0,3813,288,0,0,0,561,7789,1289,7429,16064,0
"Samcheok",976,0,720,0,0,982,126,28,60,56,0,204,2297,263,0,0,17961,0,129,6,19501,0,182,16,2,0,239,145,398,0,0,159,288,0,0,0,0,0,316,0,8,3035,11,297,3,66,171,26,0,70,0,54,11,0,0,0,1334,87,35,0,15658,0,0,2013,543,3668,295,10,0,473,0,2024,0,0,617
"Sangju",0,0,6,0,0,21481,0,0,1335,0,0,0,39099,0,0,0,129,0,0,0,674,0,13849,0,0,0,11715,0,0,0,0,0,4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,659,0,0,0,0,0,0,10,259,0,0,0,0,0,131,0,0,0,1232,0,0,0,3773,0,0,0
"Sejong",0,0,0,0,954,39857,5674,243058,3564,29850,144,15894,38609,354990,54,0,134,0,0,5298,590,0,13764,648,5365,0,14460,0,13214,0,174,345,5302,54,204,1167,0,157,25497,675,3256,37014,7008,14066,7828,537,11,2984,8569,0,2005,2754,33283,7939,29,66224,30,0,4067,0,482151,13599,207735,851,848,0,0,0,0,78,9602,221,8911,0,72
"Seocheon",0,19786,0,29572,0,0,0,32716,0,0,0,0,0,0,0,10,0,46,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6895,0,0,0,2022,133046,0,43202,0,0,0,0,0,109,0,0,0,0,16281,0
"Seoul",58317,278754,7453,263288,22298,4282962,75762,1832774,45315,3117,1359766,10518,3887903,3291570,25008,64,29597,0,1530,879,132111,741305,180259,6963,128582,422207,327191,0,938053,19879,5472,41148,53933,2275,3960,33815,258876,3145,625827,21158,86763,111410,194881,151373,3132,6539,16899,330967,391351,0,83599,67160,238846,43724,25283,760391,14180,0,524183,140520,55889,255965,852747,120952,49086,289978,536290,0,0,8929,112672,99051,130728,214290,22795
"Suncheon",0,0,0,0,31949,5049,3212,21866,0,301,355,0,560,42639,0,0,319,0,0,0,403,0,0,289,345,0,0,0,5657,0,2365,0,0,5224,619,1018,0,5093,103183,4992,164,0,368,97089,0,6530,0,223,4625,0,1206,25194,11199,65,0,11750,0,0,10572,0,222149,41085,71565,236,403,241,0,0,0,291,77,0,79124,0,0
"Suwon",1022,112815,0,96612,5949,283603,40560,234083,15053,1354,0,2510,276115,661193,668,0,0,0,0,313,2222,0,56741,3523,36294,0,136432,0,78201,0,1492,16735,25424,565,1302,10234,78556,855,113573,5910,17041,1981,42362,67868,820,3054,0,16277,41535,0,17505,21969,76465,16263,14712,101034,0,0,213168,45707,937994,81331,1328,2,26348,0,0,0,0,5240,33607,1658,48609,66046,0
"Taebak",5092,153,5918,35,0,12482,0,494,144,1325,0,3033,14427,5022,3,0,20590,0,672,116,39704,0,429,0,29,0,486,330,1116,0,0,1568,1024,0,0,0,134,0,414,0,7,23194,401,60,108,0,1460,77,0,46,0,0,83,0,473,0,2203,194,969,0,123415,236,518,1148,6736,32926,2632,54,0,1751,0,10264,389,188,8423
"Ulsan",14884,0,2929,0,0,154006,0,6556,335,0,0,0,104335,8375,567,0,1090,0,6232,0,3487,0,3784,0,0,0,6533,193,0,0,0,69041,7496,0,0,0,0,0,114,0,0,2163,0,0,0,0,0,0,0,0,0,0,0,110,2437,4312,451,0,726,0,46249,394,24438,5813,1516,2707,673,0,0,13870,372,13380,0,0,0
"Wonju",12942,0,136,0,0,4696,553,368,0,0,0,0,0,0,5874,0,2110,0,98,0,6126,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,264,0,0,0,0,27866,0,0,0,0,3455,0,0,0,0,0,463,0,0,288,3442,0,0,0,264816,241,227,32429,1945,1712,45868,0,0,328,0,20001,0,0,11404
"Yangpyeong",3118,0,252,0,0,1560,30,42,0,0,0,0,0,0,1075,0,967,0,42,0,2468,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,7382,80,0,0,0,920,0,0,0,0,0,0,0,0,0,298,0,0,0,479081,0,0,2757,579,42045,26980,0,0,95,0,3756,0,0,1264
"Yechun",0,0,0,0,0,7948,0,0,399,0,0,0,4373,0,0,0,73,0,0,0,155,0,3953,0,0,0,3838,0,0,0,0,0,867,253,0,0,0,0,0,0,0,0,0,106,0,0,0,365,0,213,0,0,0,0,0,0,2,1028,0,0,0,0,0,2,0,0,0,77,0,0,121,1202,0,0,0
