"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Wonju",14309,0,129,0,0,5703,0,479,0,0,0,45,0,454,6711,4422,0,123,0,6261,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,238,0,0,0,0,25952,474,0,0,0,4396,0,0,0,0,0,84,0,0,12,3388,0,63,0,290464,0,1920,33448,2439,1888,45475,0,0,371,0,20378,0,0,11576
"Yangpyeong",3492,0,72,0,0,1608,0,27,0,0,0,0,0,0,1192,1258,0,57,0,2795,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,13,0,0,0,0,7303,14,0,0,0,343,0,0,0,0,0,0,0,0,0,349,0,0,0,499679,0,59,3348,630,41248,28351,0,0,94,0,3569,0,0,1562
"Yechun",0,0,0,0,0,8935,0,0,536,0,0,0,4741,0,0,67,0,0,0,236,0,4309,0,0,0,4446,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,165,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,47,0,0,0,1335,0,0,0
"Yeoncheon",0,0,0,0,0,112,0,0,0,0,0,0,0,144,0,0,1423511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,269,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,210178,288,0,0,0,0,0
"Yeongchun",6155,0,453,0,0,4857,0,1260,285,0,0,198,171191,2639,35,657,504,6288,73,946,0,764,0,0,0,2269,103,0,0,0,30724,3746,0,0,0,0,0,0,664,0,0,247,0,0,51,0,0,0,0,0,0,0,0,0,14584,701,99,0,29,0,10490,0,5242,1459,13443,374,100,0,288,2103,45,2633,0,0,0
"Yeongdong",0,0,0,0,0,35022,1961,18628,4525,0,0,0,43320,231634,0,0,0,0,0,0,0,23425,155,0,0,22471,0,0,0,0,274,3531,1008,0,80,0,0,0,0,0,0,0,0,0,0,165,0,2052,0,0,0,0,0,4784,33,5972,0,0,10988,0,105131,0,32669,0,281,0,0,0,0,26,2146,0,0,0,0
"Yeongju",63036,0,18438,0,0,18530,0,3955,699,1766,0,5291,11212,1503,6572,9487,0,3588,303,14952,0,7696,0,0,0,5053,0,0,0,0,5183,4939,0,0,0,0,0,0,0,0,0,39672,0,0,276,0,14,574,0,3097,0,0,0,0,0,1402,2637,3911,394,0,113766,0,2346,14583,11045,19349,3890,1399,0,2989,0,5134,0,0,38
"Yeosu",0,0,0,0,3680,0,0,13432,0,0,0,0,0,29555,0,52,0,0,0,0,0,0,0,337,0,0,0,2174,0,0,0,0,1089,0,0,233,0,1811,75886,4163,0,0,0,74684,0,0,0,0,1440,0,482,24064,7891,0,0,7601,0,0,8038,0,113231,73449,45110,0,0,0,0,0,0,0,0,0,1052,0,0
"Yesan",48,26666,0,36395,0,0,0,127690,0,0,140,0,0,0,141,18,0,0,0,76,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,23558,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16492,0,0,0,17232,213779,0,65902,70,0,0,0,0,0,0,0,0,0,4851,0
"Youngwol",0,0,58,0,0,0,0,98,0,123,0,455,0,556,0,4295,0,0,39,3426,0,0,0,11,0,0,0,56,0,0,217,0,0,0,0,0,0,0,22,0,0,10153,0,0,38,0,977,0,0,0,0,0,17,0,0,0,870,0,185,0,28500,0,0,16213,0,11420,1477,0,0,0,0,31,0,0,54
