"","Andong","Anyang","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Choongju","Chuncheon","Chungdo","Chungju","Daegu","Daejeon","Donghae","Euijungbu","Euisung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gumi","Gunsan","Gwangju","Gwangyang","Gyeongju","Hadong","Haman","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Gimcheon",0,972,0,9,522,0,145730,16380,29300,0,21,50963,0,406787,163754,946,209,0,1512,0,3607,803,59699,0,699,0,3220,0,252,74,0,103,0,0,33,0,455,0,3555,51,6695,357,17569,0,0,80,3443,4881,14062,55,14439,22546,0,315826,492,86352,51,1101,456,13,5428,0,2314,25472,9970,171,119,67
"Gimhae",81,0,0,0,0,287,57921,30568,1490,0,28,2467,0,17330,4246,0,22,0,108,0,864,948,2603,0,766,194,0,1125,3363,0,124,0,0,0,0,147,0,0,6179,0,11093,399,79,31,0,0,208,0,664,0,0,784,0,17187,391,4889,0,0,0,0,0,0,0,230,0,0,0,42
"Gumi",0,969,0,27,0,0,404420,28374,39204,0,0,142356,0,933977,173080,381,879,0,3498,0,63392,2693,51220,0,365,0,7995,0,797,0,0,375,0,0,37,0,68986,0,6439,545,32345,0,12944,0,0,121,4776,7031,20326,356,6261,28426,0,529083,0,148487,155,9065,0,0,7944,0,9665,26692,18854,561,0,830
"Gunsan",0,0,0,0,0,0,183,17,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,15765,55,0,0,0,0,0,0,195789,993,0,170,0,766,70901,0,0,0,94,0,43,0,361,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,386,0,0
"Gwangju",0,429,407,0,0,153728,18463,3577,32396,1227,466,0,782,152,74102,178,1812,0,3562,0,668,679,220,0,15475,1050,338,2181,152,0,29547,94863,0,0,11720,1534,62036,0,4193,208,463,268480,1281,20644,0,39936,0,315,29849,31,0,20020,0,741042,19528,139633,2,0,0,0,0,0,39,25,0,3368,0,1827
"Gwangyang",0,0,0,0,0,2594,4059,2913,128,359,0,393,0,0,294,0,0,0,452,0,0,159,0,0,1344,131,0,6614,527,0,545,194,18,0,0,0,0,376,7290,0,331,1138,0,203,157,76,0,0,208,0,0,62,0,7620,6231,1102,0,0,0,0,0,0,0,0,0,0,0,0
"Gyeongju",21865,3005,300,1069,160,0,132807,453,11609,0,0,0,243,101723,24541,749,6,7902,3585,0,2836,0,8240,0,331,0,13447,266,0,352,0,814,0,0,16,7875,243,0,0,0,0,0,302,0,0,202,592,158748,617,564,0,437,10,259238,491,30808,2690,96976,5354,588,0,0,65346,188,16149,0,132,0
"Hadong",0,0,0,0,0,1709,9744,15462,213,0,0,222,0,1070,341,60,0,0,40,0,0,1117,0,0,1680,4837,266,5717,1973,0,165,91,12,0,0,0,0,169,69277,0,774,381,0,42,44,300,0,514,121,0,0,104,0,7036,8639,1173,0,500,0,0,0,0,855,0,0,0,0,0
"Haman",0,0,0,0,0,440,16024,72517,500,0,0,626,0,4219,1552,0,0,0,0,0,320,2773,969,0,231,423,0,2053,1646,0,27,0,0,0,0,0,0,0,32471,0,3130,252,6,33,0,0,54,0,259,0,0,289,0,11323,1050,2934,0,0,0,0,0,0,0,118,0,0,0,0
"Hongsung",0,1644,44166,0,20157,0,0,347,113834,0,0,0,0,134,0,0,0,0,665,394,596,0,0,0,0,0,355,0,0,3844,0,0,0,936,0,167,428,0,0,59,0,1,339,0,0,0,0,0,31231,0,0,0,41850,404960,0,109158,0,0,1959,305,0,0,0,0,199,0,21888,381
"Hwasoon",0,0,0,0,0,24165,1414,245,167,0,0,0,247,0,331,0,0,0,0,0,0,108,0,0,8702,236,0,457,27,0,3796,450,57,0,81,115,313,0,196,0,75,3196,0,427,0,201,0,0,214,0,0,110,0,5716,4728,1363,0,0,0,0,0,0,0,0,0,1028,0,0
"Iksan",0,1074,0,0,0,2303,818,270,39880,71,177,0,33,701,136140,71,366,0,1965,0,42,0,172,147776,100218,244,787,99,0,0,229,16833,11001,1937,25000,601,121979,95214,1945,100,0,56377,494,11267,46306,28776,0,642,31373,11,0,31070,0,639636,55168,166693,0,22,135,17,0,0,394,9,564,41458,0,422
"Imsil",0,565,0,0,0,0,0,472,1583,0,0,0,0,0,3442,0,0,0,10,0,0,0,0,1613,0,2,0,6,0,0,0,9748,192,714,0,164,0,5548,608,0,0,0,0,0,782,945,0,2,1379,0,0,799,0,41923,3690,8581,0,0,0,0,0,0,0,0,0,3591,0,0
"Incheon",0,0,0,526,1858,0,1044,0,0,1802,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,1224,0,2051,848,0,69,1393,1657,0,0,1018,0,0,0,0,861,0,0,504,0,0,0,0,0,65,0,0,0,0,19,0,0,0,0,297,0,0,0,0
"Jangsung",0,343,323,0,0,574,144,272,5212,510,1084,0,82,332,19203,7,9855,0,276,0,33,0,31,0,9051,0,16,0,0,10,58,25468,0,69,2117,27,16057,0,0,2,0,16138,0,3241,0,6894,0,0,3284,2,0,7560,0,123194,255,25683,0,0,664,0,0,504,2,0,0,0,146,1
"Jecheon",56170,0,0,181,0,0,28022,1099,9216,78495,134,0,205599,11717,104826,19276,373,1860,34324,0,67,147,477,0,1436,0,7626,0,0,167,0,599,270,935,488,5841,1217,760,0,61379,387,0,0,0,0,745,249,0,2554,4910,0,55618,0,227866,191,5813,1069,19600,23922,9043,0,288,5819,334,66340,0,0,15441
"Jeongeup",0,1931,10,286,9,1622,1829,0,22175,469,245,81,1298,69287,61006,506,422,0,388,154,451,0,1447,183,56333,0,299,0,0,418,132,112079,0,1657,15385,1438,40920,0,0,173,23,43834,379,8353,0,20277,0,0,17579,2,210,14867,0,472716,1611,117420,231,0,585,67,0,261,18,11,134,748,163,34
"Jeongju",0,0,0,0,0,0,602,131,28297,4672,0,0,0,0,42946,0,500,0,766,0,0,0,0,82606,2,217,0,131,0,0,0,119861,4868,0,0,531,0,5967,2037,0,0,0,0,0,28002,12233,0,475,18394,0,0,15187,0,326279,84185,86198,0,0,425,0,0,0,0,0,0,76245,0,360
"Jinju",0,0,0,473,0,2530,29154,43830,4547,93,0,1989,0,12800,9329,486,0,0,523,0,3992,2586,5007,0,4738,6870,0,79853,29531,0,223,1166,642,0,0,0,0,2328,18996,0,16209,3592,258,533,413,1015,106,0,6742,0,247,4313,0,51581,10701,19724,13,600,0,0,0,0,495,535,110,0,0,20
"Jungsun",636,9,542,1187,0,0,2541,0,730,933,0,0,2387,292,4670,19684,256,823,40321,352,51,0,545,0,362,0,27,0,0,59,0,162,0,997,10,61802,158,0,0,132934,643,0,0,145,0,218,0,1,0,1517,0,933,0,250729,0,0,3751,1142,73843,3694,0,256,3,0,5902,0,316,26179
"Milyang",0,181,542,0,0,507,1185013,56905,7353,0,9,43165,0,270130,25536,52,31,0,538,0,7126,9298,32973,0,419,271,0,795,2729,0,78,0,0,0,0,766,23,0,13034,643,61887,446,1756,69,742,215,450,0,3044,5,646,4914,0,112659,866,25279,489,0,0,0,328,0,0,2417,1022,0,79,0
"Mokpo",0,1800,59,0,0,1929,18408,4556,18624,512,0,0,337,0,51764,0,0,0,0,0,361,289,0,0,257836,931,0,315,178,0,3258,61507,0,0,18501,0,48907,0,2617,0,530,71249,0,30551,350,21066,0,0,12007,0,0,15372,0,427934,5744,101006,0,0,0,0,0,0,0,0,0,1179,93,0
"Munkyeong",0,413,336,2,98,0,32480,405,12,0,151,6898,0,64825,50,116,0,0,1169,28,24353,79,13657,0,0,0,262,0,6,339,0,494,0,0,0,0,379,0,258,0,1937,0,65,0,426,0,0,487,519,4,3189,0,13,649,0,361,9,99,0,0,548,0,34,0,4180,0,129,0
"Naju",0,746,661,0,0,1358,1809,371,5589,0,0,0,347,0,10252,0,203,0,0,0,0,29,0,0,14455,117,0,51,31,0,334,11631,0,0,3618,0,9518,0,414,0,84,33262,0,24,239,4606,0,0,4455,0,0,2747,0,112382,1203,27692,0,0,0,0,0,226,0,0,0,332,87,0
"Namwon",0,660,0,0,386,0,1620,266,8040,271,0,0,110,0,18727,0,0,0,0,252,0,0,0,0,0,87,0,20,0,0,239,45840,1656,869,0,0,0,29742,175,0,604,350,426,0,460,5062,0,17,5257,0,0,5338,0,185037,29774,39220,0,413,0,0,0,0,0,0,0,35789,0,0
"Nonsan",0,850,0,0,0,572,1443,272,38235,17,10631,9072,2169,1738,134090,153,12054,500,603,158,46,0,84,18,39458,28,195,282,0,0,208,27908,780,0,22136,683,19365,12530,788,190,215,16829,0,4036,5041,6102,0,73,19295,194,0,26683,0,458706,15488,103837,0,0,527,12,168,163,23,8,0,11731,0,144
"Okchun",0,0,0,0,0,0,12659,1887,8119,0,0,1060,28,12400,60770,0,0,0,0,0,4126,225,5884,0,0,0,594,0,48,0,0,0,0,297,0,249,0,0,130,0,451,0,0,0,0,0,4953,208,3471,0,0,2248,0,59710,39,18423,0,92,0,0,0,0,0,2452,198,364,0,0
"Pohang",0,0,0,0,8,0,36096,360,8324,0,0,0,151,336407,14223,0,0,0,360,0,3597,0,5376,0,315,0,162255,514,0,0,0,642,2,504,0,0,0,475,0,0,0,0,487,0,17,73,208,1608201,0,0,0,201,0,92182,0,28620,0,19019,343,75,0,1782,57557,0,373,0,0,0
