"","Andong","Asan","Bonghwa","Boryeong","Bosung","Busan","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungju","Daegu","Daejeon","Danyang","Dongduchun","Donghae","Euijungbu","Euisung","Eumsung","Gangneung","Gapyeong","Gimcheon","Gimhae","Gimje","Goyang","Gumi","Gunsan","Gwangju","Gwangmyung","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hongsung","Hwasoon","Iksan","Imsil","Incheon","Jangsung","Jecheon","Jeongeup","Jeongju","Jeungpyung","Jinju","Jungsun","Milyang","Mokpo","Munkyeong","Naju","Namwon","Nonsan","Okchun","Pohang","Pyeongtaek","Samcheok","Sangju","Sejong","Seocheon","Seoul","Suncheon","Suwon","Taebak","Ulsan","Wonju","Yangpyeong","Yechun","Yeoncheon","Yeongchun","Yeongdong","Yeongju","Yeosu","Yesan","Youngwol"
"Milyang",0,0,20,0,139,836538,35761,14753,4694,0,0,3091,224400,35521,0,0,51,0,0,0,267,0,4463,23608,0,1761,18397,0,77,21254,233,45,89524,38,877,1355,5,0,21,0,0,0,0,113,20,61,0,14356,0,43990,42,676,23,0,28,475,101,2863,70,966,1892,0,156031,1690,12538,154,128,0,0,472,0,0,2204,617,0,0,67
"Mokpo",0,0,0,0,315,1785,617,32936,500,0,0,22310,0,44181,0,0,714,0,0,0,195,293,0,122,7217,9051,0,0,174159,73990,72,0,0,3105,173,99,5691,0,961,63322,0,231,8126,0,16304,0,0,434,0,70,856,0,30418,0,8666,0,0,9050,9,0,5977,0,355490,476,25324,698,0,0,0,0,0,0,0,0,0,0,0
"Munkyeong",0,0,49,0,0,13278,0,0,2523,0,0,0,19780,0,0,101,88,97,0,0,411,0,7578,0,0,0,11873,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,595,0,0,0,0,0,0,0,0,30,2062,0,0,499,0,0,16,171,0,0,783,48,0,0,4452,0,0,0
"Naju",0,0,0,0,192,131,38,8790,0,0,0,8495,0,11902,0,0,106,0,0,0,0,0,0,45,3038,3423,0,0,7231,29147,61,0,0,781,36,8,1794,0,115,15628,0,0,1776,0,3955,0,0,46,0,8,31217,0,115,0,1933,0,0,2939,0,0,1845,0,156332,521,15729,74,0,0,0,0,0,0,0,0,0,0,0
"Namwon",51,344,0,0,0,256,356,7909,0,0,307,1927,0,14396,0,0,0,586,0,0,0,419,0,9,0,3225,0,0,0,12363,0,0,0,679,0,0,0,0,0,43950,791,1158,0,828,0,96939,0,0,396,0,0,0,0,0,3324,0,0,4112,0,0,2439,0,78684,36331,16523,0,184,389,0,0,0,0,0,350,26798,0,0
"Nonsan",0,48,0,891,278,0,0,54296,0,0,0,873,0,348399,0,0,0,0,0,0,0,0,0,0,7003,2282,0,1060,25370,11173,0,0,0,16602,8,0,924,619,90,63915,3385,750,5146,0,7289,29912,0,0,0,28,8405,0,2013,3137,3427,0,0,19175,0,0,28735,344,180564,10133,73176,43,0,0,0,0,0,0,0,0,6360,229,101
"Okchun",0,0,0,0,0,8464,119,15320,1720,749,0,905,10786,77433,124,0,49,0,0,190,0,0,7573,47,0,586,7215,0,0,0,0,0,1346,0,0,31,0,0,0,0,0,390,0,335,0,0,159,16,0,578,0,0,0,0,0,817,38,6581,0,0,13003,0,52241,587,18687,90,0,0,0,0,0,0,25638,73,0,0,0
"Pohang",0,0,0,391,0,20091,508,17520,0,0,389,9641,133111,71681,0,0,389,0,0,0,0,0,569,142,0,8353,4605,0,355,78457,30,22166,5067,0,66,116,0,0,0,0,0,0,0,0,778,389,0,629,1155,108,104,0,14,0,0,38,120,453,0,0,0,0,350307,243,1721,0,12317,0,0,0,0,3887,650,388,0,0,0
"Pyeongtaek",0,32522,0,24586,608,40579,2464,105423,5135,946,0,1635,53408,250543,0,0,0,0,0,403,698,0,9688,687,5956,0,20519,9006,15817,0,63,68,6379,7028,0,137,1050,26704,190,27210,950,0,2764,2190,7061,15928,794,423,0,3038,8245,0,2457,3816,17059,5934,405,5644,0,0,103070,5629,1364528,11777,417798,0,100,1000,0,0,0,151,10017,0,8313,20652,0
"Samcheok",669,0,909,0,0,736,41,0,8,0,0,0,2004,0,0,0,25711,0,171,0,8698,0,8,0,0,0,69,0,0,0,0,138,288,0,0,0,0,0,0,0,0,0,0,3690,0,41,0,9,2572,9,9,5,0,0,0,0,0,0,421,13,0,0,21670,0,0,3914,271,6104,1238,0,0,85,0,1449,3,0,846
